country;link;text;Include only nuclear family;Multi generational;Extend across multiple household;Provide emotional support;Decision-Making Role;Ethnic Variation;Religious/Spiritual Integration
Iran;https://www.everyculture.com/Ge-It/Iran.html;"Marriage. In Iran women control marriages for their children, and much intrigue in domestic life revolves around marital matters. A mother is typically on the lookout for good marriage prospects at all times. Even if a mother is diffident about marriage brokering, she is obliged to ""clear the path"" for a marriage proposal. She does this by letting her counterpart in the other family know that a proposal is forthcoming, or would be welcome. She then must confer with her husband, who makes the formal proposal in a social meeting between the two families. This kind of background work is essential, because once the children are married, the two families virtually merge, and have extensive rights and obligations vis-Ã¡-vis each other that are close to a sacred duty. It is therefore extremely important that the families be certain that they are compatible before the marriage takes place. Marriage within the family is a common strategy, and a young man of marriageable age has an absolute right of first refusal for his father's brother's daughterâ€”his patrilateral parallel cousin. The advantages for the families in this kind of marriage are great. They already know each other and are tied into the same social networks. Moreover, such a marriage serves to consolidate wealth from the grandparents' generation for the family. Matrilateral cross-cousin marriages are also common, and exceed parallel-cousin marriages in urban areas, due perhaps to the wife's stronger influence in family affairs in cities. Although inbreeding would seem to be a potential problem, the historical preference for marriage within the family continues, waning somewhat in urban settings where other considerations such as profession and education play a role in the choice of a spouse. In 1968, 25 percent of urban marriages, 31 percent of rural marriages, and 51 percent of tribal marriages were reported as endogamous. These percentages appear to have increased somewhat following the Revolution. In Iran today a love match with someone outside of the family is clearly not at all impossible, but even in such cases, except in the most westernized families, the family visitation and negotiation must be observed. Traditional marriages involve a formal contract drawn up by a cleric. In the contract a series of payments are specified. The bride brings a dowry to the marriage usually consisting of household goods and her own clothing. A specified amount is written into the contract as payment for the woman in the event of divorce. The wife after marriage belongs to her husband's household and may have difficulty visiting her relatives if her husband does not approve. Nevertheless, she retains her own name, and may hold property in her own right, separate from her husband. The wedding celebration is held after the signing of the contract. It is really a prelude to the consummation of the marriage, which takes place typically at the end of the evening, or, in rural areas, at the end of several days' celebration. In many areas of Iran it is still important that the bride be virginal, and the bedsheets are carefully inspected to ensure this. A wise mother gives her daughter a vial of chicken blood ""just in case."" The new couple may live with their relatives for a time until they can set up their own household. This is more common in rural than in urban areas. Iran is an Islamic nation, and polygyny is allowed. It is not widely practiced, however, because Iranian officials in this century have followed the Islamic prescription that a man taking two wives must treat them with absolute equality. Women in polygynous marriages hold their husbands to this and will seek legal relief if they feel they are disadvantaged. Statistics are difficult to ascertain, but one recent study claims that only 1 percent of all marriages are polygynous. Divorce is less common in Iran than in the West. Families prefer to stay together even under difficult circumstances, since it is extremely difficult to disentangle the close network of interrelationships between the two extended families of the marriage pair. One recent study claims that the divorce rate is 10 percent in Iran. For Iranians moving to the United States the rate is 66 percent, suggesting that cultural forces tend to keep couples from separating. Children of a marriage belong to the father. After a divorce, men assume custody of boys over three years and girls over seven. Women have been known to renounce their divorce payment in exchange for custody of their children. There is no impediment to remarriage with another partner for either men or women. Domestic Unit. In traditional Iranian rural society the ""dinner cloth"" often defines the minimal family. Many branches of an extended family may live in rooms in the same compound. However, they may not all eat together on a daily basis. Sons and their wives and children are often working for their parents in anticipation of a birthright in the form of land or animals. When they receive this, they will leave and form their own separate household. In the meantime they live in their parents' compound, but have separate eating and sleeping arrangements. Even after they leave their parents' home, members of extended families have widespread rights to hospitality in the homes of even their most distant relations. Indeed, family members generally carry out most of their socializing with each other. Inheritance. Inheritance generally follows rules prescribed by Islamic law. Male children inherit full shares of their father's estate, wives and daughters half-shares. An individual may make a religious bequest of specific goods or property that are then administered by the ministry of waqfs. Kin Groups. The patriarch is the oldest male of the family. He demands respect from other family members and often has a strong role in the future of young relatives. In particular it is common for members of an extended family to spread themselves out in terms of professions and influence. Some will go into government, others into the military, perhaps others join the clergy, and some may even become anti-government oppositionists. Families will attempt to marry their children into powerful families as much for their own sake as for the son or daughter. The general aim for the family is to extend its influence into as many spheres as possible. As younger members mature, older members of the family are expected to help them with jobs, introductions, and financial support. This is not considered corrupt or nepotistic, but is seen rather as one of the benefits of family membership.";0;1;1;1;1;0;1
Italy;https://www.everyculture.com/Ge-It/Italy.html;"Marriage. In the past, marriages were arranged and women brought a dowry to the marriage. However, there were ways to help one's parents arrange marriage with the right person. The poorer classes, in fact, had more freedom to do so than did the wealthier ones. Dowries could be waived and often were. Currently, marriage is as free as anywhere else in the world. Except for those who enter the clergy, almost all Italians marry. But there is a custom in many families for a child to remain unmarried to care for aged parents. Divorce was forbidden until recently. Domestic Unit. The family is the basic household unit. It may vary in size through having other relatives live with the nuclear family or through taking in boarders. Often two or more nuclear families may live together. It is common for newly married couples to live for a time with the bride's parents. Traditionally the husband was the ruler of the family, in theory, while the wife took care of the dayâ€“toâ€“day operations. The reality may have been quite different. Tasks have traditionally been assigned according to age and sex. There is evidence that there is some change in this system as more and more often both parents work outside the home. Inheritance. By law, all members of the family inherit equally. Special personal items may be given to loved ones before death to assure their being received by the designated heir. Kin Groups. Italians are famous for their family lives. They are often tied to one another by relationships on both sides of the family. They can and do expand or contract their extended kin groups by emphasizing or de-emphasizing various kinship ties. Usually, children of the same mother feel a necessity to cooperate against the outside world. Other ties may be egocentric. Generally, a male feels closest for many reasons to his mother's sisters and their kin. These kin traditionally protected him from the father's side, traditionally the side of ""justice"" as opposed to ""mercy"" and unmitigated love.";0;1;1;1;1;0;1
Japan;https://www.everyculture.com/Ja-Ma/Japan.html;"Marriage. Marriage is generally based on mutual attraction between individuals; this is known as a ""love marriage"" in contrast to the traditional ""arranged marriage"" in which a go-between negotiated a match in a process that might give parental opinions more weight than those of the prospective bride and groom. Some vestiges of arranged marriage continue and many couples rely on matchmakers to find mates. Background checks on a prospective spouse and his or her family are routine. Weddings are almost always held in hotels or wedding halls, with a lavish banquet for several dozen guests. The ceremonies blend elements from ShintÅ� marriage rituals and stylized adaptations of Christian weddings. Weddings are elaborately staged, and the bride and groom typically go through several changes of costume. Domestic Unit. Most families, especially in urban areas, are nuclear, consisting of the parents and their children. Slightly extended families, such as an elderly parent living with a married couple and their children, are not uncommon, but in general extended kin groups no longer play a major role in people's daily lives. Inheritance. The primary imperative of the family as a social institution was to survive across the generations. The household head's role ideally was to be steward for a family's intergenerational fortunes, honoring the memories of ancestors who had established the family's position and ensuring that family assets, traditions, and social standing would be passed on intact to an unbroken line of future heirs. In traditional agrarian life, land was almost never divided, because to do so might imperil the next generation's ability to survive. So in most cases, inheritance was by a single child, usually the eldest son. In the case of an extremely prosperous family, they might be able to establish other children in newly independent family lines, which would remain forever subservient to the original line. Various kinds of fictive kinship modeled on patterns of adoption and relationships between family banches have been used to sustain other kinds of social relationships. Patron-client relationships sometimes are referred to as parent-child ties, and may involve elaborate formal rituals of bonding. Traditional artistic life is structured around master-apprentice relationships that involve adoption and the establishment of lineages. Kin Groups. The kinship system before World War II was based on upper-class family patterns established during the late Tokugawa period. In the late nineteenth century, the Meiji government put in place legal norms and standards that defined an ideal family structure. It established clear rules about membership, inheritance patterns, and the authority of the household head over assets and Patterns of traditional kinship still shape the social conventions of family life. The traditional family system was organized around a multigenerational household with a single central authority: the male household head. Inheritance of a family's estate and succession to a family's occupation, social position, and obligations devolved to a single child. In most regions, this involved inheritance and succession by the oldest son. All other children were expected to leave the natal household and become members of another family system through marriage or adoption. In terms of social participation, the household was considered as a single unit rather than the sum of its members.";1;1;1;0;1;0;1
Mexico;https://www.everyculture.com/Ma-Ni/Mexico.html;"Marriage. Mexicans are free to choose their marriage partners. Informally, however, there are rules that constrain choices, most importantly those related to class and ethnicity. People usually marry after a period of formal engagement that can last several years. In 1995, the average age at marriage for a male was almost twenty-four years; for a woman it was nearly twenty-two years. Out of all Mexicans aged twelve and above, just over half were married or otherwise united. Although the basis for marriage is love, many Mexicans consciously or unconsciously look for a partner who can provide social and economic security or upward mobility. Monogamy is the only marriage form allowed. A marriage ceremony consists of a civil registration and a religious wedding. Afterwards, the couple holds a huge and costly party with family and friends. At the beginning of the 1990s, the divorce rate was a relatively low 6.5 percent. It is legally easy to divorce but the social pressure against it can be formidable. Domestic Unit. The nuclear family is the common household unit: in 1995, almost three-quarters of all family households were nuclear. Households consisted of an average of 4.6 members. In the same year, almost 6 percent of the households were single-person. At the same time, a significant number of households consist of ""extended"" nuclear families, which often exist on a temporary basis. Particularly among the urban poor there are households consisting of parents, children, grandparents and sometimes other relatives. Recently married couples may live for a few years with the kin of husband or wife in order to save sufficient money to establish an independent domestic unit. In the countryside different nuclear families might live close to each other and share common resources. In 1995, 82 percent of households were male-headed. Although women generally hold fundamental responsibilities in the household, men are still the principal authority. Domestic violence constitutes a serious problem in Mexico. Inheritance. Inheritance laws make no distinction between men and women. Each child is legally entitled to an equal share, but in practice male descendants are often privileged. In the countryside land is often distributed only among sons. Kin Groups. The extended family is of crucial importance to most Mexicans. Although family members generally live dispersed, sometimes very far away due to international migration, they seek opportunities to gather on several occasions. Family members will occasionally get together for a meal during the weekend, but will more typically gather on religious occasions. Fictive kinship relations are established through godfathers ( padrinos )and godmothers ( madrinas ) at Catholic baptismal ceremonies. The family and larger kin groups are the main locus of trust, solidarity, and support in Mexico. These networks are mobilized with diverse objectives such as finding work, establishing political connections, and evading red tape.";1;1;1;1;1;1;1
New Zealand;https://www.everyculture.com/Ma-Ni/New-Zealand.html;Marriage. Except in Muslim, Hindu and a few Chinese groups, marriages are entered into by mutual choice. Marriage may be conducted by a celebrant, a Church priest, or a vicar. Parental consent is required if a partner is under 20 years of age. De facto relationships are officially recognized for inheritance and benefit purposes. In 1996, 43 percent of males and 41 percent of females over 15 years were married. The only ground for divorce is irreconcilable breakdown, signaled by the two parties living separately for two years. Traditional weddings are still in evidence, but more people plan their own, and minorities hew to their traditional forms. Domestic Unit. The nuclear family predominates though there is an increasing number of single-parent Inheritance. If there is a legally drawn up will, property is bequeathed by the estate holder. Maori inherit rights to ancestral land, tattoos, and burial places. Kin Groups. Maori have revived their traditional social organization into whanau (extended family), hapu (lineage), and iwi (tribe) in an effort to reclaim their identity and negotiate under the Treaty of Waitangi. Quasi-tribes descended from a known ancestor as well as iwi celebrate periodic gatherings ( hui ). That pattern is also followed by Pakeha with family reunions based on genealogical research.;1;1;1;0;0;1;1
Nigeria;https://www.everyculture.com/Ma-Ni/Nigeria.html;Marriage. There are three types of marriage in Nigeria today: religious marriage, civil marriage, and traditional marriage. A Nigerian couple may decide to take part in one or all of these marriages. Religious marriages, usually Christian or Muslim, are conducted according to the norms of the respective religious teachings and take place in a church or a mosque. Christian males are allowed only one wife, while Muslim men can take up to four wives. Civil official weddings take place in a government registry office. Men are allowed only one wife under a civil wedding, regardless of religion. Traditional marriages usually are held at the wife's house and are performed according to the customs of the ethnic group involved. Most ethnic groups traditionally allow more than one wife. Depending on whom you ask, polygamy has both advantages and disadvantages in Nigerian society. Some Nigerians see polygamy as a divisive force in the family, often pitting one wife against another. Others see polygamy as a unifying factor, creating a built-in support system that allows wives to work as a team. While Western ways of courtship and marriage are not unheard of, the power of traditional values and the strong influence of the family mean that traditional ways are usually followed, even in the cities and among the elite. According to old customs, women did not have much choice of whom they married, though the numbers of arranged marriages are declining. It is also not uncommon for women to marry in their teens, often to a much older man. In instances where there are already one or more wives, it is the first wife's responsibility to look after the newest wife and help her integrate into the family. Many Nigerian ethnic groups follow the practice of offering a bride price for an intended wife. Unlike a dowry, in which the woman would bring something of material value to the marriage, a bride price is some form of compensation the husband must pay before he can marry a wife. A bride price can take the form of money, cattle, wine, or other valuable goods paid to the woman's family, but it also can take a more subtle form. Men might contribute money to the education of an intended wife or help to establish her in a small-scale business or agricultural endeavor. This form of bride price is often incorporated as part of the wooing process. While women who leave their husbands will be welcomed back into their families, they often need a justification for breaking the marriage. If the husband is seen as having treated his wife well, he can expect to have the bride price repaid. Though customs vary from group to group, traditional weddings are often full of dancing and lively music. There is also lots of excitement and cultural displays. For example, the Yoruba have a practice in which the bride and two or three other women come out covered from head to toe in a white shroud. It is the groom's job to identify his wife from among the shrouded women to show how well he knows his wife. Divorce is quite common in Nigeria. Marriage is more of a social contract made to ensure the continuation of family lines rather than a union based on love and emotional connections. It is not uncommon for a husband and wife to live in separate homes and to be extremely independent of one another. In most ethnic groups, either the man or the woman can end the marriage. If the woman leaves her husband, she will often be taken as a second or third wife of another man. If this is the case, the new husband is responsible for repaying the bride price to the former husband. Children of a divorced woman are normally accepted into the new family as well, without any problems. Domestic Unit. The majority of Nigerian families are very large by Western standards. Many Nigerian men take more than one wife. In some ethnic groups, the greater the number of children, the greater a man's standing in the eyes of his peers. Family units of ten or more are not uncommon. In a polygamous family, each wife is responsible for feeding and caring for her own children, though the wives often help each other when needed. The wives also will take turns feeding their husband so that the cost of his food is spread equally between or among the wives. Husbands are the authority figures in the household, and many are not used to their ideas or wishes being challenged. In most Nigerian cultures, the father has his crops to tend to, while his wives will have their own jobs, whether they be tending the family garden, processing palm oil, or selling vegetables in the local market. Children may attend school. When they return home, the older boys will help their father with his work, while the girls and younger boys will go to their mothers. Inheritance. For many Nigerian ethnic groups, such as the Hausa and the Igbo, inheritance is basically a male affair. Though women have a legal right to inheritance in Nigeria, they often receive nothing. This is a reflection of the forced economic independence many women live under. While their husbands are alive, wives are often responsible for providing for themselves and their children. Little changes economically after the death of the husband. Property and wealth are usually passed on to sons, if they are old enough, or to other male relatives, such as brothers or uncles. For the Fulani, if a man dies, his brother inherits his property and his wife. The wife usually returns to live with her family, but she may move in with her husband's brother and become his wife. Kin Groups. While men dominate Igbo society, women play an important role in kinship. All Igbos, men and women, have close ties to their mother's clan, which usually lives in a different village. When an Igbo dies, the body is usually sent back to his mother's village to be buried with his mother's kin. If an Igbo is disgraced or cast out of his community, his mother's kin will often take him in. For the Hausa, however, there is not much of a sense of wide-ranging kinship. Hausa society is based on the nuclear family. There is a sense of a larger extended family, including married siblings and their families, but there is little kinship beyond that. However, the idea of blood being thicker than water is very strong in Hausa society. For this reason, many Hausas will try to stretch familial relationships to the broader idea of clan or tribe to diffuse tensions between or among neighbors.;0;1;1;1;1;1;1
Russia;https://www.everyculture.com/No-Sa/Russia.html;"Marriage. Romantic love is considered the only acceptable motivation for marriage, and there is a long tradition in literature, poetry, and song of idealizing lovers' passion, usually with tragic overtones, although bawdy approaches to the topic are also popular. Contemporary practice also highlights more pragmatic and cynical aspects of marital relationships, such as improving one's economic status or housing prospects. People frequently meet partners at school, university, or at work, although discotheques and clubs in the cities have become popular meeting places. Premarital sex is generally accepted, and marriages arising from unplanned pregnancies are not uncommon. Since the 1930s, twenty-three years has been the average age at marriage. Cohabitation is tolerated, but legal marriage is greatly preferred. Although economic un-certainty has led many to marry later or not at all, 97 percent of adults marry by age forty, and most before age thirty. Approximately one-half of all marriages end in divorce. Economic hardship and alcohol abuse are major contributing factors. Ethnic intermarriage became fairly common in Soviet times, and most people have at least one ancestor of a different nationality. Domestic Unit. The multigenerational extended family living with the husband's family characterized peasant life until the twentieth century although household size varied by region. Among the aristocracy, the size and structure of the household unit was more flexible, although strict patriarchal control over the labor and behavior of the household was standard across social classes. One goal of the revolution was to replace traditional family practices with non-authoritarian communal living units. This experiment was short-lived, and after the 1930s, the values of family autonomy and privacy survived state intrusion. The nuclear family is the most important domestic unit, and most married couples want an apartment of their own, away from their parents. The housing shortage and the high cost of new housing have made this a challenge, and families often live in apartments holding three generations, sometimes in stress-provoking conditions. Many couples with children live with a widowed parent of one spouse, most often the grandmother, who provides child care and food preparation. A grandparent's monthly pension may contribute significantly to the family budget. Inheritance. Among the gentry, before the revolution, property was divided among all the living sons; as a result, large estates often were dissipated through fragmentation. Among the peasantry, household property included tools, clothes, and domestic items, while arable, pasture, and forest lands were held in common by the village and regularly repartitioned to provide adequate land for each family. Families with more married sons were allotted larger pieces of land. An ethos of egalitarianism with regard to property inheritance has remained strong. In the Soviet period and for most families today, the most important real property consists of apartments and dachas. Ensuring that children have legal title to their parents' or grandparents' housing requires officially registering of the children as residents of those places before the death of the title holder. Otherwise, the title can revert to the government. With the advent of new wealth, inheritance laws are being reformulated, but there is controversy about taxes and legal procedures. Kin Groups. Kinship is reckoned bilaterally, including consanguineal and affineal relations, although among the gentry recorded genealogies usually stressed the paternal. Until the mid-nineteenth century, kin terms for over sixty specific relations were in common use; with the social There has been a resurgence of interest in aristocratic roots. The exploration and celebration of one's genealogical background has become quite popular, and some members of aristocratic families abroad have returned to visit their families' former estates and re-assert their rank. Many people are intrigued by the romance and drama of the great families of the past.";1;1;1;1;1;1;0
Saudi Arabia;https://www.everyculture.com/Sa-Th/Saudi-Arabia.html;"Marriage. Traditionally, marriage was between paternal first cousins or other patrilineally related kin. It was customary for potential spouses not to meet before the wedding night, and marriages had to be arranged by fathers, mothers, and other relatives. These practices are changing slowly and unevenly, but the tendency is toward fewer close-cousin marriages and for the couple to communicate with each other before the wedding. Parents still arrange marriages but are more likely to manage indirectly and from the background. Men are allowed to have four wives at a time as long as they can treat them equally, but polygyny is uncommon in most of the population. Marriage is considered a necessary part of life, and almost all adults marry. Marriage is usually a costly affair. Divorce is relatively easy for men and difficult for women. Divorce rates are high, and remarriage is common, especially for men. Domestic Unit. In traditional residence pattern, a bride joined her husband in his father's household. Authority was held by the husband's father, and the new wife was under the control of her mother-in-law. Neolocal residence is now the norm, or at least the ideal, for newly married couples. In these smaller conjugal families, the roles of husbands and wives feature greater equality and more sharing of responsibilities. Authority formally rests with the husband, who also has the religiously sanctioned duty of providing for the needs of his wife and children. Inheritance. The stipulations of Islam are widely followed in the inheritance of property. Sons inherit twice the share of daughters from their fathers. Provisions exist for a widow to inherit a small portion, but sons are enjoined to support their mothers, especially widowed or divorced mothers. Custom, but not the Sharia, allows immobile property to be inherited intact by male descendants; in such cases, daughters are usually given a ""share"" of a potential inheritance in money or other items when they marry. Kin Groups. Kinship is patrilineal, and women continue to remain members of their kin groups after marriage. Among Bedouin and many rural settlers, kin groups identified by ancestral names in larger aggregations include lineages, clans, and tribes and have major social significance. Genealogy is of great interest; although corporate kin groups have largely ceased to exist, many people continue to identify with and take pride in their lineage, clan, and tribal names and descent.";1;1;1;1;1;1;1
Turkey;https://www.everyculture.com/To-Z/Turkey.html;"Marriage. Turks expect adults to marry and have children, and the vast majority do. Because men should not lower their wives' standard of living, they are not supposed to marry women of a higher economic class. People generally marry within their own religious sect and ethnic group, although interethnic marriages among Sunni Muslims are not uncommon. In traditional Turkish society, the selection of spouses and the marriage ceremony were controlled by kin groups. During the premarital process, the individuals to be married played minor roles. The rituals, especially the imam marriage ceremony, were essential for a morally and socially acceptable marriage. In 1926, the revolutionary Turkish government abolished Islamic family law and adopted a slightly modified version of the family law in the Swiss civil code. The new Family Law requires and recognizes civil marriage ceremonies only. It requires the consent of mature individuals for a binding marriage contract and prescribes monogamy only. Even though the law prohibits parents from entering into engagement or marital agreements on behalf of their children, arranged marriages without the consent of the brides have been somewhat common. In a 1968 survey, 11.4 percent of women said their marriages had been arranged by their families without their consent, while 67 percent said they had had family-arranged marriages with their consent. The figures for the unconsented arranged marriages ranged from 7.7 percent for women living in Istanbul, Ankara, and Izmir to 11.3 percent to 12.5 percent for women living in smaller cities, towns, and villages. An impressive 49.9 percent of the husbands surveyed said their fathers or other relatives had made the final decision about their marriages. This response category ranged from 59.1 percent for village men to 15.3 percent for men in Istanbul, Ankara, and Izmir. Today the vast majority of marriages occur with the couple's consent, but families still play a role recommending and screening potential spouses, especially for their daughters. Even though divorce is not considered an Islamic sin, it occurs infrequently. Divorcees, especially men with children, quickly remarry, usually to divorced women. The new code eliminated a husband's Islamic prerogative of verbal and unilateral divorce and prescribed a court proceeding. The law recognizes only six grounds for divorce: adultery; plot against life, grave assaults, and insults; crime or a dishonorable life; desertion; mental infirmity; and incompatibility. The evidentiary requirements are so substantial that establishing one of these grounds has proved difficult. A couple cannot divorce by mutual consent. Domestic Unit, Inheritance, and Kin Groups. Traditionally, most Turks traced their descent and passed on property, especially homes and land, through the male line. Even though most households have always contained only one nuclear family, the ideal household, especially among the rural and urban wealthy, was patrilocal extended, in which a son and his bride lived in his parents' home after marriage. The basic kinship units are the family ( aile ) and the household ( hane ). Household members normally eat together and share income and expenses. The next larger unit is the patrilineage ( sulale ), consisting of relatives connected intergenerationally by a common male ancestor. While patrilineage is important to old, noble Ottoman families and tribal peoples, it is of little significance to most Turks. The traditional Turkish household is characterized by male dominance, respect for elders, and female subservience. The father or oldest male is the head, an authority figure who demands respect and obedience. The mother is also respected, but her relationship with her children is warm and informal. Although supreme authority ordinarily rests with the father, the household is usually mother-centered. The mother, being largely confined to the home, manages and directs its internal affairs. The division of labor has traditionally been clear-cut, with women having responsibility for the internal home, and men providing the income and representing the household to the outside world. Before the 1960s, even grocery shopping was a male duty. In recent decades, much of this has changed. The new Family Law grants women equal rights to private property and inheritance. A larger percentage of women work outside the home, and educated women demand more equal rights.";1;1;1;1;1;1;1
United States of America;https://www.everyculture.com/To-Z/United-States-of-America.html;"Marriage. Marriage is formally a civil institution but is commonly performed in a church. Statistically, marriage appears to be on the decline. Half of all adults are unmarried, including those who have never married and those who are divorced. Rates of marriage are higher among whites than among blacks. With the exception of Vermont, civil unions are legal only between heterosexual adults. However, gay marriages are increasingly common whether or not they are formally recognized by the state. Some religious denominations and churches recognize and perform gay marriages. The high rate of divorce and remarriage has also increased the importance of stepfamilies. Domestic Unit. The typical model of the family is the nuclear family consisting of two parents and their children. Upon marriage, adult couples are expected to form their own household separate from either of their biological families. The nuclear family is the cultural ideal but is not always the reality. Immigrant groups have been reported to rely on extended family networks for support. Similarly, among African-American families, where adult males are often absent, extended kin ties are crucial for women raising children. Inheritance. Americans trace their ancestry and inherit through both the maternal and paternal lines. Surnames are most commonly adopted through the paternal line, with children taking the father's name. Women usually adopt the husband's surname upon marriage, but it is increasingly common for women to keep their own surnames and for the children to use both the father's and the mother's last names. Kin Groups. Family can refer to a nuclear family group or an extended kin group. The ""ideal"" family consists of a mother, a father, and two or three children. Americans often distinguish between blood relatives and relatives through marriage; blood relatives are considered more important. Ties among nuclear families generally are closer than ties among extended family members. Adoption is common, but reproductive technologies that allow infertile couples and gay couples to reproduce are highly valued. This reflects the importance of the concept of biological kinship in the culture. Alternative models of family life are important in American life. A great deal of scholarship has addressed the historical and economic conditions";1;0;1;1;0;1;1
Chatgpt 5 (prompt 1);Describe, in detail, how kin relations and family connections appear within a society, as if you are observing them directly. Capture the atmosphere of interaction, support, and belonging that links people across generations and households. Write in a novel-like, observational tone under 200 words, and you may include brief quoted phrases.;"In this society, kinship threads through daily life like an unseen current. The bonds are neither loudly declared nor formally marked, yet they shape every gesture. Aunts drop by unannounced, carrying baskets of fruit or folded clothes for a niece who just moved out. Grandparents, even when frail, are present at every gathering — their silence a kind of guidance. Cousins share not just blood but errands, gossip, and debts of small kindnesses repaid over years. “We belong to each other,” an elder might say, not as sentiment but as fact.
Across narrow courtyards and city apartments, family ties stretch, bend, and reattach — a network of obligations that softens hardship and amplifies joy. When someone falls ill, the news travels faster than the doctor’s call; when a child is born, three households light candles in unison. Even when distance grows — through migration, marriage, or modern ambition — a faint pulse of connection remains, felt in the way people still introduce themselves by lineage: “I’m Leila, daughter of Karim’s sister.” In such places, kinship is less a structure than a rhythm — steady, familiar, and always returning to its own center.
";0;1;1;1;0;0;0
Chatgpt 5 (prompt 2);Write the opening paragraph of a text that begins with a scene showing how kin relationships shape daily life. Let it feel like the start of a larger narrative that reflects how people remain connected through family ties and shared obligations. Keep it under 200 words and you may include short dialogue.;"The afternoon light slanted across the courtyard, catching on the steam of a pot left to cool by the kitchen door. Inside, voices wove over one another — aunts debating recipes, cousins teasing, an old radio murmuring the day’s news. “Leave it, I’ll take it to Uncle Farid,” someone said, already tying the bundle with practiced hands. No request was ever singular here; one need rippled outward, answered by many. Across the alley, a grandmother called for help with her shutters, and two boys raced to her side before she could ask twice. The rhythm of the place was built on such small exchanges — errands traded, advice offered, tempers soothed and forgotten. Even when disagreements flared, they never lasted long; the next shared meal stitched the fabric tight again. Family, in this neighborhood, was less a word than a motion — the steady passing of hands, the quiet understanding that no one really stood alone.
";0;1;1;1;0;0;0
Chatgpt 5 (prompt 3);"Describe, in a novel-like but reflective way, how kin groups typically function within a society. Do not focus on specific individuals; instead, narrate the general flow of relationships, mutual care, and connection across families and generations. Keep it under 200 words.";"Kin groups in this society form the quiet architecture beneath daily life. They are not formal clans or titled lineages, but living webs of people who recognize one another through care, memory, and shared responsibility. Within these networks, help moves in circles — a wedding financed by uncles, a child raised with the patience of many hands, an elderly aunt tended not out of duty but out of habit, as one tends a garden that has always been there.
Decisions rarely belong to a single person; they ripple through conversations that stretch from kitchen tables to distant phone calls. Births, illnesses, and quarrels are collective events, their weight carried by the group. Even distance cannot dissolve the pattern — gifts cross oceans, advice travels through messages written at midnight, affection endures in the rhythm of checking in. What binds them is not law but continuity: the unspoken belief that one’s life is inseparable from those who came before and those still growing into the circle. In this way, kinship functions as both memory and shelter — a system of belonging that renews itself with every generation.
";0;1;1;1;1;0;0
Mistral-large (prompt 1);;"The morning air hums with the quiet rhythm of kinship as the old wooden door of the matriarch’s house creaks open. Inside, the scent of simmering tea and cardamom lingers, a familiar comfort. Aunts and cousins gather around the low table, their laughter weaving through stories of the past—""Remember when Uncle Hassan tried to fix the roof?""—each voice adding a thread to the tapestry of shared memory.
Outside, children dart between the legs of elders, their shouts met with indulgent smiles. A grandmother’s hand rests on a granddaughter’s shoulder, guiding her through the motions of kneading dough, passing down more than just a recipe. The men, clustered near the fire, debate and joke, their voices rising and falling like the tide, bound by unspoken loyalty.
Even the walls seem to breathe with connection: photographs of weddings and graduations, their edges curled with time, watch over the room. A neighbor stops by, greeted with ""Come, sit, eat!""—no distinction between blood and chosen kin. Here, belonging isn’t spoken; it’s felt in the press of a hand, the shared silence, the unshakable certainty that, no matter the distance, the threads of family will always pull you home.
";0;1;1;1;1;0;0
Mistral-large (prompt 2);;"The first light of dawn slipped through the cracks of the old house, painting the walls in pale gold as Amina stirred the pot of porridge on the stove. Outside, the courtyard was already alive—her brother’s voice carried from the well, teasing their cousin about yesterday’s failed fishing trip, ""Next time, let me show you how it’s done!"" Nearby, her mother sat shelling peas, her fingers moving with practiced ease, while her niece braided her hair, chattering about school.
Every movement, every word, was a thread in the fabric of the day. The men would leave soon for the fields, their laughter fading into the dusty path, but not before Amina pressed a bundle of flatbread into her uncle’s hands—""For later,"" she said, and he nodded, no thanks needed. The women would gather after, mending clothes, trading gossip, their voices rising and falling like the wind through the trees. Even the silence between them was warm, thick with the weight of shared years.
Here, no one was ever truly alone. The day unfolded as it always did, bound by the quiet, unshakable promise of family.
";0;1;1;1;0;0;0
Mistral-large (prompt 3);;"In every village, every neighborhood, the pulse of kin beats steady, a rhythm older than memory. Houses stand close, their doors rarely locked, for family is not just those who share a name but those who share the weight of living. Elders sit at the center, their voices carrying the wisdom of seasons, while the young move around them—laughing, stumbling, learning. Meals are prepared in one home and carried to another, because hunger is never a solitary burden here. A child’s cry draws not one pair of arms, but many; a celebration spills beyond walls, pulling in neighbors, cousins, friends who might as well be kin.
Obligations are not chains but threads, woven into the fabric of daily life. A harvest is gathered by many hands; a grief is held by many hearts. Stories, too, are passed like heirlooms, each telling a piece of who they are, where they came from. Even silence is shared, comfortable in its knowing. There is no need to ask for help—it arrives before the request is formed. And when someone leaves, the ties do not snap; they stretch, elastic, pulling them back, always back, to the place where they are known, where they belong. This is how kin endures: not in grand gestures, but in the quiet, unyielding certainty of connection.
";0;1;1;1;1;0;0
