country;source_url;etiquette_text;verbal_phrase;handshake;cheek_kiss;hug;eye_contact;physical_distance
Iran;https://www.everyculture.com/Ge-It/Iran.html;"The social lubricant of Iranian life is a system known as ta'arof , literally ""meeting together."" This is a ritualized system       of linguistic and behavioral interactional strategies allowing individuals       to interrelate in a harmonious fashion. The system marks the differences       between andaruni and biruni situations, and also marks differences in relative social status. In       general, higher status persons are older and have important jobs, or       command respect because of their learning, artistic accomplishments, or       erudition. Linguistically, ta'arof involves a series of lexical substitutions       for pronouns and verbs whereby persons of lower status address persons of       higher status with elevated forms. By contrast, they refer to themselves       with humble forms. Both partners in an interaction may simultaneously use       other-raising and self-lowering forms toward each other. Ritual An Iranian family eating a meal in Shiraj. Even after they leave             home, members of extended families have hospitality rights in the             homes of their most distant relatives. greetings and leave-takings such as ghorban-e shoma (literally, ""your sacrifice"") underscore this sensibility. In social situations, this linguistic gesture is replicated in behavioral       routines. It is good form to offer a portion of what one is about to eat       to anyone nearby, even if they show no interest. One sees this behavior       even in very small children. It is polite to refuse such an offer, but the       one making the offer will be sensitive to the slightest hint of interest       and will continue to press the offer if it is indicated. Guests bring honor to a household, and are eagerly sought. When invited as       a guest a small present is appreciated, but often received with a show of       embarrassment. It will usually not be unwrapped in front of the giver. It       is always expected that a person returning from a trip will bring presents       for family and friends. An honored guest is always placed at the head of a room or a table. The       highest status person also goes first when food is served. It is proper       form to refuse these honors, and press them on another. One must be very careful about praising any possession of another. The       owner will likely offer it immediately as a present. Greater danger still       lies in praising a child. Such praise bespeaks envy, which is the essence       of the ""evil eye."" The parent will be alarmed, fearing for       the child's life. The correct formula for praising anything is ma sha' Allah , literally, ""What God wills."" Iranians can be quite physically intimate with same-sex friends, even in       public. Physical contact is expected and is not erotic. In restaurants and       on buses and other public conveyances people are seated much closer than       in the West. On the other hand, even the slightest physical contact with       non-family members of the opposite sex, unless they are very young       children, is taboo. A downward gaze in Iran is a sign of respect. Foreigners addressing       Iranians often think them disinterested or rude when they answer a       question without looking at the questioner. This is a cross-cultural       mistake. For men, downcast eyes are a defense measure, since staring at a       woman is usually taken as a sign of interest, and can cause difficulties.       On the other hand, staring directly into the eyes of a friend is a sign of       affection and intimacy. In Iran the lower status person issues the first greeting. In the reverse       logic of ta'arof this means that a person who wants to be polite       will make a point of this, using the universal Islamic salaam or         the extended salaam aleikum. The universal phrase for leave-taking is khoda hafez â€”""God protect.""";1;0;0;0;1;1
Italy;https://www.everyculture.com/Ge-It/Italy.html;Italians generally are effusive in their public behavior. There is a great       deal of public embracing and kissing upon greeting people. It is also       polite to sit close to people and to interact by lightly touching people       on the arms. Italian gazes are intense. It is felt that someone who cannot       look you in the eyes is trying to hide something. Elders expect and get       respect. They enter a room first. Men stand for women and youngsters for       adults. Children tend to be used to run errands and help any adult,       certainly any adult in the family. Gazing intently at strangers is common,       and Italians expect to be looked at in public. Traditionally, younger       women deferred to men in public and did not contradict them. Older women,       however, joined in the general give and take of conversation without fear.       Italians have little respect for lines and generally push their way to the       front. There is great care given to preserving one's bella figura,       dignity. Violating another's sense of selfâ€“importance is a       dangerous activity.;0;0;1;1;1;1
Japan;https://www.everyculture.com/Ja-Ma/Japan.html;"Etiquette can be a full-time occupation, especially in the context of       traditional artistic pursuits, such as the tea ceremony, where its       principles are incorporated as elements of performance. Even in more       prosaic circumstances, many points of etiquette are elaborately codified,       including an extensive vocabulary and grammar for polite conversation;       specific principles for the selection, presentation, and reciprocation of       gifts; and standards for bowing and exchanging name cards. Many people       find the intricacies of etiquette daunting, and books that offer advice on       these situations are steady sellers. Etiquette hinges on principles of       proportional reciprocity in social hierarchies based on determinations of       relative status between superior and subordinate. These relative statuses       may reflect an individual's age, gender, or social role or may       reflect relationships among different social institutions.";1;0;0;0;0;0
New Zealand;https://www.everyculture.com/Ma-Ni/New-Zealand.html;"The sacred feature of the Maori is the head and so touching it is avoided.       In the marae, the hongi (touching of noses) is the accepted greeting. Otherwise         the handshake, the hug, and the cheek kiss are used, depending on the       degree of intimacy. Verbal greetings includes ""Hello,""       ""How are you?"" ""Gidday,"" and, especially, in       North Island, Kia Ora (""Good health,"" ""Are you well?""). Men enjoy       ""mateship,"" which involves close contact, but otherwise       contact distance is arm's length. Behavior in public places is       orderly, and good humor is expected. Depending on how recently they have       arrived in the country, immigrants and refugees maintain their own customs       but gradually adapt, especially in school.";1;1;1;1;0;1
Nigeria;https://www.everyculture.com/Ma-Ni/Nigeria.html;Age is greatly respected in Nigeria. In an area where the average life       expectancy is not very high, those who live into their senior years are       seen as having earned special rights of respect and admiration. This is       true of both men and women. Socially, greetings are of the utmost importance. A handshake and a long       list of well wishes for a counterpart's family and good health are       expected when meeting someone. This is often true even if you have seen       that person a short time earlier. Whether you are talking to a bank teller       or visiting a friend, it is considered rude not to engage in a proper       greeting before getting down to business. Shaking hands, eating, or passing things with the left hand are       unacceptable. The left hand is reserved for personal toiletries and is       considered dirty.;1;1;0;0;0;0
Mexico;https://www.everyculture.com/Ma-Ni/Mexico.html;Mexican etiquette is strongly informed by the culture of social       hierarchies and distance. These can exist along the lines of race and       gender, but class distinctions regulate social interaction most       decisively. It goes without saying that the different social hierarchies       frequently run parallel. Generally speaking, Mexicans shake hands when they meet or in the case of       two women meeting or a man and a woman meeting, kiss each other on the       cheek once. In the case of close friends and on special occasions, such as       New Year's Eve, Mexican men and women embrace each other, pat each       other gently on the back, and then shake hands. This abrazo expresses confidentiality and the crucial value of trust. Because       strangers cannot be placed within the different circles of intimacy and       confidentiality they are generally treated with suspicion. When people of different socioeconomic status meet, the individual with       the socially ascribed inferior status will wait for the person with       superior status to define the terms of the encounter. Mexicans are very       keen on being addressed with their academic or professional title. The       most commonly used academic title is that of licenciado. The form of address of licenciado is more linked to the position someone       holds than to that person's precise academic credentials. People of       lower standing will also invariably address a socially superior with the       formal you ( usted ), while the latter will most likely use the informal you ( tu ). These forms of address draw boundaries, create distance, and confirm       the social hierarchies so characteristic of the national culture. Mexicans value the art of eloquence. Conversations will mostly begin with       polite and informal exchanges and slowly move toward the subject matter.       Even then Mexicans remain indirect speakers, avoiding clear-cut       statements. Politicians and This colonial church with two bell towers was built with ancient             Maya stones. Spanish and French architectural traditions influenced             Mexican buildings. senior bureaucrats are identified as the masters of this rhetorical       style. They have become the object of irony in the hands of the famous       comic Cantinflas, who by speaking a lot but saying nothing gave birth to       the verb cantinflar.;1;1;1;1;0;1
Russia;https://www.everyculture.com/No-Sa/Russia.html;"The most significant elements of etiquette are the verbal markers of       social status. People use the second person plural pronoun when addressing       elders except for parents and grandparents, persons of higher status,       strangers, and acquaintances. The informal second person singular is used       only among close friends, within the natal family, and among close       coworkers of equal status. The more distant two people are socially, the       more likely it is that they will address each other with full formality.       Addressing someone formally also entails using the person's full       name and patronymic. Misuse of the informal mode is extremely insulting. Table behavior is circumscribed by a code of manners. Hosts and hostesses       must show unfailing generosity, even with unexpected guests, and guests       must receive that hospitality with a show of willingness to be served,       fed, and pampered. Drinking together and toasting are important aspects of       these rituals. The filthiness of urban surfaces means that one never sits on the ground       or puts shod feet on a table. Proper feminine behavior requires the       observance of a number of specific practices: clothes must always be       immaculately clean and pressed, fastidious grooming is critical, and       comportment should be elegant and reserved. However, in crowds, lines, and       public transport, active shoving and pushing are the norm. In Soviet times, being demure and not drawing attention to oneself through       dress or behavior were highly valued, but this norm has vanished with the       explosion of fashion and attention-getting subcultural identities. The word ""uncultured"" is used by grandmothers and older       people as a reprimand for behavior on the part of their charges or total       strangers that are considered uncouth or inappropriate. The use of this       reprimand has diminished as the social status of elders has fallen and as       blatantly offensive behavior in the cities has become a mark of the power       and ""coolness"" of youthful traders and       ""toughs.""";1;0;0;0;0;1
Saudi Arabia;https://www.everyculture.com/Sa-Th/Saudi-Arabia.html;"Social interaction is marked by strong gender segregation and respect for       age differentials. An egalitarian ethos and a high valorization of polite       behavior also prevail. Men and women seldom interact across the gender       divide outside the domestic space of families, and many of the       society's most powerful do's and don'ts aim to       regulate such interaction beyond the confines of a home. Thus male-female       interaction in a commercial shop should be formal and strictly limited to       the process of buying and selling. Generally, men and women should refrain       from making specific references to individuals of the other gender,       although it is appropriate and common for one to inquire about the       well-being of another individual's ""family"" or       ""house""â€”concepts which are understood as       circumlocutions for significant others of the opposite gender. Deference       should be shown to those who are older, and relations between generations       are often characterized by strict formality and the maintenance of decorum       in social gatherings. Most social interaction takes place in groups that are gender- and       age-specific. Social visiting within such contexts is very common and       occurs on both an everyday basis and for special events. The latter       especially include visits to convey condolences for a death or,       conversely, to express congratulations for a happy occurrence such as a       wedding, a graduation or promotion, or a safe return from a trip. A guest,       upon arrival, should greet individually the host and all others present by       shaking hands or, if well-known to each other and of similar age, by       kissing on the cheeks three or more times. The individual being greeted       should stand. The guest must be offered refreshments of coffee and tea. An       invitation to lunch or dinner should also be offered by the host. An       animated and relatively long exchange of greetings is expected between       host and guest and between the guest and others present, as A Bedouin tribesman at a market in Abha. each individual inquires about the other's health and wishes       him/her God's protection. The offering of refreshments and the       exchange of greetings is extended to office and shop settings (at least       among people of the same gender); failure to observe them is very rude.       Meanwhile, gender segregation is maintained in public places such as       airports or banks, where separate lines for men and women are usual. People tend to remain in close physical contact during social interaction.       Walking arm-in-arm or holding hands and gently slapping or touching a       person's outstretched palm while talking is common, especially       among people of the same gender who know each other well. Gazing, and       especially staring, at strangers is rude. In public, people should avoid       direct eye-contact with passers-by. When greeting a stranger or an       acquaintance, it is appropriate for the person who arrives first to say,       in Arabic, ""Peace be upon you,"" to which the proper reply       is, ""And upon you peace."" When saying goodbye, it is proper       to say, in Arabic, ""In the custody of God,"" the reply being       ""In the custody of the Generous One."" Generally, the same       patterns of etiquette hold throughout Saudi Arabia. Greater formality,       however, prevails among Bedouin and rural people, while more relaxed,       informal interaction occurs among younger urbanites. The same patterns,       but in attenuated forms, apply between local citizens and immigrants.";1;1;1;0;1;1
Turkey;https://www.everyculture.com/To-Z/Turkey.html;"Formal etiquette is central to Turkish culture, governing most social       interactions and the use of space. Turkish culture has an exact verbal       formula for practically every occasion. Etiquette requires the       pronouncement of the proper formulas for these occasions. Strict etiquette governs intergenerational and heterosexual interactions.       Unless they are close friends or relatives, older people are addressed       formally. For example, older men should be addressed with the title       ""Bey"" (Mister) and women with the title       ""Hanim"" (Lady). Younger people are expected to be reserved       in their presence. Adults of the opposite sex are expected not to act       casually or show affection toward each other in public. Friends of the       same sex may hold hands and greet each other with kisses on the cheek.       Upon meeting, men shake hands, but a man does not shake a woman's       hand unless she extends it to him. People are not criticized for being late. Business meetings usually are       preceded by tea and unrelated conversation. Consideration for companions       is important. One does not drink, smoke, or eat something without first       offering to share it with one's companions. Ninety-eight percent of Turks are nominally Muslim. Homes are divided into guest and private areas, and it is improper to ask       for a tour of the house. The soles of shoes are considered dirty, and       shoes are removed when one enters a home or mosque.";1;1;1;0;0;1
United States of America;https://www.everyculture.com/To-Z/United-States-of-America.html;Personal comportment often appears crass, loud, and effusive to people       from other cultures, but Americans value emotional and bodily restraint.       The permanent smile and unrelenting enthusiasm of the stereotypical       American may mask strong emotions whose expression is not acceptable.       Bodily restraint is expressed through the relatively large physical       distance people maintain with each other, especially men. Breast-feeding,       yawning, and passing gas in public are considered rude. Americans consider       it impolite to talk about money and age.;0;0;0;0;0;1
Chatgpt 5 (prompt 1);"Prompt1:”Describe in detail the first moments when two people meet in a formal context, as if you are physically present and watching it unfold. Use sensory detail and write it in a novelistic style under 200 words. You may include direct quotes.""";"The room was hushed except for the faint rustle of papers and the low hum of an air vent. As the door opened, the man stepped inside, polished shoes tapping lightly against the floor. The woman rose from her chair with measured grace, the faint scent of her perfume drifting into the air. Their eyes met—steady, appraising—before he inclined his head ever so slightly.
“Good afternoon,” he said, his voice even, carrying just enough warmth to soften the formality.
Her reply followed swiftly, “It’s a pleasure to finally meet you.” She extended her hand, fingers poised, the gesture precise but not stiff.
Their hands clasped—cool against warm, firm without lingering. A brief silence stretched, filled with the faint scrape of a chair and the muted echo of footsteps in the hallway beyond.
The exchange was ritualistic yet charged, every movement deliberate: the controlled posture, the careful modulation of tone, the awareness that this moment marked the beginning of something to be measured and weighed.
Neither smiled fully, but the edges of their expressions hinted at restraint held just shy of ease, as if both knew the scene demanded composure before familiarity could emerge.
";1;1;0;0;1;1
Chatgpt 5 (prompt 2);"Prompt2:”Write the opening paragraph of a story that begins with two people meeting in a formal context. Let it feel like the start of a larger narrative, setting mood and tone as well as describing their first gestures and words. Keep it under 200 words and you may include direct quotes.""";"The chandelier light scattered in fragments across the polished floor as Mr. Darius stepped into the hall, his dark coat shedding the faint chill of the outside air. At the far end, Ms. Anvari rose from her seat, smoothing the folds of her jacket with a practiced motion. For a moment, the room seemed to tighten around them, silence brimming with anticipation. Their eyes locked—not with intimacy, but with the careful measure of strangers summoned to an important beginning. “Mr. Darius,” she said, her voice low, precise, each syllable carrying the weight of protocol. He inclined his head, his lips curving into a polite half-smile. “Ms. Anvari. At last.” Their hands met in a brief clasp, firm and deliberate, a gesture of agreement before words could stake their claims. The air between them smelled faintly of varnished wood and citrus polish, the kind of setting where formality lingers like perfume, impossible to ignore. In that first instant, as they released their grip and stepped back, the narrative of their encounter had already begun to write itself—measured, cautious, but charged with the unspoken knowledge that something larger was set in motion.
";1;1;0;0;1;1
Chatgpt 5 (prompt 3);"Prompt3:”Describe, in a novel-like way, how a formal greeting usually unfolds. Do not focus on two specific individuals, but narrate the typical flow of the first seconds in such an encounter as if you were telling a scene from life. Keep it under 200 words and you may include direct quotes.""";"A formal greeting often begins with the careful choreography of approach: two figures closing the space between them at a measured pace, postures adjusted to signal respect. There is a subtle pause, almost imperceptible, in which both seem to register the other’s presence fully before a word is spoken. Eyes meet briefly—steady, not lingering—and then one voice breaks the silence.
“Good morning,” or “It’s a pleasure to meet you,” comes first, the tone chosen to balance warmth with restraint. A hand is extended, palm angled just so, the gesture carrying centuries of learned convention. The other responds in kind, the clasp brief, firm, and released almost as soon as it begins, leaving behind the faint memory of pressure.
Smiles may appear—measured, contained—as though permission for ease has not yet been granted. Sometimes the exchange includes a small bow of the head, or the faintest lean forward, acknowledging the shared gravity of the moment. The setting, whether a polished office, a quiet corridor, or a ceremonial hall, seems to heighten the weight of these gestures. In those few seconds, roles are established, expectations set, and the invisible script of formality takes hold.
";1;1;0;0;1;1
Mistral-large (prompt 1);;"The grand doors of the conference hall groaned open, releasing a sigh of air conditioned chill into the marble foyer. A woman in a tailored navy suit—her heels clicking like a metronome—paused just inside the threshold, her fingers brushing the pearl at her throat. The scent of polished mahogany and the faint citrus of her perfume mingled with the dry, recycled air.
Across the room, a man adjusted his cufflinks, the gold catching the light as he turned. Their eyes met—hesitant, assessing. A beat of silence, thick as the velvet drapes framing the windows.
“Dr. Lærke?” His voice, low and measured, carried the faintest trace of an accent.
She extended her hand. “Mr. Vestergaard. Your reputation precedes you.”
Their hands met—firm, professional, but the briefest pause betrayed something unspoken. His palm was warm, hers cool from the glass of champagne she’d abandoned on a passing tray. The clink of silverware and the murmur of distant conversations wrapped around them like a cocoon.
A smile, polite but guarded. “Shall we?”
And just like that, the dance began.
";1;1;0;0;1;1
Mistral-large (prompt 2);;"The rain had been falling for hours by the time Elias Voss stepped into the dim glow of the Grand Hotel’s lobby, his overcoat damp at the shoulders, the scent of wet wool and old books clinging to him. Across the room, beneath the flickering chandelier, a woman stood with her back to the fireplace, the embers casting long shadows that danced at her feet. She wore a dress the color of storm clouds, her gloved fingers resting lightly on the spine of a leather-bound ledger.
Their eyes met—his sharp and assessing, hers unreadable as polished glass. A log shifted in the hearth, sending up a shower of sparks.
“You must be Clara Hartwell,” he said, his voice cutting through the hush of the room like a blade through silk.
She didn’t smile. “And you’re late, Mr. Voss.”
The air between them hummed, thick with the weight of unspoken things—the kind of silence that precedes either a confession or a betrayal. Somewhere, a clock ticked, counting down to whatever came next.
";1;0;0;0;1;1
Mistral-large (prompt 3);;"The ritual begins with a pause—just a breath, really—before the first step forward. Hands emerge from pockets or smooth the creases of tailored fabric, fingers adjusting cuffs or brushing imaginary lint from a sleeve. Eyes meet, a fleeting assessment: the tilt of a chin, the set of shoulders, the way light catches the polished toe of a shoe.
A voice breaks the silence, measured and clear: ""How do you do?"" or perhaps a simple, ""Pleased to meet you."" The words are formulaic, but the tone carries the weight of unspoken calculation. A hand extends, palm neither too limp nor too firm, the grip lasting just long enough to signal respect without familiarity.
There’s the exchange of names, sometimes accompanied by a faint nod, a gesture as precise as a comma in a well-crafted sentence. ""Ah, yes, I’ve heard of your work."" A pause. ""Most impressive."" The compliments are careful, placed like chess pieces on a board.
Then, the retreat—a half-step back, the re-establishment of personal space. The air hums with the quiet electricity of first impressions, the kind that lingers long after the hands have parted. The scene closes as it began: with a breath, a beat, and the unspoken question hanging between them—What comes next?
";1;1;0;0;1;1
Qwen 3-Max (prompt 1);;"The grand foyer hummed with muffled chatter and the clink of porcelain. Rain slicked the cobblestones outside, its chill seeping through the tall windows. Eleanor stood near the marble pillar, smoothing her charcoal skirt, when he entered—late, slightly flustered, raindrops glistening in his dark hair.

Their eyes met across the polished floor. He adjusted his cufflinks, squared his shoulders, and approached.

“Ms. Thorne?” His voice was lower than she expected, edged with polite urgency.

“Yes. Mr. Ashworth, I presume?” She offered a hand, cool and steady.

His grip was firm, brief—a handshake calibrated for boardrooms, not ballrooms. A faint trace of bergamot and damp wool clung to him. Behind them, a clock ticked toward the hour.

“Apologies for my tardiness,” he said, glancing at the gilded clock above the mantel. “The traffic—”

“Quite all right,” she interrupted smoothly, though her pulse fluttered like a trapped moth. “Shall we?”

They turned toward the conference room, two strangers bound by agenda and expectation, the air between them still charged with the static of first impressions.
";1;1;0;0;1;1
Qwen 3-Max (prompt 2);;"Rain drummed a muted rhythm against the leaded windows of the Langford Hotel’s reception room, casting shifting silver patterns across the Persian rug. Clara stood just inside the doorway, her gloved fingers tightening around the strap of her briefcase as she scanned the room. He was already there—tall, immaculate in a charcoal suit, one hand resting lightly on the back of a velvet chair as if claiming temporary dominion over the space.
When he saw her, his expression shifted almost imperceptibly: a slight lift of the brow, the ghost of a nod. He crossed the room with unhurried precision.
“Ms. Voss?” His voice was calm, measured, but carried beneath it a current she couldn’t yet name.
“Mr. Duvall,” she replied, offering her hand. His grip was dry, deliberate—not too firm, not too brief. A practiced neutrality.
“I wasn’t sure you’d come in this weather,” he said.
She smiled, just enough. “Some meetings,” she said, “are worth getting wet for.”
Outside, thunder rumbled like a warning. Inside, the air hummed with everything left unsaid.
";1;1;0;0;1;1
