country;link;text;Mother main role in upbringing;Kindergarten;Public schooling;Father participate in raising;Grandparents has role in raising;Teaching method variation
Iran;https://www.everyculture.com/Ge-It/Iran.html;"Socialization. Infant Care. The role of the mother is extremely important in Iran. Mothers are expected to breast-feed their babies for fear the babies will become ""remorseless."" Child Rearing and Education. Mothers and children are expected to be mutually supportive. A mother will protect her children's reputation under all circumstances. Small children are indulged, and not just by their parents. They are magnets for attention from everyone in the society. Some parents worry about their children becoming vain and spoiled, but have a difficult time denying their wishes. Older children often raise younger children, especially in rural settings. It is very common to see an older child with full responsibility for care of a toddler. Children are usually more than up to this task, and develop strong bonds with their siblings. There is some rivalry between children in a family, but the rule of primogeniture is strong, and older children have the right to discipline younger children. The father is the disciplinarian of the family. Whereas most fathers dote on their small children, they can become fierce and stern as children approach puberty. It is the father's responsibility to protect the honor of the family, and this means keeping close watch on the women and their activities. A girl is literally a treasure for the family. If she remains chaste, virginal, modest, and has other attributes such as beauty and education she has an excellent chance of making a marriage that will benefit everyone. If she falls short of this ideal, she can ruin not only her own life, but also the reputation of her family. Boys are far more indulged than girls. Their father teaches them very early, however, that the protection of family honor also resides with them. It is not unusual to see a small boy upbraiding his own mother for some act that shows a lack of modesty. This is the beginning of a life long enculturation that emphasizes self-denial, collectivism, and interdependence with regard to the family. Families place a very strong emphasis on education for both boys and girls. For girls this is a more modern attitude, but it was always true for boys. The education system relies a great deal on rote memorization, patterned as it is on the French education system. Children are also strongly encouraged in the arts. They write poetry and learn music, painting, and calligraphy, often pursuing these skills privately. Higher Education. All Iranians would like their children to pursue higher education, and competition for university entrance is fierce. The most desired professions for children are medicine and engineering. These fields attract the best and the brightest, and graduates receive an academic social title for both professions ( doktor and mohandess ). The social rewards are so great for success in these professions that families will push their children into them even if their interests lie elsewhere. Many young people receive an engineering or medical degree and then pursue a completely different career.";1;0;0;1;0;1
Italy;https://www.everyculture.com/Ge-It/Italy.html;Socialization. Infant Care. There is a fear that others will be jealous of a healthy and bright baby. Care is taken not to be foolish and boast too much about one's child. There are many charms and practices to ward off dangers, such as the evil eye. Children are coddled and held to keep them happy and content. They eat at will, are allowed to sleep with their parents, and are taken on family outings. Although times are changing it is still common to have families go to nightclubs and restaurants together. Parents are glad to see signs of activity in children and tease youngsters almost mercilessly to teach them to stand up for themselves. Older children routinely care for younger ones. Child Rearing and Education. Children are indulged when young. As they grow older, they are expected to obey their parents and contribute to the Higher Education. Current Italian society emphasizes formal education, including higher education. However, Italy currently ranks last in expenditure per pupil in higher education in the European Union. There are a number of notable universities, many with long lineages: the universities of Bologna and Salerno, among others, go back to medieval times.;0;0;0;0;0;0
Japan;https://www.everyculture.com/Ja-Ma/Japan.html;"Socialization. Infant Care. Infants and young children are doted on, and child rearing is a considered a very important responsibility for women in their twenties and thirties. Many women give birth to their first child after little more than a year of marriage, and married couples without children are uncommon. Child Rearing and Education. Child rearing involves a high degree of physical and emotional interaction between mother and child; fathers are less involved. Traditionally, sons were favored over daughters, and the oldest son was raised quite differently from the other sons. Particularly close bonds between oldest sons and their mothers were not uncommon. In modern urban nuclear families, close psychological ties between mothers and children are extremely common. Childhood socialization is guided by the widespread belief that a child is a passive and malleable being; innate talent or ability is less important than is its being properly shaped, particularly by maternal influences. These attitudes carry over into the early years of education. Differentiation of students by academic ability does not take place until the end of elementary school, and the emphasis in primary education is on social integration, self-discipline, and the fundamental skills of reading, writing, and arithmetic. Responsibility for curriculum standards and textbook approval lies with the Ministry of Education, which must approve public and private educational institutions. There are two levels of pre-school: nursery school from about three years of age and kindergarten from about five years of age. Compulsory education begins at about age six with elementary school, which lasts for six years, followed by three years of middle school. Mandatory education ends with middle school, but most students go on to high school. Entrance examinations are generally are required for admission to all levels of private schools and for public schools beyond elementary school. At better schools, these exams can be extremely competitive. In preparation for college entrance examinations, sometimes for high school, and occasionally even at lower levels, a student may leave school to devote an entire year to studying at an examination academy. The examination system is a source of anxiety for children and their families (pushy mothers are dubbed ""education mamas""). Bullying among students is a common problem. A related problem is the reintegration of students who have studied overseas. Higher Education. Half of high school graduates receive an advanced education. There are 165 public and 460 private universities and four-year colleges and almost 600 two-year colleges. A college degree is a prerequisite for most middle-class occupations, and many companies formally restrict their recruiting to graduates of specific universities. This creates enormous pressure to enter top-ranked schools. High schools are evaluated in terms of their success in placing their graduates prestigious universities. For many students, college is seen as an opportunity to take a break from years of preparation for examinations, and college life often is regarded as a relaxing interlude before one starts a career.";1;1;1;0;0;1
Mexico;https://www.everyculture.com/Ma-Ni/Mexico.html;"Socialization. Infant Care. The average number of children per household has decreased in recent decades and was just over two in 1995. Infants are mostly cared for at the parental home. Some are cared for at a private nursery from the age of three months. At the age of four, children are officially required to attend a kindergarten for two years. Children in Mexico are rapidly integrated into the activities of adults, but they are also strongly protected and not actively encouraged to discover their surroundings on their own. Child Rearing and Education. After kindergarten, children are required to go to primary school for six years. Nevertheless, in 1995 almost 32 percent of the population over the age of fifteen had not finished primary school. In public and private schools pupils have to wear uniforms. Whereas public schools stress civic values and lay education, the majority of private schools tend to place more emphasis on religious values. There are also more liberal private schools. Relations between teacher and pupils tend to be strict. Role and rule differentiation between girls and boys begins at an early age and forms key aspects of child rearing until adolescence. Male babies are dressed in blue and female babies in soft pink. There is a tendency to raise boys as ""little men"" and girls as ""little women,"" thereby preparing them for their future gender roles. Sexual education within the family is still taboo for many Mexicans. Methods of child rearing also show differences according to class. In lower-class households it can be strict and traditional. During the 1990s, the government launched campaigns against the use of corporal punishment. The most important initiation ceremony for girls is held when they turn fifteen. This fiesta de quince aÃ±os marks the transition from girl to seÃ±orita , that is, a young virgin. The event also indicates that the young woman is now available for marriage. The ritual includes a holy mass during which the need to maintain purity until marriage is stressed. Afterward, the family holds a large party. There is no comparable ritual for boys. Higher Education. In Mexico higher education is considered a road to socioeconomic progress and well-being. During several decades, public universities were recruitment sites for the political and administrative elite. This function has increasingly been taken over by the most prestigious private universities. In 1995, nearly 12 percent of the population over the age of twenty-five enjoyed some degree of higher education. At the beginning of university courses in 1998, there were just over 1.5 million students in the universities (excluding preparatory schools), of which 811,000 were men and 704,000 were women. Half the students studied social and administrative sciences and a third were in engineering and technology.";0;1;1;0;0;1
New Zealand;https://www.everyculture.com/Ma-Ni/New-Zealand.html;"Socialization. Infant Care. Pakeha use playpens and place an infant in a separate crib, often in a separate room. Maori, especially in low-income and rural areas, have all children sleep together. Children, including infants, may spend as much time at an ""aunty's"" house as at the house of the natural mother. An ""aunty"" is any close female relative or friend who may provide full- or part-time infant and child care. Babies are usually put into prams, though commercial baby carriers also are used. Calming and stimulating are matters of individual philosophy. Child Rearing and Education. New Zealand has a fully comprehensive education system. The Maori ""renaissance"" has resulted in special Maori education from preschools to middle schools. The Maori language is increasingly an option at all levels, and one aim is for a total education in Maori. Alternative schooling such as Montessori, Rudolph Steiner, home schooling, and state-run correspondence school is available and government-approved. Primary, intermediate, and high school are based on a British model, with uniforms from the intermediate level on and a prefect system with a head boy responsible for discipline. There are co-ed and single-sex schools. Obedience and being able to ""take it"" are still prized male values. Higher Education. There are seven universities with 214,228 students and twenty-five polytechnics.";1;1;1;0;1;1
Nigeria;https://www.everyculture.com/Ma-Ni/Nigeria.html;"Socialization. Infant Care. Newborns in Nigerian societies are regarded with pride. They represent a community's and a family's future and often are the main reason for many marriages. Throughout Nigeria, the bond between mother and child is very strong. During the first few years of a child's life, the mother is never far away. Nigerian women place great importance on breast-feeding and the bond that it creates between mother and child. Children are often not weaned off their mother's milk until they are toddlers. Children who are too young to walk or get around on their own are carried on their mother's backs, secured by a broad cloth that is tied around the baby and fastened at the mother's breasts. Women will often carry their children on their backs while they perform their daily chores or work in the fields. Child Rearing and Education. When children reach the age of about four or five, they often are expected to start performing a share of the household duties. As the children get older, their responsibilities grow. Young men are expected to help their fathers in the fields or tend the livestock. Young women help with the cooking, fetch water, or do laundry. These tasks help the children learn how to become productive members of their family and community. As children, many Nigerians learn that laziness is not acceptable; everyone is expected to contribute. While children in most Nigerian societies have responsibilities, they also are allowed enough leeway to be children. Youngsters playing with homemade wooden dolls and trucks, or groups of boys playing soccer are common sights in any Nigerian village. In many Nigerian ethnic groups, the education of children is a community responsibility. For example, All Nigerian children are supposed to have access to a local elementary school. While the government aims to provide universal education for both boys and girls, the number of girls in class is usually much lower than the number of boys. Sending every child in a family to school can often put a lot of strain on a family. The family will lose the child's help around the house during school hours and will have to pay for uniforms and supplies. If parents are forced to send one child to school over another, many will choose to educate boys before girls. Higher Education. Historically, Nigerians have been very interested in higher education. The lack of universities providing quality education equal to that in Britain was a major component of the social reforms that led to Nigeria's independence. Today there are forty-three universities in Nigeria. The majority of these are government-run, but the government has recently approved the creation of three private universities. While Nigeria's system of higher education is the largest in Africa, the demand for higher education far exceeds the capacity of the facilities. There simply are not enough institutions to accommodate the demand. In 1998 only thirty-five thousand students were accepted to Nigerian universities out of a pool of more than four hundred thousand applicants. Nigeria also has 125 technical training schools. The majority of these focus on polytechnic and agricultural training, with a few specializing in areas such as petroleum sciences and health.";1;0;1;0;0;0
Turkey;https://www.everyculture.com/To-Z/Turkey.html;"Socialization. Women are very protective of their children. Breast-feeding for a year or more is common. The child commonly sleeps in a hammock or crib near the parents. Boys are socialized to be courageous, assertive, proud, and respectful of elders. When they undergo a painful circumcision ceremony between ages 9 and 12, they are told to be as brave as lions. Girls are socialized to be modest, compliant, supportive of males, virtuous, and skilled in domestic tasks. Fathers are authoritarian disciplinarians; mothers are generally loving and nurturing. Every woman rejoices when giving birth to a son, because that event increases her status in the eyes of her husband, in-laws, and community. She usually pampers her son, who remains close to her until age 10 or 11, after which he spends most of his time with other males and identifies more closely with men. Mothers and daughters are especially close, as daughters usually spend much of their premarital lives close to their mothers, learning domestic skills: Generally, the fatherâ€“daughter relationship is rather formal, with little public displaying of affection. Although a daughter or son may argue or joke with the mother, they are respectful and subdued in the father's presence. During prepubescence, relations between brothers and sisters are free and easy. Later, their statuses change as the older sibling takes on some of the rights and duties of a parent. The older sister ( abla ) becomes like a second mother, loved for her warmth and affection. The older brother ( agabey ) assumes the helpful but authoritarian status of a minor father. In extended families, grandparents, especially grandmothers, provide a good deal of child care. School attendance is compulsory to age 14. The first day of class constitutes an important rite of passage. The children are dressed in black smocks with white collars and taken to school with pomp and ceremony. Most families that can afford it, keep their children in school beyond age 14. Most would like to see their children, especially their sons, complete university, but this is rarely possible for poor families.";1;0;1;1;1;0
United States of America;https://www.everyculture.com/To-Z/United-States-of-America.html;"Socialization. Infant Care. Infant care varies by class. In New York City, it is common to see women of Dominican and West Indian descent caring for white children. Wealthy people often employ nannies to care for infants. Nannies, who often have children of their own, may have to rely on family members or their older children to watch over their infants. Wealthy or poor, the majority of mothers work outside the home. This, coupled with the fact that many people cannot rely on their extended families to help care for their newborns, makes infant care a challenge. Some employers offer short maternity leaves for mothers and increasingly, paternity leaves for fathers who are primary caregivers. Child Rearing and Education. Child rearing practices are diverse, but some common challenges apply to all families. It is common to put children in day care programs at an early age. For wealthy families, this entails finding the most elite day care centers; for less wealthy families, it may involve finding scarce places in federally-funded programs. For all working families, day care can be a cause of anxiety and guilt. Negative media stories about child abuse at these centers spoke more to these anxieties than to the actual quality of care. The country makes few provisions for the care of young children considering the fact that most mothers work outside the home. From age five to age eighteen, public schooling is provided by the state and is universally available. School is mandatory for children until the age of sixteen. Public school education in suburban areas and small cities and towns is usually adequate or excellent. Inner-city schools are underfunded and have a high proportion of minority students. This reflects a history of white flight to the suburbs and a system in which schools are funded through local property taxes. Thus, in cities abandoned by wealthier whites, both tax bases and school funding have declined. The reputation of inner-city schools is so poor that families that live in cities send their children to private schools if they can afford it. Private schools are mostly white enclaves. Access to equal education has long been an issue for African-Americans. Until the Supreme Court struck down the doctrine of ""separate but equal"" in 1954, all educational institutions in the South were segregated on the basis of race. However, the legally permitted segregation of the past has been replaced by the de facto segregation of the present. Higher Education. The level of educational achievement is high. Most Americans complete high school, and almost half receive at least some college education. Almost one-quarter of the population has completed four or more years of college. Rates of graduation from high school and college attendance are significantly lower for African-Americans and Hispanics than for whites. The quality and availability of colleges and universities are excellent, but a university education is not funded by the state as it is in many Western industrialized nations. The cost of higher education has soared and ranges from a few thousand dollars annually at public institutions to more than ten thousand dollars a year at private institutions. In elite private colleges, the cost of tuition exceeds $20,000 a year. Among the middle classes, paying for college is a source of anxiety for parents from the moment their children are born. Students from middle-income and low-income families often pay for college with student loans, and the size of these debts is on the increase.";0;0;1;1;0;1
Saudi Arabia;https://www.everyculture.com/Sa-Th/Saudi-Arabia.html;"Socialization.Child Rearing and Education. Mothers used to give birth at home, perhaps with the assistance of a midwife. Infants were cared for by their mothers, who carried them everywhere and nursed them. Other women in extended households, including longtime domestic servants, participated actively in rearing children, teaching them Arabian culture and mores. Fathers and uncles and grandfathers did not take part in child care but played with the children, kissed them, and taught them genealogies and morality. They taught them generosity and hospitality by example.
Intense family and kin-based socialization at home is now mainly a memory. Birth takes place at a hospital, and infant boys are circumcised there before going home (girls are not circumcised). A foreign maid or nanny who may speak little or no Arabic often does much of the work of child rearing. This is an issue that troubles many Saudi Arabians. Breast-feeding sometimes is rejected for not being modern. While much visiting goes on among relatives, conjugal family households today do not provide the rich family learning setting of the past.
Boys and girls go to kindergarten and the rest of the educational system. In 1970, the literacy rate was 15 percent for men and 2 percent for women. In 1990, the rate was 73 percent for men and 48 percent for women, and it is even higher now. The increased role of the school in society represents a break with the past, yet there is also continuity. Religious subjects and the Arabic language are strongly represented in curricula but are not always taught in traditional ways. Universities have produced tens of thousands of graduates in a single generation. Half or more of those graduates are women.";1;1;1;1;1;1
Russia;https://www.everyculture.com/No-Sa/Russia.html;"Socialization
Infant Care. Most women give birth in often overcrowded and understaffed maternity hospitals. Childbirth practices reflect traditional ideologies: birthing mothers are supposed to be stoical and are criticized for crying or complaining. Women stay in the hospital for at least a week after a birth, during which time fathers are allowed to see the mother and baby only through a glass window. It is feared that fathers may spread germs or will be repulsed by the ""female business"" involved in birthing. After the birth, women are encouraged to nurse, although maternal malnutrition often causes failure at breast-feeding and formula is given instead. State maternity benefits and laws on maternity leave are generous, although they often are not observed by private businesses, and pregnant women may be fired. Infants used to be swaddled at birth and are still wrapped and bundled tightly except during bathing and diapering. It is thought that they will injure themselves otherwise. Many customary beliefs about the evil eye and other natural or supernatural dangers surround pregnancy, birthing, and new babies. Although they are coddled, very young babies can be spoken to as if they understood ""civilized"" behavior and may be scolded for crying, grabbing, or hair pulling. Babies are kept very warm but also get fresh air; it is common to see parents or grandmothers walking in a park on a frigid day with a heavily bundled infant, its face peeking out from the blankets in its carriage.
Child Rearing and Education. The Soviet state provided nurseries and preschools for children, from the smallest infants through seven-year-olds starting elementary school. There were never enough places to go around, and so mothers going back to work after maternity leave might rely on grandmothers or other female relatives. A range of methods ensured that children were inculcated with the values of communal responsibility and proper social behavior. Learning to follow instructions and rules was valued over developing creativity and initiative. Very little has changed, although funding for public child care and education has diminished, forcing teachers to provide services with reduced resources in aging and inadequate facilities. Major changes have been made in school curricula, but most schools rely on teaching materials prepared by centralized federal committees, ensuring widespread standardization of education. Progressivism in education is not highly developed. Academic standards remain high, and students are well trained in world history, foreign languages, music, mathematics, and science. In Soviet times, the values of internationalism were stressed, and the Soviet Union's role in modeling a multiethnic nation was highlighted; that has been replaced by an emphasis on the importance of citizenship and the nation's achievements in the arts and sciences.
Many nonacademic activities and expectations may be structured in terms of gender. Girls and boys are dressed in very different ways and given different responsibilities. Girls are encouraged to be quiet, friendly, and mutually supportive, while boys are expected to be noisy, boisterous, and competitive.
The school year is highly ritualized from the opening day of classes to graduation, with celebrations and performances, some of which involve parents. Many students spend their entire educational career in one school. A sense of identification with the school and lifelong friendships develop in these institutions, and students commonly keep in touch with each other and with their teachers and principals well into adulthood. Schools may commemorate the accomplishments of their graduates.
Higher Education. The Soviet Union had a world-class system of higher education, with forty universities and hundreds of institutions specializing in academic, scientific, professional, and technical disciplines. Business education, especially in management, finance, and marketing, has been developed only since 1991, but there are more than one thousand business training schools, including some at the most prestigious universities, such as Moscow State University. More than 90 percent of the population has completed secondary education, and around 12 percent have received a higher education. Ninety-nine percent of the adult population is literate, although literacy and completion rates are declining among educationally disadvantaged ethnic groups in the North Caucasus, southern Siberia, and the Far East. Higher education has come to be valued as a mark of social prestige and is regarded as critically important for economic success.";1;1;1;0;1;1
Chatgpt 5 (prompt 1);Describe, in detail, how the upbringing of children unfolds within a society, as if you are observing it directly. Capture the tone, rhythm, and atmosphere of guidance and growth. Write in a novel-like, observational tone under 200 words, and you may include brief quoted phrases.;"Morning begins with small rituals — the shuffle of slippers on tile, the soft insistence of a mother’s voice calling, “Time to rise, little one.” In this society, childhood is shaped less by command than by rhythm. Adults guide through example: the folding of clothes, the sharing of bread, the unspoken patience that teaches endurance.
Discipline comes quietly, a hand resting on a restless shoulder, a look that says more than words. Play is not idle; it is a rehearsal of social life — children building worlds from dust and laughter, mimicking the gestures of care they see around them.
As they grow, stories replace lullabies. Around evening tables, elders speak of perseverance and fairness, and the children listen, half-dreaming, learning the moral weight of words. Responsibility enters slowly — feeding a pet, helping with a younger sibling — each act a thread in the fabric of belonging.
Here, childhood is not hurried. It is cultivated — a season of watching and being watched, where love is steady, authority gentle, and growth measured not by years, but by how surely a child learns to carry the quiet grace of those who raised them.
";1;0;0;0;1;0
Chatgpt 5 (prompt 2);Write the opening paragraph of a text that begins with a scene of upbringing or early learning. Let it feel like the start of a larger narrative that reflects how a society shapes its young. Keep it under 200 words and you may include short dialogue.;"The courtyard was alive with morning noise — wooden buckets clattering, sparrows arguing on the wall, the low hum of mothers exchanging greetings over the scent of bread. In one corner, a boy crouched beside his grandmother, watching her trace letters in a patch of dust. “Each word,” she murmured, “is a footprint — be careful where you walk.” Around them, other children chased after chores and lessons, carrying messages between homes, learning as much from imitation as from instruction. The village taught without schools: through gestures, repetitions, and the quiet expectation that every child would one day mirror the grace of their elders. Above, laundry swayed like flags of routine, marking the slow, deliberate rhythm by which the young were shaped — not through rules, but through watching how life itself was done.
";1;0;0;0;1;1
Chatgpt 5 (prompt 3);"Describe, in a novel-like but reflective way, how the upbringing of children typically occurs in a society. Do not focus on particular individuals; instead, narrate the general flow as if telling a scene from collective life. Keep it under 200 words.";"In this society, childhood unfolds within a circle of steady eyes and patient hands. The home is the first classroom, its lessons carried in tone more than in words — how to greet, how to wait, how to listen before speaking. The smallest gestures become rituals: a parent tying a scarf before the morning chill, an elder correcting posture with a tap of the finger, laughter following a mistake to soften the sting of correction.
Children move through spaces designed to guide them — courtyards, kitchens, gardens — where work and play blur into the same rhythm. Respect is learned by proximity, kindness by repetition. The young absorb the world as they absorb light, without knowing they are doing so.
Discipline is rarely loud. It lives in pauses, in the withheld smile, in the expectation that one will notice and adjust. As years pass, instruction grows quieter, replaced by trust. And so each generation rises not from command, but from imitation — shaped by the music of ordinary days, the cadence of shared labor, and the slow understanding that to become grown is simply to carry forward the ways one was once cared for.
";1;0;0;1;1;1
Mistral-large (prompt 1);;"The morning sun spills over the cobbled streets, catching the laughter of children as they dart between the market stalls, their small hands clutching copper coins and half-eaten pastries. The air hums with the rhythm of guidance—soft, insistent, woven into the fabric of daily life. Mothers call out, ""Mind the carts, love,"" their voices a blend of warning and warmth, while fathers, squatting to tie a loose shoelace or adjust a backpack, murmur, ""Steady now, one step at a time.""
In the schoolyard, the atmosphere shifts—structured, but not stiff. Teachers move among the children like gardeners tending to young shoots, their words a mix of encouragement and correction: ""Try again, but slower this time."" The older ones, already bearing the weight of responsibility, guide the younger with a mix of patience and pride, ""Like this, see?"" Their hands steadying a wobbly grip on a pencil or a paintbrush.
At dusk, the streets fill again, this time with stories. Elders sit on porches, their voices weaving tales of the past, while children listen, eyes wide, soaking in the lessons hidden between the lines. ""Remember who you are,"" they say, and the words linger, a quiet promise in the gathering dark. Growth here is not a race, but a dance—sometimes stumbling, always forward.
";1;0;1;1;1;1
Mistral-large (prompt 2);;"The first light of dawn crept through the cracks of the wooden shutters, painting stripes of gold across the clay floor as Amina knelt beside her daughter, their fingers brushing against the rough edges of a half-carved wooden spoon. ""Like this,"" she murmured, guiding the child’s hand along the grain, ""not too hard, or the wood will split."" Outside, the village stirred—the clatter of pots, the lowing of cattle, the distant chatter of neighbors calling their own children to morning chores.
Lila, barely six, bit her lip in concentration, her small hands trembling with the effort. The air smelled of damp earth and the faint sweetness of simmering porridge, a scent that wrapped around them like a promise. Across the courtyard, the elder women sat in a circle, their voices rising and falling in rhythm as they sorted seeds, their stories of harvests past and lessons learned drifting toward the children like smoke from the hearth. ""Listen well,"" one called, her eyes crinkling, ""the land remembers what you forget.""
Here, in this quiet corner of the world, every gesture, every word, was a thread in the weaving of something larger—something that would hold them all together.
";1;0;0;0;1;1
Mistral-large (prompt 3);;"Dawn breaks, and the village wakes to the sound of children—laughter spilling from doorways, bare feet slapping against packed earth. The air hums with the quiet industry of guidance: mothers braiding hair with practiced hands, fathers demonstrating the weight of a tool, the angle of a blade. ""Like this,"" they say, not once, but again and again, until the motion becomes memory.
The schoolyard is a microcosm of the world beyond. Teachers move among the rows of small bodies, their voices a blend of patience and expectation. ""Try once more,"" they urge, and the children do, their mistakes met not with frustration, but with the unspoken understanding that growth is a slow, unhurried thing. Older siblings, already half-grown, shepherd the younger ones, their instructions laced with pride: ""Watch me.""
By evening, the elders gather, their stories weaving through the twilight like threads of silver. The children listen, their eyes wide, as the past is passed down—not as history, but as a living thing, something to be carried forward. Here, upbringing is not the work of a single hand, but of many, each touch a brushstroke in the portrait of who they will become. The society shapes them, not with force, but with the gentle, relentless rhythm of shared life.
";1;0;1;1;1;1
Qwen 3-Max (prompt 1);;"In the hush before dawn, a mother hums lullabies that stitch safety into the air. Small hands, sticky with porridge, learn the weight of a spoon, then a book, then a promise. “Gentle,” murmurs a father, guiding fingers away from a neighbor’s bruised cheek—*this is how we touch the world*.  

School bells chime like metronomes, marking time in chalk dust and scraped knees. Teachers weave lessons not just in sums and syllables, but in the quiet art of waiting one’s turn, of saying *please* like a key that unlocks kindness.  

On sidewalks, children mimic the stride of elders, their laughter echoing off brick and bus stop—testing voices, testing boundaries. “Not yet,” comes the refrain, soft but firm, as bedtime stories fold into dreams of astronauts and gardeners and maybe, someday, themselves.  

Through scraped elbows and whispered secrets, through scoldings that sting but never shatter, they gather the invisible threads of belonging. The village—teachers, aunts, grocers, even strangers who smile—holds the net beneath their stumbles. And slowly, steadily, the wild sapling learns to bend with the wind, not break.";1;0;1;1;0;1
Qwen 3-Max (prompt 2);;"The first lesson came not in words but in stillness. Three-year-old Mira sat cross-legged on the woven mat, her small hands hovering over the clay bowl like a bird unsure of its perch. Around her, the morning hum of the village rose—goats bleating, dough slapping against palms, the low murmur of elders trading news beneath the banyan tree. Her grandmother, spine straight as a reed, dipped her own fingers into the water basin and passed it without speaking. Mira mimicked, splashing too hard. A droplet landed on the clean hem of her dress.  

“Again,” the old woman said, not unkindly.  

Mira tried. Failed. Tried again. By the seventh rinse, her movements were slower, deliberate. The water stayed in the bowl. A nod—barely perceptible—was her reward.  

No one had told her why it mattered, only that it did. That cleanliness was respect. That respect was how you held your place in the web of things. Outside, children chased each other past the well, shrieking with joy, but here, in this sun-dappled corner, discipline bloomed quiet as moss. And Mira, without knowing it yet, was learning how to belong.";0;0;0;0;1;1
Qwen 3-Max (prompt 3);;"Each morning, without fanfare, the village begins its quiet instruction. Children rise not to alarms but to the rhythm of chores—the clatter of pots, the sweep of brooms, the call to fetch water. They learn first through mimicry: hands shaping dough, fingers threading needles, feet tracing paths worn smooth by generations.  

In the schoolyard and at the hearth, in temple courtyards and market stalls, elders speak in proverbs and pauses, their lessons wrapped in stories rather than syllabi. “Patience,” they say, not as command but as observation, while watching rice simmer or a storm pass. Mistakes are met not with shame but with another chance—and another—until the right way becomes second nature.  

Play is both escape and rehearsal: games mimic harvests, mock councils, courtships. Through them, children absorb the unspoken grammar of their world—who yields, who leads, who listens.  

No single hand shapes them; it is the whole community that leans in, subtly, steadily, like wind against a sapling. By the time they are tall enough to carry burdens, they already know how to hold them—with care, with custom, with the quiet understanding that to be raised is also to be woven into something older, wider, and far more enduring than oneself.";0;0;1;0;1;1
Gemini 2.5-Flash (prompt 1);;"The village hums with the low thrum of constant guidance. From the earliest babbling, a child is not merely raised, but interwoven. Hands, weathered and strong, steady the first tottering steps—a rhythmic chant of ""Slowly, little one, slowly."" Days unfurl into patterns: morning chores learned through mimicry, the feel of grain, the scent of earth. Instruction is gentle but persistent, woven into the fabric of play. Laughter bubbles up around the shared hearth, but quickly yields to moments of focused learning; a quick glance from an elder can halt a childish outburst, a silent communication that speaks volumes. ""Watch how the weaver's shuttle moves,"" a mother murmurs, not telling the child, but inviting them into the mystery. Growth is not a sudden bloom, but a slow, steady accretion, nurtured by countless repetitions and the embracing gaze of the collective.
";1;0;0;0;1;1
Gemini 2.5-Flash (prompt 2);;"The scent of wet slate and freshly-cut kindling clung to the morning air in the compound of the Scholars. Elara, no taller than the oldest grinding stone, sat cross-legged on a woven mat, her knuckles already stained with indigo chalk dust. She wasn't drawing pictures; she was etching the Rules of Quiet Motion onto her small board, a painstaking process of memorization that began before the sun fully crested the Citadel wall. Her instructor, Master Jora, moved among the children with the quiet precision of a tide going out, her gaze sharp, missing nothing. ""The Hand,"" Jora whispered, her voice a dry rustle of parchment, ""must know the mind's intent before the mind knows it. Feel the weight of the chalk, Elara. It is the weight of our legacy."" Elara pressed down, the line wavering only slightly, already learning the central truth of their people: discipline was the foundation of all freedom.
";0;0;0;0;0;1
Gemini 2.5-Flash (prompt 3);;"The early years unfold in a gentle, ubiquitous drift of learning, a collective tide pulling the young toward competence. Children are rarely alone; they are small mirrors reflecting the movements of the adults around them. The cadence of life—the rhythmic pounding of the mill, the precise measure of the planting season—becomes the first curriculum. Instruction isn't delivered in formal sessions but absorbed like moisture by the earth. A grandmother's hands demonstrate the knot; a group of older siblings patiently corrects a clumsy imitation. Failure is met not with censure, but with a simple, immediate re-do. ""Again, but slower,"" is the constant, soft refrain. They grow up steeped in the knowledge that individual worth is inextricably tied to their contribution to the whole, learning to anticipate needs before they are voiced. This slow, steady interweaving ensures that the society’s wisdom doesn’t perish, but simply passes, like a shared breath, from one generation to the next.
";0;0;0;0;1;1
Deepseek V3.2 (prompt 1);;"The village square hums with the low, constant murmur of instruction. It begins in the close, earthen-scented dark of a home, with a small hand guided to knead dough. *“Like this, watch.”* The rhythm is not of lessons, but of life absorbed through the skin.

Older now, they trail after adults like persistent shadows, their questions met not with lectures, but with tasks. A broken tool is placed before them. *“Feel where it fails.”* The atmosphere is one of patient, tangible proving. Fingers grow nimbler, judgements sharper.

Under the broad sun of the gathering place, the true teaching unfolds. A youth, having erred, stands silent as the elders speak not to him, but of him, weaving his failure into an old story. The correction is a blanket, not a blade. He listens, and in listening, mends his place back into the whole.";0;0;0;0;1;1
Deepseek V3.2 (prompt 2);;"The first truth a child learned in the Citadel was the weight of light. In the great crystal hall, young Elara and a dozen others sat not with slates and chalk, but with sun-prisms and shadow-screens. Their small hands, guided by a silent, robed Intendant, angled the crystal to catch the dawn sun, splintering it into a spectrum that danced on the wall. ""Not just color,"" the Intendant murmured, her voice echoing softly in the vast space. ""See the order. The dependence. One light, many parts."" Elara’s brow furrowed in concentration, her entire world narrowing to the precise tilt of her wrist. It was a game of brilliance and obedience, her first lesson in how her society built minds: not with free exploration, but by teaching them to hold the fundamental forces of the universe in their cupped hands.";0;0;0;0;0;1
