country;link;text;Inequality in payment;Women Household ;Women work in public;Change in gender role
Iran;https://www.everyculture.com/Ge-It/Iran.html;"The Relative Status of Women and Men. The question of gender roles is one of the most complex issues in contemporary Iranian society. Women have always had a strong role in Iranian life, but rarely a public role. Their prominent participation in political movements has been especially noteworthy. Brave and often ruthlessly pragmatic, women are more than willing to take to the streets for a good public cause. Moreover, although the world focuses increasingly on the question of female dress as an indicator of progress for women in Iran (and indeed, in the Islamic world altogether), this is a superficial view. In the years since the Revolution, women have made astonishing progress in nearly every area of life. Both the Pahlavi regime and the leaders of the Islamic Republic have gone out of their way to emphasize their willingness to have women operate as full participants in government and public affairs. Women have served in the legislature and as government ministers since the 1950s. The average marriage age for women has increased to twenty-one years. Iran's birthrate has fallen steadily since before the Revolution, now standing at an estimated 2.45 percent. Education for women is obligatory and universal, and education for girls has increased steadily. The literacy rate for women is close to that of men, and for women under 25 it is over 90 percent, even in rural areas. Female employment is the one area where women have suffered a decline since the Revolution. Even under the current Islamic regime, virtually all professions are theoretically open to womenâ€”with an important caveat. The difficulty for the leaders of the Islamic republic in allowing women complete equality in employment and public activity revolves around religious questions of female modesty that run head-to-head with the exigencies of public life. Islam requires that both women and men adopt modest dress that does not inflame carnal desire. For men this means eschewing tight pants, shorts, short-sleeved shirts, and open collars. Iranians view women's hair as erotic, and so covering both the hair and the female form are the basic requirements of modesty. For many centuries women in Iran have done this by wearing the chador, a semicircular piece of dark cloth that is wrapped expertly around the body and head, and gathered at the chin. This garment is both wonderfully convenient, since it affords a degree of privacy, and lets one wear virtually anything underneath; and restricting, since it must be held shut with one hand. Makeup of any kind is not allowed. In private, women dress as they please, and often exhibit fashionable, even daring, clothing for their female friends and spouses. Any public activity that would require women to depart from this modest dress in mixed company is expressly forbidden. Professions requiring physical exertion outdoors are excluded, as are most public entertainment roles. Interestingly, film and television are open to women provided they observe modest dress standards. This has created an odd separate-but-equal philosophy in Iranian life. Some Westernized Iranian women have long viewed obligatory modest dress in whatever forms as oppressive, and have worked to have standards relaxed. These standards certainly have been oppressive when forced on the female population in an obsessive manner. Revolutionary Guards have mutilated some women for showing too much hair or for wearing lipstick. But the majority of women in Iran have always adopted modest dress voluntarily, and will undoubtedly continue to do so in the future no matter what political decisions are made on this matter. The emotional roles of Iranian men and women are different from those in the United States and many other Western countries. In particular, it is considered manly for men to be emotionally sensitive, artistically engaged, and aesthetically acute. Women, by contrast, can be emotionally distant and detached without seeming unfeminine. Open weeping is not shameful for either sex. Both sexes can be excessively tender and doting toward their same-sex friends with no intention of eroticism. Kissing and hand-holding between members of the same sex is common. By contrast, physical contact between members of the opposite sex is assiduously avoided except between relatives. Western men offering to shake a traditional Iranian woman's hand may see her struggling between a desire to be polite, and a desire not to breech standards of decency. The solution for many a woman is to cover her hand with part of her chador and shake hands that way. Under no circumstances should a proper man or woman willingly find themselves alone in a closed room with a member of the opposite sex (except for his or her spouse).";0;1;1;1
Italy;https://www.everyculture.com/Ge-It/Italy.html;"Division of Labor by Gender. Traditionally, men went out to work and women took care of the home. After World War II, that arrangement changed rapidly. While old notions of gender segregation and male dominance prevail in some rural areas, Italian women have been famous for their independence and many anthropological and historical works point out that their assumed past subordination was often overstated. Currently, women participate in every aspect of political, economic, and social life. Women are equal under the law and attend universities and work in the labor force in numbers commensurate with their share of the population. A sign of female independence is Italy's negative population growth. It is true, however, that women continue to perform many of the same domestic tasks they did in the past while assuming new responsibilities. The Relative Status of Women and Men. In Italian culture, men were given preferential status and treatment. Women were assigned the position of the ""soul"" of the family, while men were the ""head."" Men were to support and defend the family while women raised the children and kept themselves chaste so as not to disgrace the family. How much of the ideal was ever found in the real world is problematic. Women in general always had more power than they were traditionally supposed to have. Currently, Italian women are often considered the most liberated in Europe.";0;1;1;1
Japan;https://www.everyculture.com/Ja-Ma/Japan.html;"Division of Labor by Gender. Because of ShintÅ� beliefs about ritual purity and pollution, women were excluded from many aspects of ritual life. Women were not permitted to enter certain sacred spaces, and in some communities were forbidden to board fishing vessels or enter mines or tunnels. Most of these prohibitions have vanished, but in some ritual contexts they continue. For example, women are still excluded from sumÅ� wrestling rings. Neo-Confucianism defined all social roles in terms of hierarchical relationships; including the domination of husband over wife and of father over children. In the late nineteenth century, when new legal codes institutionalized family norms, the control of husband over wife was codified. In virtually all legal, political, and social contexts outside the home, women were subordinate to the male household head. The Relative Status of Women and Men. Authority and autonomy for women traditionally were confined to domestic matters. A male household head represented the family to the outside world and controlled its public affairs; within the home, his wife might exercise great control in managing the day-to-day life of the family. Changes in family structure since the end of World War II have eroded the patriarchal domination of households. The constitution of 1947 made equality of the sexes an established principle, and the legal framework of the traditional family structure has been dismantled. However, the practical impact of legal changes on women's status has been gradual. Despite Women's social participation also reflects various gendered divides. The Japanese language includes sharply divergent styles of speech for men and women. Women often are expected to use a more polite and formal style of speech that implies deference and observance of the established hierarchy.";0;1;1;1
Mexico;https://www.everyculture.com/Ma-Ni/Mexico.html;"Division of Labor by Gender. The degree of economic participation of women was 35 percent in 1995, while that of men was about 75 percent. Nevertheless, female economic participation is increasing rapidly. In addition, it is generally assumed that many women are employed in nonregistered and underpaid informal activities. Women also generally earn less than men and their level of educational is lower. Most women are economically active when they are young (between twenty and twenty-four years of age). Although the political arena is strongly dominated by men, the presence of women in public space has become more common place. In the early twenty-first century, for example, the leadership of major political parties was in the hands of female politicians, as was the government of Mexico City and the chair of Mexico's largest union. The involvement of women in numerous social movements has also been significant. The Relative Status of Women and Men. Although women and men are equal before the law, clear differences persist in terms of authority and privileges. Women play crucial roles in the family, but even here the male is ""chief of the family"" ( jefe de familia ). Women are seen as the caretakers of morality and hence take center stage in the domain of religion. In assigning males and females to different economic, political, and social roles, Mexicans can make use of complex and sometimes contradictory cultural representations of masculinity and femininity. The two key cultural icons for defining femininity are La Malinche and the Virgin of Guadalupe. The myth of La Malinche refers to the Indian woman who was given to conqueror HernÃ¡n CortÃ©s in 1519. During the remaining part of the conquest she was his interpreter and ""mistress."" La Malinche is the collaborator and traitor, but also the sexually violated who gave birth to an illegitimate son, the first mestizo . In contrast to La Malinche, the Virgin of Guadalupe represents suffering and sacrifice. This has given rise to the image of the submissive, self-sacrificing, but virtuous woman ( la abnegada ). Together these myths explain the ambiguity attached to defining females. The key concept for defining masculinity is machismo, which is associated with violence, power, aggressiveness, and sexual assertiveness. These general cultural representations have formed the basis for ideas of ""natural"" male dominance and power and female suffering and motherhood. They have been influential in the imagery of Mexican men and women, but they are increasingly considered simple stereotypes. Under the influence of profound social and cultural transformations in an increasingly urbanized Mexico, perceptions of masculinity and femininity are shifting continuously.";1;1;1;1
New Zealand;https://www.everyculture.com/Ma-Ni/New-Zealand.html;Division of Labor by Gender. The stereotype of women in the home and men in the workplace is slowly disappearing. There has been an increase in the number of de facto partnerships and a resulting lack of commitment of men financially and emotionally to children and domestic responsibility. The Ministry of Women's Affairs seeks to enforce equal opportunity legislation. Shearing gangs are traditionally mixed (male shearers/female sorters), and trades and occupations are becoming less gender-based. There is one female bishop (Anglican), though congregations are overwhelmingly female. In 1996 there were forty women members of parliament, and in 1997 the first woman prime minister took office. The Relative Status of Women and Men. New Zealand was shocked by the power of gender difference among Maori as shown in the movie Once Were Warriors . Many would argue that although those portrayed were Maori, the degree of domestic sexual abuse and violence is a feature of New Zealand society. Under law there is no gender discriminations. Though almost as many women as men graduate with doctorates, in 1997 there were 402 male professors and 46 female ones. All seven university vice-chancellors were male. Women have been most successful in business at the upper middle range of the executive level or as national magazine editors or heading their own niche companies. Some sports teams are mixed.;1;1;1;1
Nigeria;https://www.everyculture.com/Ma-Ni/Nigeria.html;Division of Labor by Gender. In general, labor is divided in Nigerian society along gender lines. Very few women are active in the political and professional arenas. In urban areas, increasing numbers of women are becoming involved in the professional workforce, but they are greatly outnumbered by their male counterparts. Women who do manage to gain professional employment rarely make it into the higher levels of management. However, women in Nigeria still play significant roles in the economy, especially in rural areas. Women are often expected to earn significant portions of the family income. As a rule, men have little obligation to provide for their wives or children. Therefore women have traditionally had to farm or sell homemade products in the local market to ensure that they could feed and clothe their children. The division of labor along gender lines even exists within industries. For example, the kinds of crops that women cultivate differ from those that men cultivate. In Igbo society, yams are seen as men's crops, while beans and cassava are seen as women's crops. The Relative Status of Women and Men. Modern Nigeria is a patriarchal society. Men are dominant over women in virtually all areas. While Nigeria is a signatory to the international Convention on Equality for Women, it means little to the average Nigerian woman. Women still have fewer legal rights than men. According to Nigeria's Penal Code, men have the right to beat their wives as long as they do not cause permanent physical injury. Wives are often seen as little more than possessions and are subject to the rule of their husbands. However, women can exercise influence in some areas. For example, in most ethnic groups, mothers and sisters have great say in the lives of their sons and brothers, respectively. The blood relationship allows these women certain leeway and influence that a wife does not have.;1;1;1;1
Russia;https://www.everyculture.com/No-Sa/Russia.html;"Division of Labor by Gender. Traditionally, society was structured around gendered divisions of labor and authority. Rural communities were exogamous, patrilocal, and patriarchal, with newly married women subservient in the families of their husbands until they had borne sons. Among the gentry, every detail of household management was prescribed and encoded in laws that addressed even the most intimate details of family life. A key part of communist ideology was the freeing of women from oppressive norms and structures. Women were trained for and encouraged to take up what was previously male-only labor, such as operating agricultural machinery, working in construction, and laying and maintaining roads and railbeds. Nurseries and day care centers were established to free women from child rearing. Women's increased participation in medicine, engineering, the sciences, and other fields was supported. ""Liberated"" to work in public jobs, women often retained the burden of all household work as people held to customary notions of domestic propriety. Also, their equal employment status was not reflected in the workplace, where women faced several forms of discrimination. Nevertheless, in a number of domains, particularly in medicine and education, Soviet women gained authority and status. By the 1980s, one-third of the deputies to the Supreme Soviet were female, and women accounted for over 50 percent of students in higher education. Much of the hard-earned status of women has eroded. As unemployment grew in the 1990s, the first to be discharged from lifelong positions were women; management jobs in the new commercial sector were reserved for men, and a traditionalist view of work and family reasserted itself throughout society. In part, this was a backlash against the ""double burden"" of employment and household labor; some women whose husbands had succeeded in the new economy were glad to leave their jobs and take up full-time household and family care. For women who want or need to work, recent trends toward devaluing women's work have been demoralizing and financially devastating. Some women have become entrepreneurs, although they face gender prejudice in setting up businesses and often are not taken seriously. The percentage of women holding political office has declined, and women's participation in high levels of industry, the sciences, the arts, and the government has shrunk, especially in big cities. Significant numbers of young women have been lured into prostitution, which appears to be the only way to escape poverty for many impoverished women from provincial regions. The Relative Status of Women and Men. Many people have an inflexible image of gender roles and skills: men cannot cook, clean house, or perform child care, whereas women are bad at driving cars, managing finances, and supervising others. Men are valued for patriarchal and stern leadership, bravery, physical strength, and rationality; women are valued for beauty, intuition, emotional depth, and selfless generosity. Women are disproportionately represented among the devout, but the priesthood and hierarchy of the Orthodox Church are strictly male. Some new religious groups have women in leadership roles. Women are held in high regard as mothers, nurturers, and bearers of the most sacred dimensions of the culture. Many people value this conception of femininity and fear that it will be spoiled by feminists. Women's movement activists struggle against this viewpoint.";1;1;1;1
Saudi Arabia;https://www.everyculture.com/Sa-Th/Saudi-Arabia.html;"Division of Labor by Gender. Strict gender segregation is sanctioned by the state and society. Males and females who are not not barred from marriage by incest rules should not interact in individual or group settings. Women may work outside the home in settings where they do not have contact with unrelated men. Women are employed in girls' schools and the women's sections of universities, social work and development programs for women, banks that cater to female clients, medicine and nursing for women, television and radio programming, and computer and library work. Sections of markets are set aside for women sellers. However, only about 7 percent of Saudi Arabia's formal workforce is female. The Relative Status of Women and Men. Men have more rights than do women. Women are not allowed to drive; cannot travel abroad without the permission or presence of a male guardian ( mahram ); are dependent on fathers, brothers, or husbands to conduct almost all their private and public business; and have to wear a veil and remain out of public view. However, women can own property in their own names and invest their own money in business deals. Women's status is high in the family, especially in the roles of mothers and sisters. Significant numbers of women have had high levels of success in academia, literary production, business, and other fields, yet their achievements go publicly unremarked and they are barred from most aspects of public life.";0;1;1;0
Turkey;https://www.everyculture.com/To-Z/Turkey.html;Division of Labor by Gender. Turkish law guarantees equal pay for equal work and has opened practically all educational programs and occupations to women. Exceptions are the religious schools that train imams (Islamic prayer leaders) and the job of imam itself. In general, men dominate the high-status occupations in business, the military, government, the professions, and academia. According to traditional values, women should do domestic work and not work in the public arena or with unrelated men. However, women have begun to work more in public. Lower-class women generally have worked as maids, house cleaners, women's tailors, seamstresses, child care givers, agricultural laborers, and nurses, but in the early 1990s, about 20 percent of factory employees and many store clerks were women. Middle-class women commonly are employed as teachers and bank tellers, while upper-class women work as doctors, lawyers, engineers, and university teachers. Only a small percentage of women are politicians. Men work in all these fields but avoid the traditional nonagricultural occupations of lower-class women. Men monopolize the officer ranks in the military and the transportation occupations of pilot and taxi, truck, and bus driver. In urban areas, lower-class men work in crafts, manufacturing, and low-paid service industries. Middle-class men work as teachers, accountants, businessmen, and middle-level managers. Upper-class men work as university teachers, professionals, upper-level managers, businessmen, and entrepreneurs.;0;1;1;1
United States of America;https://www.everyculture.com/To-Z/United-States-of-America.html;"Division of Labor by Gender. Although most women work outside the home, household and child-rearing responsibilities are still overwhelmingly the responsibility of women. The ""double day"" of women consists of working and then returning home to do domestic chores. This situation persists in spite of the cultural belief that men and women are equal. Studies carried out in middle-class homes, in which couples claim to share household duties, show that women still do the vast majority of domestic work. Although young women as a whole spend much less time on domestic chores than their mothers did, this is attributable not to the fact that men do a significant share of domestic work, but to the fact that women spend less time cooking, cleaning, and caring for children than they did in the past. Women are paid seventy cents to every male dollar for comparable jobs. Occupations continue to be defined along gender lines. Secretarial or low-level administrative jobs are so overwhelmingly female that they have been termed pink-collar jobs. In the white-collar world, women often occupy middle-management positions. With a few exceptions, the ""glass ceiling"" keeps women out of high management positions. This situation is justified on the grounds that women take time from their working lives to raise children and therefore do not spend the same amount of time developing their working careers that men do. Occupations requiring nurturing skills, such as teaching and nursing, are still predominantly female. Within the blue-collar sector, women are underrepresented in jobs considered to require physical strength, such as the construction industries and firefighting. Women often fill low-paid positions in industry, such as assembly-line work, sewing, and electronics assembly. This is justified on the basis that women are by nature more dextrous and that their small hands suit them to assembly-line work. It is more likely that the low wages offered by these factories explains the recruitment of female laborers, whose other options may include even less desirable seasonal and temporary work. The Relative Status of Women and Men. In legal terms, women have the same formal rights as men. They can vote, own property, choose to marry or divorce, and demand equal wages for equal work. They also have access to birth control and abortion. The status of women in relation to men is very high compared to the situation in many other countries. However, women as a whole do not receive the same social and economic benefits as men. Women are greatly underrepresented in elected political offices and are more likely to live in poverty. Female occupations both in the home and in the workplace are valued less than men's. Women are more likely than men to suffer from a sense of disempowerment and to have a distorted or low self-image.";1;1;1;1
Chatgpt 5 (prompt 1);Describe, in detail, how roles and responsibilities are distributed between genders within a society, as if you are observing them directly. Capture the tone and rhythm of daily life that reveal expectations, boundaries, and participation in different spheres. Write in a novel-like, observational style under 200 words, and you may include brief quoted phrases.;"At dawn, the street divides itself without words. Men move outward — to workshops, fields, and storefronts — their strides measured by purpose and time. Women move inward, their labor folded into courtyards and kitchens, where the day hums in quieter industry. The scent of bread, the rhythm of sweeping, the low call to a child — these are their signatures on the morning.
At the market, voices mingle: men bargaining over weight and price, women exchanging news between baskets of herbs. Each knows the limits of where one’s say begins and another’s ends. “That’s a man’s affair,” someone might murmur when talk turns to land or wages, and the words fall not as insult but as inherited law.
Yet boundaries shift in small, persistent ways. A girl follows her father to the fields; a son lingers by the stove, stirring lentils. In these gestures — hesitant, uncelebrated — the script trembles. Still, by evening, the world resumes its order: men gathered beneath the dim light of cafés, women behind latticed windows, their laughter muted but not absent, carrying through the walls like a quiet promise that the pattern, though old, is not unbreakable.
";0;1;1;1
Chatgpt 5 (prompt 2);Write the opening paragraph of a text that begins with a moment shaped by gender roles or relations. Let it feel like the start of a larger narrative that reflects how people move within, adapt to, or challenge these social patterns. Keep it under 200 words and you may include short dialogue.;"The morning began with a small rebellion. Laleh stood at the well, her sleeves rolled to the elbow, the bucket rope rough against her palms — a task her brothers would have mocked as “women’s work.” Across the yard, her mother’s voice rose, sharp and weary: “Leave that be, girl! You’ll make people talk.” But Laleh did not stop. The village was already awake, its order unfolding like clockwork — men striding toward the fields with their tools slung over shoulders, women stooping by hearths and basins, their motions inherited as surely as their names. Dust swirled between the two worlds, carrying gossip and grain alike. Laleh watched the men disappear down the road, the horizon brightening behind them, and wondered — not for the first time — who had drawn the line between what belonged to strength and what belonged to silence.
";0;1;1;1
Chatgpt 5 (prompt 3);"Describe, in a novel-like but reflective way, how gender shapes social and economic life within a society. Do not focus on particular individuals; instead, narrate the general flow of work, participation, and recognition across genders as part of collective life. Keep it under 200 words.";"In this society, gender is the quiet architect of rhythm — arranging who rises first, who speaks in meetings, who is seen and who remains in the background. Labor divides itself almost instinctively: men take to the public, the transactional, the visible; women sustain the invisible scaffolding that keeps the public intact. Fields are plowed, contracts signed, speeches made — yet behind each act lies the unrecorded labor of meals prepared, garments mended, tempers soothed, and accounts remembered by heart.
Recognition follows the gaze, not the effort. Wealth and titles gather where voices carry farthest, while endurance — the steady, continuous kind — accrues in silence. Markets bear men’s names; homes bear women’s order. Still, beneath the surface of separation, lines blur: women trade from doorways, men seek counsel in kitchens. The old balance persists, but its edges fray. Change comes not as revolt but as accumulation — one woman learning to sign her name, one man pausing before dismissing a voice. Over time, these small permissions become fault lines, and the structure, though standing, begins to shift under the quiet weight of recognition long deferred.
";1;1;1;1
Mistral-large (prompt 1);;"
The sun barely clears the rooftops when the first voices rise—women’s voices, sharp and rhythmic, bargaining over tomatoes and yarn. Their baskets sway, heavy with the day’s first purchases, while men linger at the edges, sipping tea, discussing prices like spectators. ""Not a coin more,"" one woman snaps, her fingers deft as she counts change, her daughter tugging at her sleeve, already learning the weight of a fair deal.
By midday, the streets hum with division. Men stride toward the workshops, their boots kicking up dust, tools clinking in their belts. The blacksmith’s son, barely fifteen, already swings a hammer under his father’s watchful eye—""Harder, or the iron laughs at you."" Women weave between doorways, balancing trays of bread, their laughter cutting through the clatter of industry. The schoolmaster, a man with ink-stained cuffs, nods at the girls hurrying past, their books clutched tight—""Mind your sums, now.""
Evening brings a shift. The men return, their shoulders squared with the day’s labor, while women stir pots, their hands never still. Children dart between legs, reciting lessons or mimicking chores. The elders, both men and women, sit on the porch, their voices low, stitching stories into the fabric of the day. ""A man builds the house,"" the old carpenter says, ""but a woman builds the home."" The words hang, unchallenged, as the fire crackles on.
";0;1;1;1
