country;link;text;Federal;President;Prime Minister;Mayors; democratic
Mexico;https://www.everyculture.com/Ma-Ni/Mexico.html;"Government. Mexico is a federal republic—hence its official name Estados Unidos Mexicanos —operating under a centralized government. Governmental powers at the federal level are divided between executive, legislative, and judicial branches, but in political practice the executive, that is, the presidency, has had strong control over the legislative branch. Only in recent years has the legislative branch seen its power increase because of the strengthening of the multiparty system. The president is elected by popular vote for a six-year period and is both the chief of state and head of government. The president appoints cabinet members. The legislative branch is a bicameral National Congress consisting of the Chamber of Deputies and the Senate. The Chamber of Deputies has five hundred members, elected for three-year terms; the Senate has 128 members, elected for six-year terms. In the judicial branch the Supreme Court of Justice is the highest tribunal.The federation is made up of thirty-one states and the Federal District (the capital). Each state has a governor, who serves a six-year term, and a unicameral legislature. Both are elected by popular vote. Before 1997, the chief of the Federal District was appointed by the president, but has since been elected directly by popular vote. The Federal District also has an Assembly of Representatives. The local administrative level is the municipality, which is governed by a popularly elected mayor and a municipal council for three-year terms. Suffrage is universal and mandatory (but not enforced) for those over the age of eighteen.
Leadership and Political Officials. The modern presidency stands in a long tradition of pre-Columbian rulers ( tlatoani ), Spanish colonial viceroys, and nineteenth century and revolutionary caudillos . The president holds great discretionary powers. Power and leadership are attained through the management of personal relations, which are ruled by principles of loyalty, trust, and reciprocity. These informal networks are interconnected in a pyramidal way and form the real centers of decision making. Vertical patron-client relations can be found in all segments of society. Interactions between politicians, union leaders, top bureaucrats, and ordinary people also take place through these networks. In recent years, academic credentials and technocratic knowledge have become more important than political and electoral experience.
Besides being chief of state and head of government, the president has traditionally been the leader of the Institutional Revolutionary Party (PRI), which held power from 1929 to 2000. During much of the twentieth century, Mexico was a one-party democracy. The PRI emerged from the revolution and incorporated mass organizations of workers, peasants, and urban middle classes. Because of its particular origins, its longevity in power, and the influence of diverse interest groups, the PRI is difficult to classify ideologically. There are two other significant parties in Mexico. The conservative National Action Party (PAN) began enjoying electoral success at the state level in 1985. The social-democratic Party of the Democratic Revolution (PRD) emerged as a breakaway movement from the PRI in 1987 and began governing Mexico City in 1997. Both the PAN and the PRD aim at democratization, but the PRD also proposes a more equal distribution of wealth. The dominance of the PRI in federal elections was finally broken on 2 July 2000, when the candidate of the PAN won a stunning victory with 43 percent of the vote.
Social Problems and Control. Both petty and organized crime increased in the 1990s. Muggings and burglaries, increasingly violent, became widespread. Drug-related violence constituted another serious cause of concern. Public security has thus become a key issue for ordinary citizens and the authorities. At the same time, the police and the judiciary system are widely believed to be ineffective and lack public credibility, partially due to unresolved high-profile political assassinations and corruption. This has led to incidents of people taking the law into their own hands. Paid neighborhood watches are common wherever people can afford them. Private security guards no longer patrol only at banks and government buildings but also at medium-sized offices and shops. In response, the government founded an additional police force in 1999, the National Preventive Police.";1;1;0;1;1
New Zealand;https://www.everyculture.com/Ma-Ni/New-Zealand.html;"Government. New Zealand is a member of the British Commonwealth, and the sovereign is represented by a governor general. Within the Commonwealth, New Zealand is autonomous and is governed by a house of representatives with one hundred twenty elected members of parliament from six political parties. The present government is the first to be elected under a system of proportional representation. A clear majority under this system is unlikely, and the government usually is a coalition.
Leadership and Political Officials. The national government is divided between executive (elected) and administrative officers. It is headed by a prime minister, twenty cabinet ministers, and several ministers outside the cabinet. Below these are regional government bodies divided into cities and districts led by mayors and councillors. Government departments are run on a day-to-day basis by chief executives recommended by the state services commissioner.
Social Problems and Control. The Privy Council in London is the final court of appeal but may deliver only an opinion, not a judgment. The New Zealand Court of Appeal is the highest national appeals court. Its findings must be observed by the High Court. The High Court holds hearings in the main centers. There are district courts (local), employment courts, family courts, youth courts, Maori land courts, and environment courts. There are also over one hundred tribunals dealing with small claims and complaints.

Community law centers, originally set up by law students, give legal advice to those who cannot afford lawyers. There are also victim support groups. The most notable effort at informal social control has been the attempt by Maori to be allowed to exercise whanau (family) authority over accused and accuser in the context of the marae, where the whanau confront each other and elders seek a settlement.
The country is divided into four police region, and there are about 6,500 full-time officers. There are seventeen armed offenders squads that are called out when firearms are involved. There is also a search and rescue service. Other than the armed offenders squad, police do not carry firearms.
Accusations of ""racial bias"" by police toward Maori and Polynesians have become more frequent, but attitudes toward the police vary with the social and economic circumstances of a person's life. Drug and alcohol abuse seems to be a common ingredient in a large proportion of public and domestic violence and crime.";0;0;1;1;1
Nigeria;https://www.everyculture.com/Ma-Ni/Nigeria.html;"Government. Nigeria is a republic, with the president acting as both head of state and head of government. Nigeria has had a long history of coups d'états, military rule, and dictatorship. However, this pattern was broken on 29 May 1999 as Nigeria's current president, Olusegun Obasanjo, took office following popular elections. Under the current constitution, presidential elections are to be held every four years, with no president serving more than two terms in office. The Nigerian legislature consists of two houses: a Senate and a House of Representatives. All legislators are elected to four-year terms. Nigeria's judicial branch is headed by a Supreme Court, whose members were appointed by the Provisional Ruling Council, which ruled Nigeria during its recent transition to democracy. All Nigerians over age eighteen are eligible to vote.
Leadership and Political Officials. A wealthy political elite dominates political life in Nigeria. The relationship between the political elite and ordinary Nigerians is not unlike that between nobles and commoners. Nigerian leaders, whether as members of a military regime or one of Nigeria's short-lived civilian governments, have a history of doing whatever it takes to stay in power and to hold on to the wealth that this power has given them.
Rural Nigerians tend to accept this noble-peasant system of politics. Low levels of education and literacy mean that many people in rural areas are not fully aware of the political process or how to affect it. Their relative isolation from the rest of the country means that many do not even think of politics. There is a common feeling in many rural areas that the average person cannot affect the politics of the country, so there is no reason to try.
Urban Nigerians tend to be much more vocal in their support of or opposition to their leaders. Urban problems of housing, unemployment, health care, sanitation, and traffic tend to mobilize people into political action and public displays of dissatisfaction. Political parties were outlawed under the Abacha regime, and only came back into being after his death. As of the 1999 presidential elections, there were three main political parties in Nigeria: the People's Democratic Party (PDP), the All Peoples Party (APP), and the Alliance for Democracy (AD). The PDP is the party of President Obasanjo. It grew out of support for opposition leaders who were imprisoned by the military government in the early 1990s. The PDP is widely believed to have received heavy financial assistance from the military during the 1999 elections. The APP is led by politicians who had close ties to the Abacha regime. The AD is a party led by followers of the late Moshood Abiola, the Yoruba politician who won the general election in 1993, only to be sent to prison by the military regime.
Social Problems and Control. Perhaps Nigeria's greatest social problem is the internal violence plaguing the nation. Interethnic fighting throughout the country, religious rioting between Muslims and non-Muslims over the creation of Shari'a law (strict Islamic law) in the northern states, and political confrontations between ethnic minorities and backers of oil companies often spark bloody confrontations that can last days or even months. When violence of this type breaks out, national and state police try to control it. However, the police themselves are often accused of some of the worst violence. In some instances, curfews and martial law have been imposed in specific areas to try to stem outbreaks of unrest.
Poverty and lack of opportunity for many young people, especially in urban areas, have led to major crime. Lagos is considered one of the most dangerous cities in West Africa due to its incredibly high crime rate. The police are charged with controlling crime, but their lack of success often leads to vigilante justice.
In some rural areas there are some more traditional ways of addressing social problems. In many ethnic groups, such as the Igbo and the Yoruba, men are organized into secret societies. Initiated members of these societies often dress in masks and palm leaves to masquerade as the physical embodiment of traditional spirits to help maintain social order. Through ritual dance, these men will give warnings about problems with an individual's or community's morality in a given situation. Because belief in witchcraft and evil spirits is high throughout Nigeria, this kind of public accusation can instill fear in people and cause them to mend their ways. Members of secret societies also can act as judges or intermediaries in disputes.";1;1;0;0;1
Russia;https://www.everyculture.com/No-Sa/Russia.html;"Government. The years under Boris Yeltsin (1991–1999), were characterized by the reorganization of governmental structures and functions, with conflict over the balance of power between the president and the parliament, and between central and regional powers. A constitution approved by referendum in 1993 provided for a democratic federation with executive, legislative, and judicial branches. The parliament is divided into upper and lower houses. The lower house is the Duma, with 450 elected members; the upper house was to consist of local governors and legislators from the eighty-nine administrative regions, although the newly elected president, Vladimir Putin, replaced the governors with centrally appointed members, giving the president greater control over that house. Putin also changed the electoral and party system to remold the structure and power of the Duma. Economic issues have been at the heart of many political conflicts; battles over fiscal policy, privatization, control of key resources, tax collection, and social welfare provisions have been fierce and sometimes violent.
Leadership and Political Officials. The state has always been prone to authoritarian rule with censorship and strong government control over the media; oppression of political opposition, partly through the secret police; bureaucratic centralization; and legislation by decree. In the Soviet era, political purges killed millions and sent millions more to hard labor or internal exile. Although overt repression ended with Gorbachev and democratization has become a proclaimed political value, the mechanisms of democratic practice are far from universal. With the end of communism, control over enterprises and whole industries was up for grabs, and top political leaders secured state resources for themselves, their families, and their colleagues, leading to cynicism among the public. Cronyism, bribe taking, inside deals among political and business leaders, a lack of transparency in decision making, and contradictory legislation have further alienated the populace from the political process.There are over twenty-five registered political parties, although only five are substantial in size. Political fragmentation has been a problem, and coalitions between parties have been unstable.
Social Problems and Control. The rate of violent crimes grew steadily after the end of Stalin's repressive regime. The ubiquity of state authority in the form of the KGB, the police, the Communist Party, and the military created an atmosphere of surveillance and control. Drug abuse was relatively low because of the strong control of border regions, although it increased during the war in Afghanistan (1979–1989).
Economic crime, corruption and bribe taking, black market activity, and theft of state property were normal daily practice for many citizens and officials. An informal culture of networking facilitated the exchange of favors, access, and information and allowed many people to accrue privileges and material benefits. These activities were illegal but rarely prosecuted. One effect of widespread participation in shadow networks and black marketeering was a general disdain for legality.
The economic and social liberalization of the late 1980s set the stage for an explosion of criminal activity. Extortion through the offering of ""protection"" services became a fact of life for businesses and financed the expansion of mafia activity. The mafia has infiltrated every branch of industry: up to 70 percent of all banks may be mafia-owned, and organized crime plays a substantial role in raw material exports. In little more than a decade, the mafia created vast local and international networks for drug trafficking, prostitution, arms smuggling, nuclear materials smuggling, counterfeiting, money laundering, and auto theft. Mafia-organized contract killings have become common in the cities, and thousands of political leaders, businesspeople, and journalists have been murdered. Because law enforcement is weak and corrupt and because the mafia has close ties with government and business leaders, efforts to reduce its influence have been ineffective. Weak legislation, a judiciary that is underfunded, overwhelmed by cases, and plagued by corruption and overcrowded jails has created a society whose regulatory mechanisms cannot deal with the current conditions. Most people see no point in appealing to the law for assistance or protection. Juvenile delinquency has grown substantially, along with narcotic abuse, prostitution, the spread of AIDS, and homelessness among teens and children. A number of dramatic terrorist acts have occurred—possibly connected to the war in Chechnya, which also has created opportunities for gun running, extortion, and kidnapping.";1;1;0;0;1
Saudi Arabia;https://www.everyculture.com/Sa-Th/Saudi-Arabia.html;"Government. Saudi Arabia is a monarchy whose king serves as both head of state and head of government. The Koran is the constitution. Legislation and other regulations are promulgated by royal decree or ministerial decree sanctioned by the king. The monarch appoints cabinet ministers, governors of provinces, senior military officers, and ambassadors. He is also commander in chief of the armed forces and the final court of appeal with the power of pardon. Since the rule of King Abd al-Aziz Al Saud (died 1953), the kings have all come from among King Abd al-Aziz's sons, a provision that has been extended to include his grandsons.
The government also consists of the Royal Divan, which includes the king's private office; advisers for domestic, religious, and international issues; the chief of protocol; and the heads of the office of Bedouin affairs, along with the department of religious research, missionary activities, and guidance and the committees for the propagation of virtue and prevention of vice. The king holds court in the divan, where citizens can make requests or express complaints. The Council of Ministers is the main executive organ and is composed of the king, the crown prince, several royal ministers of state without portfolio, other ministers of state, the heads of twenty ministries and the national guard, several main provincial governors, and the heads of the monetary agency and the petroleum and mineral organization. The kingdom has a large civil service that began to expand rapidly in the early 1970s and employed an estimated 400,000 persons in the early 1990s. Saudi Arabia has fourteen provinces, each governed by an emir, usually from the royal family, who reports to the minister of the interior. Leadership and Political Officials. There are no political parties, but the royal family is a large grouping with significant political influence. It consists of about twenty thousand people and has several main branches and clans. Some princes are especially influential in politics, while others are active in business. The ulama also play important leadership roles and consist of members of the Al Sheikh family and several thousand religious scholars, qadis (judges), lawyers, seminary teachers, and imams (prayer leaders) of mosques. Business and merchant families often exert political influence, but there are no labor unions or syndicates for professional groups. Opposition groups exist outside the country. Political upheavals, some of them violent, have taken place, yet the political system has remained relatively stable over decades of rapid economic, social, and demographic change.
Social Problems and Control. Adherence to Islamic values and maintenance of social stability in the context of rapid economic change have been consistent goals of Saudi Arabia's development plans. Religion and society combine to foster significant social control. A powerful deterrent to deviant behavior is that such behavior brings shame to one's family and kin and is considered sinful. Crimes related to alcohol and drugs and to sexual misconduct sometimes are linked to rapid modernization. Theft is rare, and other economic crimes are relatively uncommon, with the exception of smuggling. Assault and murder are limited mainly to segments of tribal communities and usually involve issues of honor and revenge.
The justice system is based on the Sharia , which defines many crimes and specifies punishments. Crimes not specifically identified in the Sharia are defined on the basis of analogy and often are punished by prison sentences. Sharia-prescribed punishments usually have a physical component. An individual arrested on a criminal charge is detained in a police station until a judgment is rendered by a court of first instance presided over by one or more qadis. A court of cassation, or appeals court, also exists, and the king functions as a final court of appeal. A person found not guilty is released. If a physical punishment is prescribed, it is carried out in a public place, usually outside a main mosque on Friday, where the criminal's name and ancestral names are called out loudly for all to hear and where the shame is said to be more painful than the physical blow. Prison sentences, typical for cases involving drugs, are less public. Foreigners convicted of crimes are punished and then deported.
Islam is strict about issues of law and order and rigorous in the use of witnesses. For a man to be convicted of theft, four Muslims must swear a religious oath that they saw the theft take place. Alternatively, an individual may confess. Physical punishment usually is applied only to serious repeat offenders. The state employs the police, supports the qadis and the court system, provides the prisons, and assures that maximum media attention is given to punishments.";0;0;0;0;0
Turkey;https://www.everyculture.com/To-Z/Turkey.html;"Government. The government operates under the 1982 constitution. All the constitutions (1924, 1961, and 1982) were written and adopted while military leaders were in control. The 1982 constitution states that ""Turkey is a democratic, secular and social State . . . loyal to the nationalism of Atatürk"" (Article 2). ""The Turkish State, with its territory and nation, is an indivisible entity. Its language is Turkish"" (Article 3).
The constitution enumerates a long list of civil and political rights but subordinates them to considerations of ""national security,"" ""national unity,"" and ""public morality."" It also allows the government to impose emergency rule or martial law. The constitution establishes a popularly elected single-chamber national assembly with full legislative powers, a prime minister and cabinet responsible to the national assembly, and a constitutional court with the power of judicial review. It provides for a president with extensive executive powers and legislative veto authority who is elected by the assembly for a seven-year term.
There is a wide array of political parties. It is illegal for parties to appeal to religion, advocate the establishment of a religious state, or claim to represent a class or ethnic group. In recent elections, no party has been able to win more than 22 percent of the vote, leading to coalition governments.
Turkey is divided administratively into eighty provinces ( iller ), which are subdivided into subprovinces ( ilçeler ), which in turn are divided into districts ( bucaklar ). A governor ( vali ) appointed by the minister of the interior heads each province and represents the state. Locally elected representative bodies at the village, city, and provincial levels also play governing roles.
Leadership and Political Officials. Most of Turkey's political leaders have been high-ranking military officers, university professors, or successful businessmen. Many provincial governors are former generals or career civil servants who graduated from Ankara University's public administration program. The military elite sees itself as the protector of the constitution and Atatürk's principles. It has formal influence over governmental matters through the National Security Council, which is composed of the prime minister; the chief of the general staff; the ministers of national defense, the interior, and foreign affairs; and the commanders of the armed forces and the gendarmerie. This body sets national security policy. Military leaders have been especially concerned about threats to secularism and the unity of the state and nation. In 1997, the militarily dominated National Security Council presented the prime minister, Necmettin Erbakan, with twenty demands, including closing religious lodges, enforcing laws prohibiting religious dress in public, closing some state-supported religious schools, cooling relations with Iran, and curtailing the activities of religious organizations.
Citizens often petition elected officials for favors or aid. Unless they are personally acquainted with an official, they convey a petition through a friend or sponsor who knows an official, a member of his or her family, or one of his or her friends. Turkish law prohibits communist and religious parties. The parties range from socialist (Democratic Left Party), to moderately conservative and free enterprise (Motherland Party), to right-wing ultranationalistic (Nationalist Action Party), to near-religious (Virtue Party).
Social Problems and Control. Internal security and law enforcement are handled primarily by the national police in urban areas and the gendarmerie in rural areas. However, in areas under a state of emergency or martial law, the gendarmerie functions under the military. The national police are armed and authoritarian in demeanor. They have been accused of treating arrested persons roughly to obtain information or confessions during incommunicado detention. The government has instituted human rights training for the police.
The gendarmerie maintains security outside municipal boundaries and guards land borders against illegal entry and smuggling. Recruits are supplied through military conscription. Gendarmes have been subject to the same criticisms as the national police.
Turkey abandoned Islamic law and adopted the Italian penal code in 1926. Serious crimes include premeditated homicide, theft, arson, armed robbery, embezzlement of state property, perjury, and rape. Political speech insulting the president, the military, and parliament has been criminalized. The antiterror law criminalizes written and oral propaganda, meetings, and demonstrations aimed at damaging the unity of the state.

The death penalty can be imposed for certain crimes against the state and premeditated murder, but there have been no executions since 1984. Conviction for a serious felony can disqualify one from holding public office, voting, and practicing certain professions.
Compared to other Middle Eastern countries, the incidence of ordinary crime is low. The most common felonies resulting in incarceration in 1991 were crimes against property (8,360), crimes against individuals (5,879), and crimes against ""public decency and family order"" (2,681). Every year an unknown number of people are incarcerated for illegal political activity and thought crimes, such as advocating an Islamic state or cultural rights for an ethnic minority.
In addition to Kurdish nationalism, Turkey's security forces are concerned with narcotics trafficking, since Turkey is a route for the transfer of hashish from Pakistan, Afghanistan, and Iran to Europe.";0;1;1;1;1
United States of America;https://www.everyculture.com/To-Z/United-States-of-America.html;"Government. The United States is a federal republic composed of a national government and fifty state governments. The political system is dominated by two parties: the Republicans and the Democrats. One of the features of American democracy is low voter turnout. On the average, less than half the eligible voters participate in federal elections.
Also referred to as conservatives and liberals, respectively, Republicans and Democrats differ on certain key social issues. Republicans are generally conservative on social spending and moral issues. They support cuts in federally-sponsored social programs such as welfare. They believe in strengthening institutions such as marriage and the traditional family and usually are opposed to abortion and gay rights. Democrats tend to support federal funding for social programs that favor minorities, the environment, and women's rights. However, critics argue that these two parties set a very narrow range for political debate. Third parties that have emerged on both the left and the right include the Green, Socialist, Farm-Labor, Reform, and Libertarian parties.
The powers and responsibilities of the Federal government are set out in the Constitution, which was adopted in 1789. The national government consists of three branches that are intended to provide ""checks and balances"" against abuses of power. These branches are the executive, the legislative, and the judicial. The executive branch includes the President and federal agencies that regulate everything from agriculture to the military. The legislative branch includes members elected to the upper and lower houses of Congress: the Senate and the House of Representatives. The judicial branch consists of the Supreme Court and the U.S. Court of Appeals. At the state level, government is designed along the same lines, with elected governors, senators, and assemblymen and state courts. The smallest unit of government is the county, which has an elected board, but not all states have a system of county governments.
With the exception of the President, officials are elected directly, on the basis of popular vote. The President is elected by the electoral college. Each state has as many electors as it has senators and representatives, the latter of which are awarded according to population. Electors vote as a bloc within each state. This means that all electoral votes in a state go to the candidate with the plurality of the popular vote within that state. A candidate must win 270 electoral votes to win the election. This system is controversial because it is possible for a President to win a national election without winning a national majority of the popular vote, as happened in the presidential election of 2000.
Leadership and Public Officials. With the exception of local-level offices, politics is highly professionalized: most people who run for political offices are lifelong politicians. Running for a high-level political office is extremely expensive; many politicians in the House and the Senate are wealthy. The expense of winning campaigns requires not only personal wealth, but corporate sponsorship in the form of donations.
Social Problems and Control. Although crime rates have decreased, the United States remains the most violent industrialized nation in the world. The capital city, Washington, D.C., has the highest per capita crime rate in the country. In the nation as a whole, African-Americans, the poor, and teenagers are the most common victims of violent and nonviolent crime.
The country has more people in prison and more people per capita in prison than any other industrialized nation. The prison population is well over one million. These numbers have increased since 1980 as a result of mandatory sentences for drug-related crimes. Although African-Americans make up only about 12 percent of the population, they outnumber white inmates in prison. Both African-American and Hispanic men are far more likely to be imprisoned than are white men. Although rates of imprisonment are on the rise for women, women are far less likely to be imprisoned than men of any race or ethnicity. The United States is also the only Western industrialized nation that allows capital punishment, and rates of execution for African-American men are higher than those of any other group.
Cities are perceived to be very dangerous, but crime rate is not consistently higher in urban areas than in rural areas. The elderly tend to be the most fearful of crime but are not its most common victims. Tough penalties for violent crime are often perceived to be a solution, and it is on this basis that the death penalty is defended. Interestingly, Florida and Arizona, which have the death penalty, have the highest rates of violent crime in the country.
The vast majority of crimes in all categories are committed by white males, but in popular culture and the popular imagination, violent criminal tendencies are often associated with African-American and Hispanic males. This perception legitimates a controversial practice called racial profiling, in
which African-American and Hispanic men are randomly stopped, questioned, or searched by police.
Historically, immigrant groups that constituted the urban ""rabble"" of their day were the subject of intense policing efforts and were believed to have propensities for vice and crime.";1;1;0;1;1
Egypt;https://www.everyculture.com/Cr-Ga/Egypt.html;"Government. Egypt has had a republican form of government since the overthrow of the monarchy in 1952. The government is headed by a president elected for six years. The president designates a prime minister and a council of ministers. The Parliament is elected for five years from 222 constituencies, each of which elects one person to represent workers and peasants and one other. In addition, the president nominates up to ten others to provide representation to groups that might not otherwise be represented in Parliament. In recent years this has allowed the president to nominate leaders of parties that did not win any seats; Christians, who are rarely elected; and women. In addition, there is a kind of upper house, the Consultative Council, which is two-thirds elected and one-third appointed, and which is supposed to provide for more reflective debate on fundamental issues. Through the minister of interior, the president also names governors for the twenty-six governorates of Egypt. Elected councils function at the local level.
Egypt is a ""dominant party"" system in which one party regularly controls an enormous majority in Parliament. This dominant party is the National Democratic Party (NDP), which represents the political establishment. There are fourteen other parties, only a few of which have ever been represented in Parliament. These include the Wafd party, heir to the tradition of the struggle for national independence in the 1920s and 1930s, and with a procapitalist orientation; the Socialist Labor Party, heavily dominated by Islamic-oriented leaders; the Progressive Party, heir to the Egyptian leftist tradition; and the Liberal Party. 

Relatively few women are elected to Parliament, though there are always some. In the late 1970s seats were set aside for women, and this increased their number, but this provision was later ruled unconstitutional. Usually there are a few women ministers. One of the key roles for women in the current political system is the role of the wife of the president. The current ""first lady"" has taken on a role of organizing campaigns for literacy and health in support of the government's policies.
The extraparliamentary opposition is the Islamic movement, which is not a single movement. Since specifically religious parties, Muslim or Christian, are prohibited, politically active Muslim militants must either join another party, which many do, or remain outside the formal process, which others do. There is a sense in which the main political struggle in Egypt is between the secularists of the NDP, linked to the world of business and the high administration, and the values represented by one or another version of the Islamic trend, representing the ""opposition.""
In villages and urban neighborhoods there are elected councils that manage zoning, garbage collection, and some public-interest construction, such as a new water system. These local councils work in tandem with local representatives of the different ministries (such as interior, health, or agriculture) to carry out their tasks.";0;1;1;0;1
Ethiopia;https://www.everyculture.com/Cr-Ga/Ethiopia.html;"Government. For almost sixteen hundred years, the nation was ruled by a monarchy with close ties to the Orthodox Church. In 1974, Haile Selassie, the last monarch, was overthrown by a communist military regime known as the Derge. In 1991, the Derge was deposed by the EPRDF (internally composed of the Tigrean People's Liberation Front, the Oromo People's Democratic Organization, and the Amhara National Democratic movement), which established a ""democratic"" government.
Ethiopia is currently an ethnic federation composed of eleven states that are largely ethnically based. This type of organization is intended to minimize ethnic strife. The highest official is the prime minister, and the president is a figurehead with no real power. The legislative branch consists of a bicameral legislation in which all people and ethnicities can be represented.
Ethiopia has not achieved political equality. The EPRDF is an extension of the military organization that deposed the former military dictatorship, and the government is controlled by the Tigrean People's Liberation Front. Since the government is ethnically and militarily based, it is plagued by all the problems of the previous regimes.
Leadership and Political Officials. Emperor Haile Selassie ruled from 1930 until 1974. During his lifetime, Selassie built massive infrastructure and created the first constitution (1931). Haile Selassie led Ethiopia to become the only African member of the League of Nations and was the first president of the Organization of African Unity, which is based in Addis Ababa. Micromanaging a nation caught up with the emperor in old age, and he was deposed by the communist Derge regime led by Lieutenant Colonel Mengistu Haile Mariam. Mengistu assumed power as head of state after having his two predecessors killed. Ethiopia then became a totalitarian state financed by the Soviet Union and assisted by Cuba. Between 1977 and 1978, thousands of suspected Derge oppositionists were killed.

In May 1991, the EPRDF forcefully took Addis Ababa, forcing Mengistu into asylum in Zimbabwe. Leader of the EPRDF and current prime minister Meles Zenawi pledged to oversee the formation of a multiparty democracy. The election of a 547-member constituent assembly was held in June 1994, and the adoption of the Federal Democratic Republic of Ethiopia's constitution ensued. Elections for the national parliament and regional legislatures were held in May and June of 1995, although most opposition parties boycotted the elections. A landslide victory was achieved by the EPRDF.
The EPRDF, along with 50 other registered political parties (most of which are small and ethnically based), comprise Ethiopia's political parties. The EPRDF is dominated by the Tigrean People's Liberation Front (TPLF). Because of that, after independence in 1991, other ethnically-based political organizations withdrew from the national government. One example is the Oromo Liberation Front (OLF), which withdrew in June of 1992.

Social Problems and Control. Ethiopia is safer than the neighboring countries, particularly in urban areas. Ethnic issues play a role in political life, but this does not usually result in violence. Christians and Muslims live together peacefully.Theft occurs infrequently in Addis Ababa and almost never involves weapons. Robbers tend to work in groups, and pickpocketing is the usual form of theft. Homelessness in the capital is a serious social problem, especially among the youth. Many street children resort to theft to feed themselves. Police officers usually apprehend thieves but rarely prosecute and often work with them, splitting the bounty.";1;1;1;0;1
France;https://www.everyculture.com/Cr-Ga/France.html;"Government. France operates under the constitution of the Fifth Republic, which was established in 1958. The government is highly centralized, although the 1982 act of decentralization transferred more power to the regions and communes. Paris is the capital city. The administration of the governmental system is organized through the levels of nation, region, department, arrondissement, canton, and commune. The commune is the smallest administrative level. This system of political administration dates back to the French Revolution. The state controls several state-owned companies in the areas of transportation, energy, and communications. Thirty percent of the workforce is employed by the state. The state bureaucracy is complex and is run by an administrative elite trained at the National School of Administration (ENA).
The executive branch includes the president and the prime minister. The president is elected for a seven-year term by popular vote. The prime minister is appointed by the president and serves as head of the government. In recent years, a form of political ""cohabitation"" has developed, in which the president and prime minister come from different political parties. The prime minister selects the ministers and secretaries of state, with approval by the president. Legislative power resides in a bicameral parliament composed of the Assemblée Nationale (National Assembly) and the Senat (Senate). The deputies of the Assemblée Nationale are elected by popular vote for five-year terms; senators are elected though an electoral college system for nine-year terms.
The twenty-two metropolitan regions, which recently received a formal role in government, are each composed of several departments. A region is headed by a regional prefect and served by elected regional council members who represent the departments. The regional council elects a president of the council. The department is headed by a prefect, and each canton elects a council member to serve at that level. Communes elect a mayor and a municipal council. There are a little over 36,000 communes, and their populations can range in size from under one thousand to that of a large city. The vast majority of communes are in the countryside.

Leadership and Political Officials. France is politically divided between the right and the left. There are five major political parties. To the far right is the Front National (FN), which has been growing in power since the 1980s under the leadership of Jean-Marie Le Pen. The two major parties on the democratic right are the Rassemblement pour la République (RPR) founded by Jacques Chirac in 1976 and the Union pour la Democratie Française (UDF) founded by Valéry Giscard d'Estaing in 1978. On the left, there is the Parti Socialiste (PS) and the Parti Communiste Française (PCF). In 1981, the PS replaced the earlier SFIO, led by François Mitterrand. The Communist Party was formed in 1920.
Political leaders rise to power by gaining election at the local level, and then accruing more political titles. It is possible for a politician to hold more than one office at different levels simultaneously, and this is a common method for gaining political support. Election to office depends on social networks, as well as on the personal charisma of the politician. The concept of ""legitimacy"" is crucial; to be viewed as a legitimate candidate is to have local roots and a strong social network. A successful politician must make good use of symbolism and ritual in order to embody various ideals. A high degree of formality is associated with political office, and interactions with elected officials require correct etiquette. One should, for instance, address a mayor as Monsieur or Madame le Mayor.
Social Problems and Control. The police are a noticeable presence, particularly in urban areas and transport centers such as airports and subway stations. Visibly armed, they have the right to stop any person to demand to see documents of identity. The police force is divided between those who work for the minister of the interior and those who work for the minister of defense ( gendarmes ). There is also a National Security Police force (CRS) that is called in during demonstrations and strikes, which occur frequently. An important form of political protest, demonstrations often disrupt urban streets and highways. Labor unions are strong, and striking workers regularly stop social services, such as trash pickup and public transportation, and access to public buildings, such as museums. Major social problems include AIDS, homelessness, and terrorism. The rate of violent crimes such as homicide is low. Terrorist attacks and bombings occur randomly, if infrequently and were at their height most recently during the Gulf War. The National Security Police justify their strong military presence as a deterrent to terrorism.";0;1;1;1;1
Chatgpt 5 (prompt 1);Describe, in detail, how government operates within a society, as if you are observing its presence and influence directly. Capture the tone and rhythm of civic life, authority, and organization. Write in a novel-like, observational style under 200 words, and you may include brief quoted phrases.;"Power here does not announce itself with fanfare; it hums quietly through the routines of the day. At dawn, the streets are swept, the buses run on time, and the clerk behind the frosted window stamps another permit — each motion a small echo of the larger machinery. In council chambers, voices rise and fall in measured cadence, debating the placement of a bridge or the language of a law. Outside, citizens line up for documents, taxes, petitions — the paperwork of belonging. “Next, please,” says the woman behind the glass, her tone brisk but not unkind. The government lives not only in buildings of marble and flags, but in these gestures of order: the streetlight that changes, the school funded, the form approved. It is an invisible choreography — authority dispersed through countless acts of routine obedience and quiet negotiation. And though many rarely see its face, they move within its rhythm, feeling its weight in both protection and constraint — the unseen pulse that keeps the collective body breathing.
";0;0;0;0;0
