country;link;text;Bonfire/firworks;Parades;Family gathering;Alcohol drink;Sweets;Gift;Barbeque;Music
India;https://www.everyculture.com/Ge-It/India.html;Secular Celebrations. Public holidays in most states include 1 January (Gregorian New Year), 26 January (Republic Day, when the constitution was adopted), 1 May (International Labor Day), 30 June, and 15 August (Independence Day), 2 October (Gandhi's birthday), 25 December (Christmas), and 31 December (New Year's Eve). Parsi New Year and Telugu New Year, both locally celebrated, fall at different times.;0;0;0;0;0;0;0;0
Italy;https://www.everyculture.com/Ge-It/Italy.html;Secular Celebrations. Most secular celebrations also are tied to religious holidays, like Christmas or New Year's (the Circumcision of Jesus). These celebrations tend to be family affairs. The Anniversary of the Republic is celebrated on 2 June. There is a show of patriotism through air shows and fireworks. Generally, it, too, is a day off and a family holiday. Independence Day is March 17 and provides another opportunity for family activity.;1;0;1;0;0;0;0;0
Japan;https://www.everyculture.com/Ja-Ma/Japan.html;"Secular Celebrations. In the premodern calendar, a sequence of holidays occurred on numerologically auspicious days (such as 1 January, 3 March, 5 April); these remain popular holidays. Other important traditional holiday seasons include O-ch gen and O-seib, in late June and late December, respectively, when one is expected to repay social obligations and exchange gifts with colleagues. The following national holidays are observed: 1 January, New Year's Day; 15 January, Adult's Day; 11 February, National Foundation Day; 21 March, spring equinox; 29 April, Green Day; 3 May, Constitution Day; 5 May, Children's Day; 20 July, Ocean Day; 15 September, Respect for the Aged Day; 21 September, the autumnal equinox; 10 October, Sports Day; 3 November, Culture Day; 23 November, Labor Thanksgiving Day; 23 December, Emperor's Birthday. The week between 29 April and 5 May is known as Golden Week because of the three successive national holidays. Many businesses close for the entire week, and vacation travel peaks during this period. Several Western holidays, including Christmas and Valentine's Day, have become very popular secular holidays. Valentine's Day in particular has been adapted to conform to the Japanese gift-giving etiquette of reciprocity.";0;0;0;0;0;1;0;0
New Zealand;https://www.everyculture.com/Ma-Ni/New-Zealand.html;Secular Celebrations. New Year's Day, Waitangi Day, a special assembly at Waitangi of public dignitaries, the queen's birthday, and the anniversary of a province are celebrated.;0;0;0;0;0;0;0;0
Nigeria;https://www.everyculture.com/Ma-Ni/Nigeria.html;Secular Celebrations. Nigeria observes three secular national holidays and several officially recognized Muslim and Christian holidays when government, commerce, and banks are closed. The secular holidays are New Year's Day (1 January), Workers' Day (1 May), and National Day (1 October). The Christian holidays are Christmas (25 December), Good Friday, and Easter Monday. The Muslim holidays are Eid al-Fitr (the last day of Ramadan, the Muslim holy month of fasting), Tabaski, and Eid al-Moulid. Aside from Christmas, the religious holidays fall on different days each year.;0;0;0;0;0;0;0;0
Russia;https://www.everyculture.com/No-Sa/Russia.html;"Secular Celebrations. International Women's Day on 8 March, celebrating the contributions and role of women in social life, is a legal holiday and a day off from work; men bring flowers to the women in their lives, or call or send cards to congratulate female friends, wives, and relatives. Television features special shows dedicated to women, femininity, and the ""female virtues."" May Day, or Labor Day (1 May), the day of international labor solidarity, previously marked with parades, is now an occasion to celebrate the coming of spring. The Day of Victory on 9 May commemorates the Soviet capture of Berlin and the end of World War II. This holiday is taken seriously by older people, who gather to remember family members, friends, and comrades lost in the war. Television runs solemn tributes to veterans and war heroes. The Day of Russia on 12 June marks independence from the Soviet Union in 1991. It features parades and fireworks. The Day of the October Revolution, on 7 November is celebrated only by communists and people nostalgic for Soviet power. New Year's Eve is the most lavishly celebrated secular holiday. Grandfather Frost and his helper the Snow Maiden leave gifts under a decorated New Year's Tree, and people gather to await midnight with laughter, song, feasting, and vodka and champagne. These parties often last through the night.";1;1;1;1;0;1;0;1
Mexico;https://www.everyculture.com/Ma-Ni/Mexico.html;"Secular Celebrations. The Battle against the French is celebrated on 5 May ( Cinco de Mayo ), remembering the victory of Mexican forces over the French invaders in the hills near the city of Puebla in 1862. It took the French a year to bring reinforcements and take the Mexican capital in 1863. Cinco de Mayo is an important symbol of national sovereignty and parades are held throughout the country. Independence Day is 16 September and celebrates the start of the struggle for independence in 1810, which began when the Catholic priest Miguel Hidalgo y Castilla rang the church bells in the village of Dolores and called upon the parishioners to drive out the Spanish. This actâ€”the so-called Grito de Dolores â€”is repeated ritually on the night of 15 September by the authorities throughout Mexico and even by ambassadors abroad. The ritual ends with the vigorous shouting of "" Viva MÃ©xico "" three times. On the morning of 16 September there are military parades organized by the government. Independence Day is the most important civic ritual and enjoys broad popular participation. During the whole month of September houses, offices, and public buildings are decorated with the colors of the Mexican flag. The Day of the Revolution, 20 November, commemorates the planned uprising of Francisco Madero against the dictator Porfirio DÃ­az in 1910 that marked the beginning of the Mexican Revolution. It is mainly a state-orchestrated event that arouses modest popular participation. The main event is the long sports parade in front of the National Palace in the center of Mexico City.";0;1;0;0;0;0;0;0
Turkey;https://www.everyculture.com/To-Z/Turkey.html;Secular Celebrations. The major secular celebrations and official holidays begin with New Year's Day on 1 January, an adoption from the West. Many people exchange greetings cards, and some celebrate in a Western fashion. National Sovereignty Day on 23 April commemorates the first meeting of the Grand National Assembly. Because 23 April is also National Children's Day, much of the day is devoted to children's activities such as dances and music recitals. Youth and Sport Day, commemorating AtatÃ¼rk's birth, is celebrated on 19 May. Victory Day, celebrating victorious battles during Turkey's War of Independence, is observed on 30 August. Republic Day, 29 October, commemorates AtatÃ¼rk's proclamation of the republic in 1923. Both Victory Day and Republic Day are celebrated with patriotic parades, music, and speeches.;0;1;0;0;0;0;0;1
United States of America;https://www.everyculture.com/To-Z/United-States-of-America.html;Secular Celebrations. A number of secular national holidays are celebrated but are regarded less as celebrations of patriotism than as family holidays. The fireworks displays of the Fourth of July mark the Declaration of Independence from Britain in 1776, but this is also a time for summer outings such as picnics and camping trips with friends and family members. Thanksgiving is part of the national history that is understood by every schoolchild. This annual feast celebrates the hardships of the early colonists, who were starving in their new environment. According to the legend, American Indians came to their aid, sharing indigenous foods such as maize and turkey. Thanksgiving is important not primarily because of its symbolism but because it is the most significant family holiday of the year, one of the few large and elaborate meals that families prepare.;1;0;1;0;0;0;1;0
Chatgpt 5 (prompt 1);Prompt 1:Describe, in vivid sensory detail, how a secular celebration unfolds within a community. Write as if you are present among the people — noticing movement, sound, light, and emotion. Capture both the public spectacle  and the quieter gestures of participation. Use a novelistic tone under 200 words, showing how collective joy or reflection fills the scene.;"The afternoon sun drapes the square in gold, glinting off brass instruments and paper flags that ripple like small flames. Children weave through the crowd, their laughter rising above the hum of anticipation. The air smells of roasted corn, hot pavement, and the faint metallic scent of sparklers waiting for dusk. When the drums begin, a slow tremor runs through the gathered bodies — feet tapping, shoulders swaying, hearts syncing to the pulse of the parade. Veterans in pressed uniforms march past, eyes steady; behind them, dancers whirl in ribbons of color, their sequins catching the light like fragments of memory. As night deepens, the crowd settles into murmuring clusters on the grass. Someone passes a thermos of coffee, another hums the melody that just faded from the loudspeakers. When the first firework blooms — white, then red, then blue — faces tilt upward in unison. For a moment, no one speaks. The glow spills over them all, binding strangers in a silence that feels like reverence, like belonging.
";1;1;0;0;0;0;0;1
Chatgpt 5 (prompt 2);Prompt 2:Write the opening paragraph of a story that begins during a secular celebration — perhaps a national day, a festival, or a public event. Let it feel like the start of a larger narrative, establishing mood and rhythm through what people do, say, and feel in that moment. You may include short dialogue, but focus on atmosphere and tone, under 200 words.;The city woke early to the sound of drums echoing off glass towers and old stone walls alike. By midmorning, the streets shimmered with banners—red, white, and something between smoke and sunlight. Vendors shouted over the brass band, selling sugared nuts and cheap flags that fluttered like restless birds. A boy on his father’s shoulders pointed toward the sky as jets streaked it in coordinated arcs, the crowd cheering as if for something they couldn’t quite name. “It’s beautiful,” someone murmured beside me, though the voice was lost beneath the anthem rising from the loudspeakers. The smell of heat and asphalt mingled with perfume, diesel, and fried dough. Strangers brushed shoulders without apology, carried forward by the same invisible current. And in that blur of faces, I thought I saw her — just a flicker of movement, a familiar silhouette in the brightness — before the next explosion of color swallowed everything in sound.;1;1;1;0;1;0;0;1
Chatgpt 5 (prompt 3);"Prompt 3:Describe, in a novel-like way, how secular celebrations typically unfold in a society. Do not focus on particular individuals; instead, narrate the usual sequence and mood — the anticipation, gathering, noise, and shared emotion that accompany such events. Write it as if telling a scene from life, under 200 words, and you may include brief quoted phrases.";"It begins days before, in the quiet industry of preparation — streets swept clean, banners strung between lampposts, shop windows draped in color. There’s a sense of pause beneath the routine, a shared awareness that something collective is about to happen. On the morning itself, the air feels charged; radios hum the same patriotic tunes, and voices rise from balconies as people gather below. Vendors appear like migrating birds, their carts gleaming with sweets and paper trinkets. The first sound is often a drumbeat, distant but insistent, followed by the rolling tide of footsteps as the parade takes shape. Flags ripple, speeches echo, and confetti falls like warm rain. The smell of food, smoke, and sweat mixes into a single, unmistakable scent of celebration. Children wave until their arms ache; elders nod with a knowing pride. As evening arrives, the noise softens into music, laughter, and the crackle of fireworks above. “Another year,” someone says, almost tenderly. In that glow — half joy, half reflection — the crowd stands together, strangers woven into one brief, luminous heartbeat of belonging.
";1;1;1;0;1;0;0;1
Mistral-large (prompt 1);;"The dusk air hums with the scent of roasted almonds and the faint metallic tang of fireworks yet to bloom. Lanterns, strung like stars between lampposts, cast a golden glow over the cobblestones, where children dart between legs, their laughter bright as the paper streamers in their fists. A drumline pulses from the square—a heartbeat, insistent—while dancers in swirling skirts kick up dust, their movements a blur of color against the deepening blue.
On a stoop, an elderly woman claps along, her hands gnarled but steady, a half-eaten pastry crumbling in her lap. Nearby, a couple leans into each other, sharing a thermos of spiced wine, their breath mingling in the cold. The parade arrives in a riot: puppets towering like giants, their papier-mâché faces grinning down at the crowd, while musicians weave between them, trumpets blaring, cymbals crashing like waves.
Then—silence. A hush falls as the first rocket streaks upward, its tail a comet’s scream. The sky ignites: emerald, violet, crimson, each burst reflected in a thousand upturned faces. A child gasps; a stranger’s hand squeezes yours. For a moment, the world is only light and the shared breath of wonder. The night holds them all—loud, quiet, together.
";1;1;1;1;1;0;0;1
Mistral-large (prompt 2);;"The square was already alive by the time Lior arrived, the air thick with the scent of grilling meat and the sharp, sweet tang of spilled beer. Banners snapped in the breeze above the crowd, their red and gold edges frayed from years of being unfurled for this same day, this same celebration. A group of teenagers laughed as they jostled past, their faces painted in jagged stripes, their voices rising above the murmur of the gathering—""Did you see the float? It’s twice as tall this year!""—while somewhere, a fiddle began to play, its notes weaving through the chatter like a thread pulled tight.
Lior paused at the edge of the throng, watching as a woman in a faded green coat pressed a paper cup of mulled wine into her companion’s hands, their fingers lingering just a second too long. Around them, strangers clapped in time to the music, their breaths curling into the evening air. The first firecracker exploded overhead, a burst of white light that painted the cobblestones silver for an instant. The crowd gasped, then cheered, their voices rising as one. Lior exhaled, feeling the weight of the day—the anticipation, the unspoken promises—settle into the spaces between them all. Somewhere in this noise, this light, something was about to change.
";1;1;0;1;0;0;1;1
Mistral-large (prompt 3);;"The city begins to stir days before, a quiet hum of anticipation threading through the streets—banners unfurled, lanterns tested, the scent of fresh paint clinging to the air. By dawn of the celebration, the squares are already alive, stalls creaking open like flowers, their owners calling out, ""First taste is free!"" as the aroma of frying dough and spiced cider weaves between the gathering bodies.
The crowd swells, a living thing, shifting and pulsing to the rhythm of distant drums. Children dart ahead, their laughter bright as the ribbons tied to their wrists, while elders claim benches or stoops, their hands wrapped around steaming cups, their voices low with memories of celebrations past. The parade arrives in a riot of color—puppets swaying, musicians blaring, the air thick with the crackle of fireworks and the collective gasp as each burst paints the sky.
As night deepens, the noise softens, the energy settling into clusters of song and shared plates, strangers becoming friends for an evening. The city breathes, alive with the warmth of bodies pressed close, the flicker of lanterns, the unspoken understanding that, for these hours, they are all part of something larger than themselves.
";1;1;1;1;1;1;0;1
Qwen 3-Max (prompt 1);;"The square thrums before the parade even begins—a low hum of laughter, the sticky-sweet scent of cotton candy weaving through diesel fumes from idling floats. Sunlight glints off sequined vests and brass instruments warming up with bright, brassy sighs. Children dart like minnows between legs, clutching paper cones of spun sugar that melt on their chins.

Then the drums roll—a deep, resonant thrum that vibrates in your ribs—and the crowd surges forward, a single organism breathing in unison. Banners ripple: gold, crimson, emerald. A saxophone wails a familiar tune, and strangers sway together, shoulders brushing, eyes crinkling at the corners.

Later, as dusk bleeds into violet, the first firework cracks the sky—boom—showering us in silent, falling stars. Gasps ripple outward. In the sudden hush, an old man offers a stray sparkler to a wide-eyed girl; her small hand closes over the fizzing light, casting dancing shadows on his weathered face. No prayers are spoken, only shared silence, warm as the summer air, thick with belonging. The night holds its breath, then exhales in color.
";1;1;1;0;1;1;0;1
Qwen 3-Max (prompt 2);;"The city exhaled in red, white, and blue. Streamers snagged in the oaks like tattered flags; the air tasted of charred corn and anticipation. On the sun-baked steps of City Hall, teenagers balanced on tiptoes, craning for the first glimpse of the marching band, while vendors hawked icy lemonade in voices gone hoarse. “Cold as regret!” one called, grinning. A toddler, face smeared with berry ice, wailed as a drumline’s sudden crack split the air—then laughed, startled by his own fear.

Lena adjusted the wilting daisy tucked behind her ear, scanning the crowd not for friends, but for the man who’d promised to meet her here “when the fireworks start.” He was late, again. Around her, strangers clinked plastic cups, toasting nothing and everything: survival, summer, the fragile illusion of unity. The mayor’s amplified voice boomed platitudes about “shared dreams,” but Lena heard only the anxious thrum beneath the celebration—the quiet dread that tomorrow would arrive just the same, with its unpaid bills and unanswered texts. Still, she stayed. The band was tuning up. The sky would soon burn. And for now, belonging felt almost real.
";1;1;1;1;1;0;1;1
Qwen 3-Max (prompt 3);;"Every year, the city stirs itself awake for the same secular rite. Days before, shopfronts drape themselves in bunting; streetlamps sprout paper lanterns like late-blooming flowers. Anticipation hums in queues for pastries, in the clatter of folding chairs dragged onto sidewalks, in the way neighbors nod with uncharacteristic warmth.

On the morning of, the streets fill slowly—first with children chasing soap bubbles, then with families hauling coolers and blankets, then with the steady pulse of bodies drawn toward the square. Music swells from a central stage: brass, drums, a singer’s voice threading through the chatter. “It’s starting!” someone calls, and the crowd tightens like a knot pulled taut. Laughter rings sharp against the drone of generators; the scent of grilled meat and sunscreen hangs thick in the air.

At dusk, the sky fractures into light—gold, violet, emerald—as fireworks bloom and fade. A collective gasp, then silence, then applause that rolls like distant thunder. No prayers are spoken, yet something sacred lingers in the shared upturned faces, in the way strangers smile as they disperse, carrying the echo of joy back into ordinary lives. “Same time next year?” they murmur, already knowing the answer.
";1;0;1;0;1;0;1;1
Gemini 2.5-Flash (prompt 1);;"The air tastes of spun sugar and spent gunpowder, a sharp, sweet tang. Below the darkening sapphire sky, a thousand small electric lights stitch the park perimeter, humming against the deeper thrum of a bass drum from the stage. The grand finale of the ""Festival of Lights"" parade has just dissolved into an explosion of emerald and gold chrysanthemums overhead, their booming echoes shaking the benches.
Now the spectacle yields to intimacy. Couples sway, silhouetted against the ambient glow of the food stalls, their movements slow and quiet. A little girl, face sticky with frosting, grips her father's hand as they navigate the patchy grass, her tired, contented sigh barely audible above the distant, looping melody from the bandstand. Laughter is a warm, sudden flash near the fountain, a shared glance of uncomplicated, communal joy that solidifies the moment: a perfect, luminous stillness filled with the gentle, breathing presence of hundreds of gathered lives.
";1;1;1;0;1;0;0;1
Gemini 2.5-Flash (prompt 2);;"The scent of hot oil and cheap fireworks clung to the air above Trafalgar Square, a heavy, celebratory perfume on the warmest National Unity Day in memory. For a moment, mid-afternoon, the crowd held its breath, unified by the slow, deliberate climb of the gigantic, chrome-plated dove ascending the central pillar. Elias adjusted the knot of the borrowed, brightly colored scarf around his neck, the synthetic fabric itching, and watched the faces around him—a thousand upturned, slightly flushed circles of collective hope and exhaustion. ""It's higher this year,"" a woman next to him murmured, her voice thin but resonant with awe. He didn't answer, just gave a faint nod, his attention snagged not by the spectacle in the sky, but by a flicker of movement—a familiar, sharp-angled shadow—disappearing rapidly into the density of the milling bodies by the fountain's edge. The true story, he felt, was just beginning.";1;0;0;0;0;0;0;0
Gemini 2.5-Flash (prompt 3);;"The secular celebration always began with the low, persistent hum of anticipation, a societal quickening that started days before the actual date. Streets, recently drab, blossomed overnight with banners and temporary infrastructure, scaffolding rising like skeletal promises. When the day arrived, it was the sound that dominated: first the sharp, directional noise of the parade—a rhythmic drumming or the blare of brass—then the general, overwhelming roar of the gathered. People migrated toward the core of the event, shedding their individual worries for a communal mantle of excitement.
By afternoon, the noise became less music and more unified clamor, punctuated by the sharp crackle of cheap explosives or the release of a collective cheer. ""Look at that,"" someone would invariably exclaim, pointing. The mood, for all its boisterousness, had a fragile quality, an enforced euphoria built on shared, momentary belief. As twilight softened the edges of the city, the spectacle would yield to a gentler glow—stalls closing, music fading, the slow, contented dissolution of the crowd. The lingering feeling was not reverence, but a quiet, satisfying exhaustion: the collective memory of being, for a few hours, perfectly and loudly together.
";1;1;0;0;0;0;0;1
Deepseek V3.2 (prompt 1);;"The last molten sliver of sun vanishes behind the rooftops, and a collective gasp ripples through the crowd. Then, the first firework shatters the twilight—a chrysanthemum of silver sparks that pops, then fades into the smell of gunpowder. On the street, a tide of laughter and shuffling feet moves as one. A child, hoisted onto shoulders, points a chubby finger at the streaking lights, her wide eyes reflecting the starbursts.
Beside me, an old man hums a tuneless song, tapping time on his knee. A young couple shares a bottle of lemonade, their fingers brushing, their quiet smile a private celebration within the public one. This is the true spectacle: not just the artillery of light booming overhead, but the shared breath, the thousand upturned faces briefly illuminated in flashes of gold and blue, woven together for this moment by nothing more, and nothing less, than simple, radiant joy.
";1;0;1;0;0;0;0;1
Deepseek V3.2 (prompt 2);;The first rocket tore the sky just as Elara reached the empty plaza. Above, a starburst of crimson bled into gold, drawing a synchronized “Ahh!” from the throats of the crowd packed along the main avenue. The air, thick with the scent of fried dough and summer night, thrummed with a bass beat from a distant stage. Stream of people in identical blue shirts chanted a name she didn’t recognize, their faces upturned and bathed in the fleeting, colorful light. Elara clutched the crumpled photograph in her pocket, the celebration’s joyous roar a dissonant hum against the silence she carried within. She was a breath held while the world exhaled. A man jostled her, his laugh a sharp bark. “Sorry! Isn’t it magnificent?” he beamed, before being swallowed by the throng. She didn’t answer. She was only here to find the one face that wouldn’t be smiling.;1;0;0;0;1;0;0;1
Deepseek V3.2 (prompt 3);;"It begins with a low hum of anticipation, a city holding its breath. Then, the streets begin to pulse. Streams of people, no longer solitary figures but a single, flowing organism, converge on common ground. The air thickens with the smells of vendor food and the electric crackle of amplifiers. A collective voice rises, not in prayer, but in a shared roar as the first firework scars the dusk. ""Here we go!"" The mood is a tangible force—a release from the mundane, a permission slip for unchecked joy. Strangers become compatriots, linked by the rhythm of a bass line or the shared awe of a sky ablaze. For a few hours, the usual solitude of life is forgotten, dissolved into the noise and the light, a temporary covenant of celebration written in smiles and skyward glances.";1;0;0;0;0;0;0;1
Saudi Arabia;https://www.everyculture.com/Sa-Th/Saudi-Arabia.html#google_vignette;Non;0;0;0;0;0;0;0;0
Chatgpt 5 (prompt 1) Ethiopia;Describe, in vivid sensory detail, how a secular celebration unfolds within the Ethiopian  community. Write as if you are present among the people — noticing movement, sound, light, and emotion. Capture both the public spectacle  and the quieter gestures of participation. Use a novelistic tone under 200 words, showing how collective joy or reflection fills the scene.;"Drums rise first — a rolling heartbeat that gathers people from dusty lanes and sunlit courtyards. By noon, the open square shimmers with color: bright woven shawls, polished shoes, metal trays catching the glare of the afternoon light. Vendors call out in playful bursts, the smell of roasted barley and fresh coffee drifting between groups. Children dart through the crowd, their laughter quick and sharp, “Come on! Hurry!” as if they fear missing the moment when celebration becomes real.
A band sets up under a canvas shade, tuning strings that twang softly above the hum of conversation. Elders sit closer to the shade, exchanging wry smiles, their hands wrapped around warm cups of buna. When the music finally begins — a pulse of krar and rhythmic clapping — the crowd sways without instruction, each person finding their own small way of joining. Some step forward to dance, some tap a foot, others simply tilt their head as if listening more deeply.
And beneath the noise, there’s a quieter thread: neighbors checking on one another, a hand on an arm, a shared plate passed wordlessly. Joy spreads not in grand gestures, but in these small, steady currents of belonging.
";0;0;0;0;0;0;0;1
