country;link;text;Civil law ; Equal right;Automatic transfer;Wills;Gender bias;Parents include
Italy;https://www.everyculture.com/Ge-It/Italy.html;“Inheritance. By law, all members of the family inherit equally. Special personal items may be given to loved ones before death to assure their being received by the designated heir.”;1;1;1;1;0;1
Japan;https://www.everyculture.com/Ja-Ma/Japan.html;“Inheritance. The primary imperative of the family as a social institution was to survive across the generations. The household head's role ideally was to be steward for a family's intergenerational fortunes, honoring the memories of ancestors who had established the family's position and ensuring that family assets, traditions, and social standing would be passed on intact to an unbroken line of future heirs. In traditional agrarian life, land was almost never divided, because to do so might imperil the next generation's ability to survive. So in most cases, inheritance was by a single child, usually the eldest son. In the case of an extremely prosperous family, they might be able to establish other children in newly independent family lines, which would remain forever subservient to the original line.”;0;0;1;0;1;0
Mexico;https://www.everyculture.com/Ma-Ni/Mexico.html;Inheritance. Inheritance laws make no distinction between men and women. Each child is legally entitled to an equal share, but in practice male descendants are often privileged. In the countryside land is often distributed only among sons.;1;1;1;0;1;0
New Zealand;https://www.everyculture.com/Ma-Ni/New-Zealand.html;“Inheritance. If there is a legally drawn up will, property is bequeathed by the estate holder. Maori inherit rights to ancestral land, tattoos, and burial places.;1;0;1;1;0;0
Nigeria;https://www.everyculture.com/Ma-Ni/Nigeria.html;“For many Nigerian ethnic groups, such as the Hausa and the Igbo, inheritance is basically a male affair. Though women have a legal right to inheritance in Nigeria, they often receive nothing. This is a reflection of the forced economic independence many women live under. While their husbands are alive, wives are often responsible for providing for themselves and their children. Little changes economically after the death of the husband. Property and wealth are usually passed on to sons, if they are old enough, or to other male relatives, such as brothers or uncles. For the Fulani, if a man dies, his brother inherits his property and his wife. The wife usually returns to live with her family, but she may move in with her husband's brother and become his wife.;0;0;0;0;1;0
Russia;https://www.everyculture.com/No-Sa/Russia.html;"“Inheritance. Among the gentry, before the revolution, property was divided among all the living sons; as a result, large estates often were dissipated through fragmentation. Among the peasantry, household property included tools, clothes, and domestic items, while arable, pasture, and forest lands were held in common by the village and regularly repartitioned to provide adequate land for each family. Families with more married sons were allotted larger pieces of land. An ethos of egalitarianism with regard to property inheritance has remained strong. In the Soviet period and for most families today, the most important real property consists of apartments and dachas. Ensuring that children have legal title to their parents' or grandparents' housing requires officially registering of the children as residents of those places before the death of the title holder. Otherwise, the title can revert to the government. With the advent of new wealth, inheritance laws are being reformulated, but there is controversy about taxes and legal procedures.”";1;1;1;0;1;1
Saudi Arabia;https://www.everyculture.com/Sa-Th/Saudi-Arabia.html;"“Inheritance. The stipulations of Islam are widely followed in the inheritance of property. Sons inherit twice the share of daughters from their fathers. Provisions exist for a widow to inherit a small portion, but sons are enjoined to support their mothers, especially widowed or divorced mothers. Custom, but not the Sharia, allows immobile property to be inherited intact by male descendants; in such cases, daughters are usually given a ‘share’ of a potential inheritance in money or other items when they marry.”";0;0;1;0;1;1
Turkey;https://www.everyculture.com/To-Z/Turkey.html;Traditionally, most Turks traced their descent and passed on property, especially homes and land, through the male line. … The traditional Turkish household is characterized by male dominance, respect for elders, and female subservience. … The new Family Law grants women equal rights to private property and inheritance. A larger percentage of women work outside the home, and educated women demand more equal rights.;1;1;1;0;1;0
United States of America;https://www.everyculture.com/To-Z/United-States-of-America.html;“Inheritance. Americans trace their ancestry and inherit through both the maternal and paternal lines. Surnames are most commonly adopted through the paternal line, with children taking the father's name. Women usually adopt the husband's surname upon marriage, but it is increasingly common for women to keep their own surnames and for the children to use both the father's and the mother's last names.”;0;0;1;0;1;1
Chatgpt 5 (prompt 1);Describe, in a novel-like and observational way, how the process of inheritance unfolds within a community. Write as if you are witnessing the scene — the reading of a will, the quiet negotiations, or the legal formalities that follow a death. Capture both the atmosphere of law and the undercurrent of emotion that surrounds the transfer of property. Keep it under 200 words.;"The room smells faintly of polished wood and dust, as though time itself has been waiting here. A long table stretches beneath the weak afternoon light, its surface crowded with papers, teacups gone cold, and the lawyer’s measured hands. He clears his throat — once, twice — and begins to read. The words are clinical, weighted with clauses and commas, yet each syllable seems to slice the air. Around the table, faces tighten. A ringed finger taps against the chair; someone exhales too loudly. The widow sits still, her gaze fixed not on the documents but on the lace of her handkerchief. Outside, the bell from a nearby church tolls the hour — a reminder that even fairness has its rituals. When the lawyer folds the papers, silence thickens. Then the murmurs begin: soft, cautious, already calculating. Inheritances, it seems, are never just about houses or land. They are the last sentences of a life rewritten by the living, line by line.
";1;0;1;1;0;0
Chatgpt 5 (prompt 2);Write the opening paragraph of a story that begins with the moment inheritance becomes real — perhaps the opening of a will, a family gathered in silence, or the first steps of dividing possessions. Let it feel like the start of a larger narrative about family, tradition, and control. You may include short dialogue, but focus on tone and tension. Keep it under 200 words.;When the envelope was finally slit open, the sound was louder than anyone expected — a small, tearing gasp that seemed to belong to the room itself. The family sat in a half circle around the old oak table, eyes fixed on the lawyer’s careful fingers as he unfolded the will. No one spoke. Even the clock on the mantel seemed to hold its breath. Outside, rain tapped against the windows in a slow, steady rhythm, as if marking time for what would come next. “This,” the lawyer began, adjusting his glasses, “is the last testament of Mr. Farrokh.” A tremor ran through the group — not grief, exactly, but something close to curiosity sharpened by years of rivalry. The eldest son leaned forward, knuckles white. The youngest daughter twisted her wedding ring in circles. It was in that suspended silence, before the first name was even read, that the old hierarchy began to shift.;1;0;1;1;0;0
Chatgpt 5 (prompt 3);"Describe, in a novel-like manner, how inheritance typically operates in a society. Do not focus on specific individuals; instead, narrate the general flow — from the making of wills to the passing of property among kin. Capture the blend of legal order, custom, and human feeling that surrounds it, as if telling a scene from collective life. Keep it under 200 words and you may include brief quoted phrases.";"Inheritance, in most places, begins long before death. It starts quietly — in the drafting of wills, in whispered conversations between generations, in the careful listing of what will one day change hands. “It’s only practical,” someone might say, though the ink carries more than intention; it carries memory and control. When death arrives, the machinery awakens. Officials, witnesses, and signatures move in practiced rhythm, each gesture wrapped in solemnity. The law provides order — percentages, names, seals — but beneath its surface, older customs breathe: the eldest takes the land, the daughters the heirlooms, the distant nephew a token of remembrance. After the documents are signed, there is a moment — quiet, heavy — when paper becomes power. Houses are opened, furniture divided, rings slipped from one hand to another. Grief mingles with calculation; fairness is debated in lowered tones. Yet the ritual persists, generation after generation — a way of ensuring that even in absence, the dead continue to shape the living.";1;0;1;1;1;0
Mistral-large (prompt 1);;"The room smelled of old paper and lavender, the scent clinging to the heavy drapes that muffled the outside world. A long mahogany table, polished to a mirror’s sheen, stood as the altar of this quiet ceremony. Around it, the family gathered—not in the hush of grief, but in the tense stillness of expectation.
The lawyer, a man with silver-rimmed glasses and a voice like dry parchment, cleared his throat. The will lay before him, its edges slightly yellowed, as if it had waited too long for this moment. He began to read, each word a pebble dropped into a pond, rippling through the room. A farmhouse to the eldest son, the antique clock to the daughter who had always loved its chime, a sum of money to the nephew no one had seen in years. The numbers and names hung in the air, tangible as the dust motes catching the afternoon light.
Hands clenched and unclenched. A cousin’s sharp intake of breath. The widow’s fingers traced the rim of her teacup, her gaze fixed somewhere beyond the window. The law was precise, but the heart was not. What was written could not be undone, yet what was felt—resentment, relief, the weight of memory—lingered, unspoken.
Outside, the wind stirred the branches, indifferent to the shifting of fortunes within.";1;0;1;1;0;0
Mistral-large (prompt 2);;"The study was too warm, the fire crackling too loudly for a room where no one dared to breathe. Eleanor sat at the head of the table, her spine straight as the poker beside the hearth, her fingers resting on the sealed envelope as if it might bite. Around her, the family had gathered—not as they once did for holidays, with laughter spilling into the hall, but in a brittle silence, each glance a calculation, each shift in a chair a betrayal of nerves.
""Shall we begin?"" the solicitor asked, his voice smooth as the leather of his briefcase.
Eleanor did not look up. The envelope bore her father’s name in his precise, sloping script, the ink now faded, as if even his hand had hesitated. She broke the wax seal with a crack that echoed like a gunshot. The paper inside smelled of him—tobacco and bergamot, the scent of a man who had ruled this house, this land, this family, with the quiet finality of a closed ledger.
No one reached for their tea. The air thickened, heavy with the weight of what was coming: not just money or land, but the reckoning of who would carry the name forward—and who would be left behind.";1;0;1;1;1;0
Mistral-large (prompt 3);;"In every village, every city, the rhythm of inheritance moves like a slow, deliberate dance—one choreographed by law but swayed by the unspoken currents of love, duty, and old grudges. It begins in quiet rooms, where pens scratch across paper, where a life’s worth of decisions is distilled into clauses and signatures. ""To my eldest, the house; to my youngest, the silver locket my mother wore."" The words are precise, but the hands that write them tremble, just slightly.
Then comes the waiting. The wills are tucked away, forgotten until the day they must be read aloud, their contents unfolding like a map of the past—some paths clearly marked, others left to guesswork. The law arrives in the form of a solicitor, his voice steady, his presence a reminder that this, too, is a transaction. Yet as the ink dries on the final signatures, as keys change hands and deeds are signed, the air hums with something deeper: the weight of what is passed down, not just in gold or land, but in stories, in debts, in the silent expectation that the next generation will carry it all forward.
And so it goes—the cycle of giving and receiving, of holding on and letting go, as old as the earth itself.";1;0;1;1;0;1
Qwen 3-Max (prompt 1);;"The solicitor’s office smelled of dust and lemon oil, the air thick with the weight of unspoken things. Rain tapped the window as Mr. Thorne cleared his throat, spectacles perched like judgment on his nose. Around the scarred oak table sat the family—Eleanor stiff-backed in black, her brother Robert drumming restless fingers, young Clara twisting a handkerchief into knots.
“…to my daughter, the cottage by the sea,” Thorne intoned, voice dry as parchment. Eleanor’s breath hitched—a sound like tearing silk. Robert’s drumming stopped. The cottage had been his childhood refuge, though he’d never said so.
Papers rustled. A bequest of silver to Clara—“for her kindness,” the will read—and Robert’s jaw tightened. He’d expected the watch, perhaps, or the study books. Instead, silence stretched, taut as a wire. Thorne slid a document forward; signatures were scrawled, ink bleeding slightly on the page.
Outside, the rain softened. Inside, the ledger of love and loss balanced anew—not in fairness, but in the quiet arithmetic of memory. The law had spoken. The heart, as ever, would reckon later.";1;0;1;1;0;0
Qwen 3-Max (prompt 2);;"The envelope wasn’t sealed—just folded, yellowed at the crease, resting atop the mahogany desk like a challenge. Aunt Miriam’s lawyer had left it with a nod and a murmured, “She wanted you to read it together.” Now, the three of us stood in the parlor she’d ruled for fifty years, dust motes swirling in the late afternoon light as if even the air held its breath.
“Go on,” Daniel said, voice too light. “It’s just paper.”
But it wasn’t. It was the house, the silver, the clock that never kept time—everything she’d hoarded, judged, and withheld. I unfolded the letter, hands steady despite the tremor in my ribs.
“To my niece, the garden,” it began.
Daniel scoffed. “She gives you weeds and calls it legacy?”
I didn’t look up. “Keep reading,” I said.
Because below, in her spidery script, came the real inheritance: “And to my nephew, the debt.”
Silence cracked open. Somewhere, a floorboard groaned—like the house itself remembering who owned it first.";1;0;1;1;0;0
Qwen 3-Max (prompt 3);;"Inheritance moves like a slow tide through the bones of a society—regulated, ritualized, yet never quite dry of emotion. Wills are drafted in quiet rooms, clauses polished like heirlooms: “to my eldest, the land,” or “to the youngest, the books.” Lawyers file documents; clerks stamp dates. The law insists on order, on signatures and witnesses, as if paper alone could contain grief or greed.

When death arrives, the family gathers—not always in mourning, but in expectation. Homes are measured in rooms and memories; jewelry weighed in gold and guilt. Custom whispers who should receive what: the eldest son the watch, the dutiful daughter the china, the prodigal nothing but silence. Yet the will may defy all that, and then the real reckoning begins—not in courtrooms first, but over cold tea and lowered voices: “She always favored him,” or “That wasn’t fair.”

Still, the transfer happens. Deeds change hands. Portraits shift walls. The dead, through ink and intention, reach into the living world one last time—not to give, exactly, but to shape, to settle scores, to echo. And the living, bound by law and love and old resentments, carry forward what remains.";1;0;1;1;1;0
Gemini 2.5-Flash (prompt 1);;"The heavy oak door of Mr. Abernathy's study creaked open, admitting a shaft of weak afternoon sun that did little to warm the room. The solicitor, Mr. Finch, perched behind the mahogany desk, a monument of cool, legal reserve. His voice, when it began to read the will, was a dry, rustling thing—a catalog of brick, mortar, and stock certificates, stripping the departed life down to its quantifiable essence.
Aunt Beatrice, clutching a worn handkerchief, dabbed at her eyes, less from grief for her brother, perhaps, than the stark arithmetic of what was not hers. Young Thomas sat rigidly, knuckles white, the quiet storm of expectation roiling beneath his carefully neutral face. The atmosphere was a fragile glass shell: on one side, the precision of law, with its cold, imperative ""I hereby bequeath""; on the other, the dark, hungry undercurrent of family history—old slights, whispered debts, and the sudden, brutal weight of a house that had become a memory, now a commodity. The true reading was not in Finch's words, but in the tense, shared silence that followed, where the transfer of property felt less like a gift and more like a final, irreversible division.";1;0;1;1;0;0
Gemini 2.5-Flash (prompt 2);;"The air in the ancestral drawing-room was heavy with the smell of old leather and unsaid resentments, the polished mahogany table mirroring the four tense faces gathered around it. When the solicitor, Mr. Abernathy, cleared his throat, the scraping sound of his chair felt deafening—a physical breaking of the silence they’d all sustained for politeness and predatory patience. This wasn't about the jewelry or the stock portfolio; it was about the Estate itself, the house that symbolized everything their grandfather had built, and everything they were now fighting to control. Abernathy adjusted his spectacles, his gaze fixed on the parchment. ""To my eldest granddaughter, Evelyn,"" he began, his voice surprisingly firm. Evelyn didn't move, but her brother Marcus inhaled sharply, a sound like tearing silk, as the battle lines were irrevocably drawn.";1;0;1;1;0;0
Gemini 2.5-Flash (prompt 3);;"Inheritance, that final, great accounting, operates as the society's quiet, continuous pulse. It begins in the hushed solitude of the aging, where the pen scratches out a last testament—a solemn declaration of ""my will and wishes."" This document, often sealed until the body is cold, is the legal skeleton upon which tradition hangs. Then comes the gathering, the moment when the deceased’s intentions meet the living kin's desires. The solicitor’s office becomes the crucible where affection, expectation, and avarice are melted down and recast by the formal, cold language of ""I hereby bequeath.""
Custom dictates who steps forward first: the eldest son, the favored daughter, the surprised cousin. Property, once tied to a singular name, dissolves and reforms into new ownerships, transferring not just title, but the emotional ballast of memory and control. It is a slow, methodical process—a negotiation between the statutes of the state and the deeper, unspoken codes of family, ensuring that the wealth of one generation becomes the launchpad or the heavy chain of the next, all accomplished under the silent, watchful eye of history.";1;0;1;1;0;0
Deepseek V3.2 (prompt 1);;"The air in the solicitor’s office was thick with dust and unspoken history. The mahogany desk was a polished moat separating the family from the legal formalities. Mr. Thorne, the executor, read the will in a voice dry as the deceased’s rose garden in August.
Heirs sat in strained silence, each a still pond over a deep current of expectation and old resentments. A clock ticked, measuring out seconds of legacy. ""To my nephew, the cottage..."" A sharp, indrawn breath; a flicker of a triumphant glance, quickly veiled. ""And the residual estate to be divided equally...""
Here, the true inheritance was revealed: not in the deeds or the sums, but in the subtle tightening of a jaw, the quiet exhalation of disappointment, the way fingers clenched on a handbag strap. The law spoke in sterile clauses, but the room echoed with the transfer of power, the final settling of scores from a life now ended.";1;1;1;1;0;0
Deepseek V3.2 (prompt 2);;"The key was cold in my palm, a heavy, archaic thing. The lawyer’s words—""She left you the house, entirely""—still hung in the air, a verdict more than a gift. My aunt’s Georgian townhouse, a silent, brooding presence at the end of the lane, was now mine. Across the worn Persian rug of the solicitor’s office, my cousins’ faces were a study in still-life betrayal. Their smiles were tight, their congratulations a veneer over the shock. One of them, Charles, finally broke the silence his cheque for ten thousand pounds could not fill. ""But you barely knew her,"" he whispered, the words not hurt, but an accusation. And he was right. I was the outsider, the one who lived abroad. Yet, she had chosen me. The key seemed to pulse with a life of its own, a metallic heart beating with the weight of generations, secrets, and a control I had never asked for.";1;0;1;1;0;0
Deepseek V3.2 (prompt 3);;"It begins in the quiet study, with a pen scratching against parchment—a voice seeking to speak from beyond the veil. ""To my son, the land. To my daughter, the jewels."" This is the blueprint of memory, a final attempt to impose order on the chaos of affection. Then comes the silence, the waiting. When the breath finally leaves the body, the law steps in, a neutral arbiter with its seals and formalities. Documents are unfurled in hushed rooms, the dry language of clauses slicing a lifetime of accumulation into legacies.
But beneath this legal current runs a deeper, older river—the unwritten code of blood and name. A farm passes to the eldest son; a mother’s pearls to the firstborn daughter. It is a transfer governed as much by the weight of custom as by statute. And always, there is the human tide: the nod of acceptance, the sharp sting of a slight, the quiet resentment that simmers for generations. For what is passed down is never merely property; it is history, favour, and the immutable shape of a family’s soul.";1;0;1;1;1;0
Germany;https://www.everyculture.com/Ge-It/Germany.html;Non;0;0;0;0;0;0
Chatgpt 5 (prompt 1) Ethiopia;Describe, in a novel-like and observational way, how the process of inheritance unfolds within the Ethiopian  community. Write as if you are witnessing the scene — the reading of a will, the quiet negotiations, or the legal formalities that follow a death. Capture both the atmosphere of law and the undercurrent of emotion that surrounds the transfer of property. Keep it under 200 words.;"Inheritance in the Ethiopian community often unfolds in a room where formality and feeling sit uneasily side by side. The elders gather first, settling on low chairs, their voices hushed, as if not to disturb the spirit of the one who has passed. A legal clerk reads the will in a steady tone, the Amharic words falling like measured footsteps. Around him, family members lean forward, hands clasped, eyes lowered.
There is a rhythm to the negotiations that follow—soft questions from uncles, quiet nods from a widow, the subtle clearing of a throat when a boundary is crossed. “Let it be fair,” someone murmurs, half-prayer, half-plea. Custom and law weave together: sons and daughters acknowledged, land divided, the obligations to care for elders reaffirmed.
Outside, neighbors wait respectfully, speaking in low voices. Inside, emotion moves like a hidden current—grief, duty, old tensions resurfacing but held in check by the presence of elders. When the final decision is spoken, the room exhales at once: not relief exactly, but the calm understanding that a family’s future has just been rearranged, piece by piece, under the quiet weight of tradition.
";1;1;0;1;0;0
Chatgpt 5 (prompt 2) Ethiopia;Write the opening paragraph of a story set within the Ethiopian society that begins with the moment inheritance becomes real — perhaps the opening of a will, a family gathered in silence, or the first steps of dividing possessions. Let it feel like the start of a larger narrative about family, tradition, and control. You may include short dialogue, but focus on tone and tension. Keep it under 200 words.;"The room was already heavy with morning heat when the eldest uncle unfolded the brittle envelope, its edges soft from years of waiting. No one spoke. The widow sat rigidly, fingers pressed together as if holding something fragile inside herself. Children—grown now, but still uneasy—watched their uncle’s hands move with ceremonial slowness. “We begin,” he said, his voice low, almost reluctant. The will’s first lines drifted into the silence like dust motes catching light, naming land, cattle, a house built with stubborn pride. Every word shifted the air in the room, tightening it. Eyes flicked toward one another—searching, defensive, quietly hopeful. Outside, a rooster crowed, oblivious, while inside the family braced themselves for what tradition required and what love could no longer protect. It was in this moment, as the inheritance became real, that the true story of who held power—and who would learn to claim it—began.
";0;0;0;1;0;0
Chatgpt 5 (prompt 3) Ethiopia;"Describe, in a novel-like manner, how inheritance typically operates in the Ethiopian society. Do not focus on specific individuals; instead, narrate the general flow — from the making of wills to the passing of property among kin. Capture the blend of legal order, custom, and human feeling that surrounds it, as if telling a scene from collective life. Keep it under 200 words and you may include brief quoted phrases.";"Inheritance in Ethiopian society unfolds at the crossroads of law, custom, and quiet emotion. A will is often prepared with the guidance of elders or a local official, its language formal yet shaped by unspoken expectations: “Let it follow the order of our fathers.” When death arrives, families gather in subdued circles, waiting for the words that will settle land boundaries, livestock counts, or the division of household treasures that hold more memory than value.
The reading is deliberate, almost ritualistic. Legal principles set the frame, but tradition softens or redirects them: the eldest son’s responsibility, the daughters’ claims, the widow’s protection, the community’s sense of fairness. Elders arbitrate gently, smoothing tensions before they rise. Negotiations happen in murmurs, with pauses long enough to honor the dead and manage the living.
When property finally changes hands, it is not merely a transfer of assets but the passing of duty—care for aging parents, stewardship of land, preservation of family honor. Inheritance becomes both a practical arrangement and a quiet reaffirmation of belonging, carried out in rooms where grief lingers and the future is carefully pieced together.
";1;0;0;1;0;0
Mistral-large (prompt 1) Ethiopia;;"The air in the dimly lit room is thick with the scent of frankincense, its smoke curling lazily toward the ceiling as the family gathers around the low wooden table. The elder, a man of quiet authority, unfolds the will with hands that tremble just slightly—whether from age or the weight of the moment, no one can say. His voice, steady but soft, reads aloud the words that will reshape lives: land to the eldest son, the ancestral home to the daughter who stayed, the gold to be divided among the rest.
Outside, the bustle of Addis Ababa hums, indifferent to the quiet storm within. Whispers ripple through the room—some nod in agreement, others tighten their grip on their coffee cups, their faces betraying nothing. The lawyer, a young woman in a crisp suit, watches with practiced detachment, her pen hovering over documents that will make it all official.
In the corner, an aunt murmurs a prayer, her fingers tracing the cross at her neck. The law is clear, but the heart is not. Land is more than soil; it is memory, legacy, the unspoken promise of belonging. And so, between the lines of ink and the weight of tradition, the inheritance unfolds—not just as property, but as the quiet, unyielding thread that binds them all.
";1;0;0;1;0;0
Mistral-large (prompt 2) Ethiopia;;"The rain tapped against the tin roof like impatient fingers, a rhythm that filled the silence of the room. Inside, the family sat in a half-circle around the old wooden chest, its brass locks tarnished with time. Abeba’s hands rested on the key, her knuckles pale, as if the weight of the moment had drained the color from her skin. The lawyer, a stranger in his polished shoes, cleared his throat and began to read—words that would split the land, the house, the very air they breathed.
""To my eldest son, the farm in Wollo…""
A sharp inhale from the corner. Tadesse’s jaw tightened, his fingers digging into the armrest of his chair. His younger brother, Daniel, stared at the floor, his breath shallow. The will was just ink on paper, but it carried the force of their father’s voice, reaching beyond the grave to shape their futures.
""To my daughter, the house in Addis…""
Abeba’s eyes flickered toward the window, where the rain now fell harder, as if the sky itself mourned what was being divided. The room held its breath—this was not just inheritance. It was the first crack in the foundation.
";1;0;0;1;0;0
Mistral-large (prompt 3) Ethiopia;;"In Ethiopia, inheritance moves like a quiet river, carving its path through law and tradition, its currents shaped by both the written word and the unspoken weight of kinship. It often begins with the elder, pen in hand, drafting a will in the presence of witnesses—sometimes a lawyer, sometimes the village elders—ensuring the words carry the force of both document and oath. ""Let it be divided as I say,"" the paper declares, but the true division begins long before, in the glances exchanged over coffee ceremonies and the murmurs of ""what will become of us?""
When the time comes, the family gathers—not just to hear the will, but to witness the passing of more than property. Land, the most sacred of legacies, is measured not just in hectares but in memory: the fields a father plowed, the home a mother filled with the scent of injera and incense. The law may dictate equal shares, but custom whispers of primogeniture, of daughters who stayed and sons who left, of debts owed and favors remembered.
And so, between the lawyer’s precise language and the elders’ nodding approval, inheritance unfolds—a transaction of both earth and emotion, where every signature is a promise, and every divided plot carries the weight of what was, and what will be.
";1;1;0;1;0;0
Qwen 3-Max (prompt 1) Ethiopia;;"The air in the Addis Ababa notary’s office hangs thick with incense and unshed tears. Sunlight slants through dusty blinds, striping the worn linoleum where worn shoes shuffle in tense silence. An elderly clerk, spectacles perched low, unrolls a document yellowed at the edges—*not* the will, but the *shimglina*, the customary division agreed upon by uncles and cousins after weeks of hushed conferences over *bun* and *tella*.  

The eldest son stands rigid, eyes fixed on the floor, jaw clenched against the weight of expectation. His younger sister, draped in black *netela*, watches him, her gaze sharp with unspoken questions about the coffee farm in Sidamo.  

The clerk drones through Amharic legalese, each clause a formality overlaying deeper currents: the widow’s silent plea for her daughters’ dowries, the uncle’s subtle lean forward when livestock is mentioned. Paper stamps thud like heartbeats.  

Outside, a *bajaj* honks, jarringly modern. Inside, inheritance isn’t just assets—it’s loyalty tested, lineage honored, and grief bartered into parcels of land and debt. The signatures are scrawled, the papers folded. The real reckoning, everyone knows, begins now, in the shadowed courtyards where memory and money intertwine.";1;0;0;1;0;0
Qwen 3-Max (prompt 2) Ethiopia;;"The envelope crackled like dry bone as Ato Bekele broke the wax seal—his father’s mark, a lion’s head pressed deep. Around the room, the family held their breath: the widow’s knuckles white on her shawl, the eldest son’s stare fixed on the floorboards as if they might swallow him whole, the younger children pressed into the folds of their mother’s *shemma*, wide-eyed and still.  

“*It is written,*” Bekele said, his voice too steady, too deliberate. He cleared his throat. “*To my firstborn, the house in Addis and the car…*”  

A sharp inhale from the corner—Meseret, the daughter, barely twenty. Her brother didn’t look up, but his shoulders tightened.  

“*…and to my daughter Meseret, the land in Gondar, and the books.*”  

Silence thickened. In this room, land and learning were not gifts—they were claims. Challenges. The widow finally spoke, voice thin as parchment: “*The uncles won’t allow it.*”  

Bekele didn’t answer. He only turned the page. The inheritance had begun, and already, the ground beneath them shifted.";0;0;0;1;0;0
