country;link;text;Burial;Coffins;Pray;Washing;Food;Flowers;afterlife(Heaven or hell);Music or song
Mexico;https://www.everyculture.com/Ma-Ni/Mexico.html;Religion. Religious Beliefs. Roman Catholicism is the dominant religion in Mexico. After the conquest by the Spanish, Mexico's indigenous peoples readily accepted Catholic beliefs and practices, but they did so on the basis of their pre-Hispanic religious beliefs. The Virgin of Guadalupe, for example, was associated with the pagan goddess Tonantzin. As a result, Mexican folk Catholicism is frequently described as syncretic. Catholic beliefs pervade the life of ordinary Mexicans. Because the Catholic Church has been a very powerful institution in Mexican history, its relationship with the state has at times been tense and sometimes openly hostile. In recent decades, Protestant missionaries have been particularly active in southern Mexico and among the urban poor. Religious Practitioners. The most important practitioners are Catholic priests, who conduct regular masses and officiate over events Mexicans consider crucial such as birth, weddings, death, and quince aÃ±os (the initiation ceremony for girls). Priests also perform more quotidian rituals such as the blessing of new houses or cars. As parish priests are profoundly involved in the social life of local communities, their influence reaches beyond religious matters. Rituals and Holy Places. Mexico's most significant religious rituals are determined by the Catholic calendar. Easter ( Semana Santa ) is perhaps the most important of all. In different places within Mexico, the reenactment of the crucifixion of Jesus Christ on Good Friday is attended by great crowds. The largest is in Iztapalapa in Mexico City and attracts more than 100,000 believers. The nation's patron saint, the Virgin of Guadalupe, has her shrine in Mexico City, near the hill of Tepeyac, where she first appeared in 1531. The huge modern basilica there attracts hundreds of thousands of pilgrims from all over the country every year, especially on 12 December, Guadalupe's Day. Every community (rural or urban) has its own patron saint who is honored with processions and fiestas every year. Death and the Afterlife. Representations and rituals of death play a prominent role in popular culture, art, and religion. It has been suggested that this is related to pre-Columbian indigenous beliefs. Such rituals are most vigorously expressed in the festivities of the Days of the Dead, 1 and 2 November. On this occasion, Mexicans arrange altars for the dead in their homes with food, beverages, and other objects (such as skulls made of sugar or chocolate) to welcome them on their return to earth. Many Mexicans also visit churchyards and adorn the graves with large orange flowers. They will spent some time by the grave praying but also sharing memories about the deceased. The so-called Mexican cult of the dead has attracted much attention abroad.;1;0;1;0;1;1;1;0
New Zealand;https://www.everyculture.com/Ma-Ni/New-Zealand.html;Religion. Religious Beliefs. Sixteen religious sects are representedâ€”with the Anglican Church (18.4 percent) the largest, followed by Catholic (13.8 percent) and Presbyterian (13.4 percent). Twenty-six percent of the people have no religious affiliation. The Pentecostal, Buddhist, and Muslim religions have had the greatest degree of increase. Religious Practitioners. Archbishops, bishops, priests, presbyters, rabbis, imams, mullahs, elders, and pastors are office holders in New Zealand branches of worldwide churches. There is one Maori church (Ratana), and Maoridom makes wide use of the sacred-secular healing and counseling powers of the tohunga , a specialist in medicine and spirit belief. Rituals and Holy Places. Rites of the Christian calendar are observed. Cathedrals are present in every major city, and many rural areas maintain small wooden parish churches. Cemeteries are controlled by local bodies, except for Maori burial grounds. Statues of nineteenth- and early twentieth-century Pakeha public figures and war memorials are universal. Their disfigurement has become a sign of Maori protest. Waitangi has become a national memorial, as has One Tree Hill in Auckland, both marking significant events in the evolution of early Maoriâ€“European relations. Birthdays, anniversaries, and deaths may be privately or publicly commemorated. Death and the Afterlife. If embalming is not to take place, burial occurs within a day or two of death. Otherwise, funeral parlors embalm and show the body. Funeral services may be held in churches or funeral parlors. A Maori funeral ( tangi ) takes place in the marae and is a mixture of festivity and grief. Christians believe in a heaven for the afterlife (and a hell if Fundamentalist). Maori ancestors dwell after death in the ancestral lands and are;1;0;0;0;0;0;1;0
Nigeria;https://www.everyculture.com/Ma-Ni/Nigeria.html;Religion. Religious Beliefs. It is estimated that 50 percent of Nigerians are Muslim, 40 percent are Christian, and that the remaining 10 percent practice various indigenous religions. While Muslims can be found in all parts of Nigeria, their strongest footholds are among the Hausa and the Yoruba. Islam in Nigeria is similar to Islam throughout the world. It is based on the teachings of the Prophet Muhammad, which are outlined in the Qur'an. Christianity is most prevalent in the south of Nigeria. The vast majority of Igbo are Christians, as are many Yorubas. The most popular forms of Christianity in Nigeria include Anglican, Presbyterian, American Southern Baptist, and Methodist. Also, there are large pockets of Seventh-Day Adventists and Jehovah's Witnesses. Conflict with the way some missionaries administered the churches during colonial times also created several breakaway African-Christian churches. Most of these adhere to the doctrines of Western churches but have introduced African music and tradition to their Masses. Some have even eased Christian restrictions on polygamy. Relations between Christians and Muslims are tense in many areas. Since late 1999, numerous clashes between the two have led to thousands of deaths. The northern city of Kaduna has been the flash point for many of these riots, as local leaders discussed whether to institute Shari'a law in the region. Demonstrations by Christians against the idea soon led to violent confrontations with Muslims. The debate over Shari'a law and the violence accompanying it continue in many of the northern states. While Islam and Christianity are the dominant religions in Nigeria, neither is completely free of influence from indigenous religions. Most people who consider themselves good Muslims or good Christians often also follow local religious practices. This makes up for perceived shortcomings in their religion. Most indigenous religions are based on a form of ancestor worship in which family members who have passed into the spirit world can influence things in the world of the living. This mixing of traditional ways with Islam has led to groups such as the Bori cult, who use spirit possession as a way to understand why people are suffering in this life. The mixing of traditional ways with Christianity has led to the development of the Aladura Church. Aladura priests follow basic Christian doctrine but also use prophecy, healing, and charms to ward off witchcraft. Many Nigerians follow the teachings of purely indigenous religions. Most of these religions share the idea that one supreme god created the earth and its people, but has left people to decide their own paths in life. Followers of the traditional Yoruban religion believe that hundreds of spirits or minor gods have taken the place of the supreme god in influencing the daily lives of individuals. Many Yoruban slaves who were taken to the Caribbean and the Americas brought this religion with them. There it was used as the basis of Santeria and voodoo. Because the vast majority of Igbos converted to Christianity during colonialism, few practice the traditional Igbo religion, which is based on hundreds of gods, not a single creator. Religious Practitioners. According to Muslim and Christian traditions, officials in these religions tend to be male. For most indigenous religions, priests and priestesses are common. Traditional priests and priestesses get their power and influence from their ability to be possessed by their god or by their ability to tell the future or to heal. In the Igbo religion men serve as priests to Igbo goddesses, and women serve as priestesses to Igbo gods. While both men and women can rank high in the Yoruban religion, women usually are among the most respected of traditional priests. Rituals and Holy Places. Because many of the indigenous religions are based on various spirits or minor gods, each with influence over a specific area of nature, many of the traditional rituals are based on paying homage to these gods and spirits. Likewise, the area of control for a spirit also marks the places that are holy to that spirit. For example, a tribe's water spirit may have a specific pond or river designated as its holy place. The Kalabari, Okrika, and Ikwerre tribes of the Niger Delta region all have festivals in honor of water spirits sacred to their peoples. The Yoruba hold a twenty-day Shango festival each year to honor their god of thunder. Many Igbo consider it bad luck to eat yams from the new harvest until after the annual Yam Festival, a harvest celebration held in honor of the Igbo earth goddess Ani. Death and the Afterlife. Christian and Muslim Nigerians believe that following death, a person's soul is released and judged by God before hopefully going on to Heaven. Many traditional religions, especially those of the eastern tribes, believe in reincarnation. In these tribes, people believe that the dead will come back as a member of his or her mother's or sister's family. Many in-depth ceremonies are necessary to prepare the body before burial. For example, if the person was inflicted with some physical disability, steps would be taken to prevent it from being passed on to him in the next life. An infertile woman may have her abdomen cut open before burial or a blind man may have a salve made from special leaves placed over his eyes. Regardless of religion, Nigerians bury their dead. This is customary among Christians and Muslims, but it also is based on traditional beliefs that the body should be returned to the earth that sustained it during life. Muslims are buried so that their heads face the holy city of Mecca in Saudi Arabia. For others, it is customary to bury a man with his head turned toward the east, so he can see the rising sun. A woman is buried facing west, so she will know when the sun sets and when it is time to prepare dinner for her husband in the next life. People also cover the body with black earth during burial because many believe that red earth will result in skin blemishes in the next life. The ethnic groups in eastern Nigeria believe that the more music and dancing at a funeral, the better that person's chances of a successful afterlife. The size of funerals depends on the social standing of the deceased. Men are expected to set aside money that will be used to ensure they have a properly elaborate funeral. Women, children, and adolescents tend to have much less elaborate funerals.;1;0;0;0;0;0;1;1
Russia;https://www.everyculture.com/No-Sa/Russia.html;"Religion. Religious Beliefs. Although Prince Vladimir converted the East Slavs to Orthodox Christianity in 988, pre-Christian polytheism persisted for hundreds of years among the people, alongside Christian practices and beliefs. Many animistic elements, rites, and feasts associated with the agricultural calendar have persisted. Christian practices such as the curative application of ""holy water"" from a church are structured along the lines of pre-Christian customs. Churches frequently were constructed on ancient sacred sites. Traditional beliefs about forest and house spirits and metaphysical healing practices still exist among urbanized intellectuals and the working classes, especially among rural populations. A number of behavioral prohibitions stem from old beliefs: whistling indoors summons ill fortune and evil spirits are attracted by bragging or calling attention to good fortune or health. Telling people they have a lovely child may cause discomfort and necessitate warding off the evil eye. The Soviet Union promoted ""scientific atheism,"" severely repressed all religious organizations, and destroyed or took over many religious A majority of ethnic Russians identify themselves as Orthodox Christians. A much smaller number are active participants in church activities, but the observance of key holidays is increasing. The Russian Orthodox Church has always been institutionally powerful, aligned with the state since Kievan times and even in the Soviet period, when it was allowed to function within strict limits. The control and reach of the state have often been secured through the administrative networks and ideological influence of the Orthodox church. Islam has been important throughout Russian history. It has been the major religion in the northern Caucasus since the eighth century and in the Volga region since the tenth. Today, Islam is the second largest religion, after Russian Orthodoxy, with at least 19 million practitioners, and among ethnic minorities most Tatars, Bashkirs, Kazakhs, Chechens, and Avars, are Sunni Muslim. Moscow is a center of Islam in Russia, with many active mosques and organizations to serve the one to two million Muslims in Moscow. There are significant populations in many other large cities as well. Before the revolution, most of Russia's Jews were confined to rural settlements and endured constant persecution. In addition to facing both popular and official anti-Semitism in the Soviet period, Jewish populations were repressed and secularized to the point where the majority were nonpracticing and Judaism was regarded as an ethnicity but not a religious identity. From the 1970s, a slow rediscovery of Jewish tradition, both sacred and secular, has occurred, while major waves of emigration have reduced the numbers of Jews. A few synagogues functioned nominally during the Soviet period, and these have been somewhat revitalized in recent years as some of the several million Jews remaining in Russia rediscover lost traditions and rituals. Buddhism was officially recognized in Russia in 1741. It is the primary religion of ethnic Buryats, Kalmyks, and Tuvans. Harshly persecuted under Stalin, when most temples and monasteries were destroyed and lamas murdered or sent to the Gulag, Buddhism has made a steady revival, and today claims several million adherents, among ethnic Slavs as well as traditionally Buddhist populations. Roman Catholicism is practiced mainly be ethnic Poles, Germans, and Lithuanians. Various Protestant sects are long established, especially among ethnic Ukrainians, and in the years since perestroika foreign evangelical sects have sought adherents among nonbelievers and members of other religious groups. In 1997, the controversial ""Law on Freedom of Conscience and Religious Associations"" was passed, granting full rights of organization and association to only four religions: Orthodoxy, Islam, Judaism, and Buddhism. Others have to go through a complex registration process and their activities are restricted. Religious Practitioners. The administrative head of the Russian Orthodox Church is the Moscow patriarchate. Bishops and metropolitans lead the 128 dioceses. Parish priests, who are trained in seminaries and are obliged to marry, serve the 19,000 parishes. The number of parishes and monasteries has grown substantially with the restoration of religious freedom. Islamic muftis lead the Muslim Spiritual Boards, with a variety of jurisdictions, but the hierarchical and regional structure of Islam in Russia is in flux, as numerous religious and religious-political organizations, institutes, and cultural centers vie for authority and followers. Mullahs are the local teachers and interpreters of Islam; many are hereditary, but some young mullahs are challenging existing structures of authority. Among Buddhists, lamas are the most important spiritual leaders and teachers. Rituals and Holy Places. For most Orthodox believers, religious practice centers on the emotive experience of liturgy, which is chanted daily, on Sundays, and in long, elaborate services on holy days. Icons depicting the Virgin Mary and the saints are widely venerated, and the faithful light candles, pray, bow, and sometimes weep before these sacred images. The peasant hut of the last century always centered on the ""red corner"" where the family's icon hung, and many urban apartments have a table or shelf set aside for an icon. Churches and cathedrals are the most important sites of Orthodox worship. Local parishes across the country have raised funds to rebuild and restore churches destroyed by the Soviets, with some support from the Moscow patriarchate. Tens of millions of dollars are being spent to restore cathedrals in the large cities. Some, like the enormous Cathedral of Christ the Savior in Moscow, torn down in 1931, have been rebuilt from scratch and are widely venerated as symbols of the rebirth of Russian Orthodoxy. A similar rebuilding and reclamation of older sites of worship has occurred among Russia's Islamic, Jewish, and Buddhist communities. Death and the Afterlife. Proper care for and remembrance of the dead are considered very important. Around the time of death, it is crucial to do certain things to prevent the dead from staying or returning: mirrors are covered with black cloth, the body is laid out in ways that facilitate the ushering out of the spirit, and mourners accompany the deceased from home to church and from church to cemetery. In the church or hall where the body is displayed, mourners circle the open coffin counterclockwise and may kiss or lay flowers on the body. After burial, mourners return to the family's home, where certain foods are served with vodka and the deceased is remembered with stories and anecdotes. Food and vodka may be set at his or her place for nurturance of the soul. The soul remains on earth for forty days, at which time the family holds a second gathering to bid farewell as the soul departs for heaven. The anniversary of a death is memorialized every year; some people travel great distances to visit their loved ones' graves.";1;1;0;0;1;1;1;0
Saudi Arabia;https://www.everyculture.com/Sa-Th/Saudi-Arabia.html;Religion. Religious Beliefs. All Saudi Arabian citizens are Muslims. Except for a small minority of Shia, Saudi Arabians are Sunni and mainly follow the Handbali school of Islamic law ( madhab ). Half or more of the immigrants are also Muslims. Non-Muslim faiths are not allowed to practice in Saudi Arabia. Religious Practitioners. Islam does not have ordained clergy or priests. The person most learned in Islam is the one who leads the prayers. The learned ( ulama ) include judges, preachers, teachers, prayer leaders, and others who have studied Islam. Rituals and Holy Places. The major everyday rituals are related to the five daily prayers that constitute one of the five pillars of Islam. Those who pray face Mecca, ideally in a mosque or as a group. The haj (pilgrimage) is another of the five pillars and should be performed at least once in one's life. Visits also take place to the mosque and tomb of Muhammad in Medina. The other three pillars of Islam are witnessing that there is no God but God and Muhammad is His Messenger, fasting during the day throughout the month of Ramadan, and the giving of alms. Death and the Afterlife. The dead are washed, wrapped in seamless shrouds, and buried in graves facing Mecca without coffins or markers. Burial takes place before sunset on the day of death. The dead go to heaven or hell.;1;0;0;1;0;0;1;0
United States of America;https://www.everyculture.com/To-Z/United-States-of-America.html;Religion. Religious Beliefs. The overwhelming majority of the people are Christian. Catholicism is the largest single denomination, but Protestants of all denominations (Baptist, Methodist, Lutheran, Presbyterian, and others) outnumber Catholics. Judaism is the largest non-Christian faith, followed by Islam, which has a significant African-American following. Baptism, the largest Protestant sect, originated in Europe but grew exponentially in the United States, especially in the South, among both whites and blacks. Aside from the many Christian movements from England and Europe that reestablished themselves early in the nation's history, a few religious sects arose independently in the United States, including Mormons and Shakers. Although religion and the state are formally separated, religious expression is an important aspect of public and political life. Nearly every President has professed some variety of Christian faith. One of the most significant religious trends in recent years has been the rise of evangelical and fundamentalist sects of Christianity. As an organized political-religious Another trend is the growth in New Age religions, which blend elements of Eastern religions and practices, such as Buddhism, with meditation, yoga, astrology, and Native American spirituality. Religious Practitioners. In addition to the practitioners of world religions such as priests, ministers, and rabbis, the United States has a tradition of nonordained and nontraditional religious practitioners. These people include evangelical lay preachers, religious leaders associated with New Age religions, and leaders of religious movements designated as cults. Women are increasingly entering traditionally male religious positions. There are now women ministers in many Protestant denominations and women rabbis. Rituals and Holy Places. The country does not have religious rituals or designated holy places that have meaning to the population as a whole. However, Salt Lake City is a holy city for Mormons, and the Black Hills of South Dakota and other places are sacred native American sites. There are many shared secular rituals and places that have an almost religious importance. Secular rituals include baseball and football games. Championship games in these sports, the World Series and the Super Bowl, respectively, constitute major annual events and celebrations. Important places include Disneyland, Hollywood, and Grace-land (Elvis Presley's estate). Death and the Afterlife. Americans have an uncomfortable relationship with their own mortality. Although most residents are Christian, the value placed on youth, vigor, and worldly goods is so great that death is one of the most difficult subjects to talk about. Death is considered a sad and solemn occasion. At funerals, it is customary to wear black and to speak in hushed tones. Graveyards are solemn and quiet places. Some people believe in an afterlife or in reincarnation or other form of continuity of energy or spirit.;1;0;0;0;0;0;1;0
Chatgpt 5 (prompt 1);Describe in detail how death and its rituals unfold within a society, as if you are present and watching the process. Capture the atmosphere, gestures, and sounds that surround mourning, preparation of the body, and the gathering of people. Write in a novel-like, observational tone under 200 words, and you may include direct quotes.;"It begins with silence—the kind that seems to rearrange the air itself. Curtains are drawn, footsteps soften. In the next room, voices murmur in lowered tones, as if words might disturb the boundary just crossed. The body lies still, newly foreign yet achingly familiar, a vessel from which breath has departed. Women wash it in ritual rhythm, their movements deliberate, water trickling in silver threads across pale skin. The scent of soap, rosewater, or incense fills the space, mingling with the faint salt of tears.
Outside, neighbors arrive in twos and threes, carrying trays of tea or small plates of food. Their whispers braid into a collective hush. “He lived well,” someone says, a phrase both comfort and incantation. The funeral follows—slow steps, the measured chant of prayers, the thud of earth meeting wood. Grief becomes choreography: bowed heads, trembling hands, the sudden, raw sound of a cry breaking through restraint.
As evening falls, candles or lamps are lit, their small flames trembling like hearts that refuse to go out. In this quiet aftermath, life rearranges itself around the absence, learning once more how to speak in the language of the living.
";1;1;1;1;1;0;0;1
Chatgpt 5 (prompt 2);Write the opening paragraph of a story that begins at the moment of death or during the events that follow. Let it feel like the start of a larger reflection on loss, custom, and belief. Focus on tone, rhythm, and the quiet movement of people rather than on individual grief. Keep it under 200 words, and you may include short dialogue.;"When the old man’s breath stopped, the room did not change all at once—it exhaled slowly, like a tide pulling back from shore. Someone drew the curtains; someone else covered the mirror. Outside, a rooster crowed too early, confused by the stillness. The women began to move with the calm precision of those who have done this before: fetching basins, heating water, laying out the white cloth. The men waited in the courtyard, their voices low, the scrape of a chair against stone the only sound that dared to rise. “It’s time,” one said, and they all stood, as if summoned by the invisible weight of duty. The body would soon leave this house—washed, wrapped, and carried toward the prayers that promised passage. Yet even now, before the first chant began, the air was thick with a different kind of faith: not in heaven or justice, but in the quiet order of custom, in the belief that if every gesture is done right, the soul will find its way home.
";0;0;1;1;0;0;1;1
Chatgpt 5 (prompt 3);"Describe, in a novel-like way, how death and the afterlife are approached within a society. Do not focus on particular individuals; instead, narrate the general flow — from death and preparation of the body to ceremonies, mourning, and beliefs about continuation beyond life. Keep it under 200 words and you may include brief quoted phrases.";"In this society, death is not an interruption but a passage long anticipated. When a life ends, the community moves as one body, guided by custom and the quiet choreography of respect. The deceased is washed and clothed in garments of simplicity—white for purity, unadorned by vanity. Candles or lamps are lit to guide the departing soul, their small flames trembling beside bowls of water and folded prayers.
Funerals unfold in slow procession: chants thread through the air, mingling with the scent of earth and incense. Mourning is both personal and public—a structured sorrow that gives shape to the ungraspable. Neighbors bring food, sit in silence, or repeat old phrases meant to comfort. “He has merely gone ahead,” they say, as if death were a journey, not an ending.
Belief in the afterlife varies—some imagine a garden, others a reckoning, and a few only the quiet return to dust—but all share a sense that something continues. The living tend graves with reverence, not fear, speaking softly to those who cannot answer. For them, death remains part of the same story, its final chapter written not in despair, but in remembrance.
";1;0;1;1;1;0;1;1
Mistral-large (prompt 1);;"The air hangs thick with the scent of burning incense and damp earth as the village gathers. Women in black shawls huddle together, their whispers weaving through the hum of mourners. A low, rhythmic chant rises from the elders—""May the path be lit, may the river guide you home."" The body lies on a woven mat, washed and dressed in white linen, hands folded over a single sprig of rosemary.
The eldest son kneels, his fingers trembling as he lights the first candle. The flame flickers, casting shadows on the faces of those who press forward to touch the cold forehead, murmuring blessings. Outside, children dart between the adults, their laughter muted, their eyes wide. A woman wails suddenly, her voice raw, and the crowd sways, a living tide of grief.
The men lift the bier, their steps slow and deliberate. The procession moves toward the grove, where the earth is already turned. The priest scatters salt, his voice steady: ""Ash to ash, breath to wind."" The body descends, and the first shovelful of soil thuds against the wood. Someone begins to sing—a wordless, haunting melody—and the others join, their voices rising like smoke into the twilight.
";1;1;1;1;0;1;0;1
Mistral-large (prompt 2);;"The clock in the hallway stopped at three-twenty-seven, though no one noticed until later. By then, the room had already filled with the slow, deliberate movements of those who knew what to do—hands smoothing sheets, fingers pressing lids gently shut. A whisper passed between the oldest women, ""The window, now,"" and the curtains were drawn back just enough to let the afternoon light spill across the still face, as if to warm it one last time.
Outside, the neighbors arrived without knocking, their footsteps soft on the gravel path. They carried baskets of bread, jars of honey, things that would not spoil. The men stood in the yard, hats in hands, while the women moved inside, their skirts brushing the doorframe like a held breath. Someone lit a candle in the kitchen, though the sun had not yet set. The flame did not flicker.
In the quiet, the house seemed to exhale, its walls holding the weight of what came next—the washing, the watching, the words that would be spoken before dawn. No one rushed. There was time, now, for the old ways.
";0;0;0;1;1;0;0;0
Mistral-large (prompt 3);;"In this society, death is not an end but a threshold, crossed with quiet reverence. When breath leaves the body, the women gather first, their hands moving with practiced grace to wash the departed in water scented with myrtle and salt. ""Clean as the first dawn,"" they murmur, dressing the body in unbleached linen, the color of earth before planting.
The men prepare the space—sweeping the courtyard, arranging stones in a circle where the body will rest for three nights. Lamps are lit at dusk, their flames fed by oil pressed from last season’s olives. The air hums with low, rhythmic chants, not of sorrow but of passage: ""The river carries, the wind remembers.""
On the fourth day, the body is carried to the grove, where the oldest trees stand sentinel. There is no weeping here, only the rustle of leaves and the scent of burning cedar. The dead are laid in the earth with a single possession—a bowl, a ring, a lock of hair—something to anchor the soul in the next world. Mourning lasts forty days, marked by shared meals and stories, the living weaving the departed into memory.
After, they say the soul lingers in the branches, the breeze, the spaces between words. Death is not a farewell, but a shifting of form.
";1;0;0;1;1;0;1;1
Qwen 3-Max (prompt 1);;"The room smells of camphor and damp earth. Auntie Li’s body lies on the bamboo mat, wrapped in white cotton, her face serene beneath a sheet of rice paper. Her daughter kneels beside her, fingers trembling as she tucks a sprig of osmanthus into the folds of the shroud. Outside, rain patters softly on the tiled roof, a hushed counterpoint to the low, rhythmic wail of distant relatives—*“Ah-ma… ah-ma…”*—a sound more breath than voice.

Neighbors arrive with bowls of steaming rice and boiled eggs, placing them silently on the altar where incense spirals upward, fragrant and gray. An old man in a faded blue jacket murmurs, “She walked gently through this world,” his voice cracking like dry reed. The grandchildren, wide-eyed and still in school uniforms, clutch each other near the doorway, unsure whether to cry or stare.

At dusk, the funeral master arrives, his brass bell chiming once—sharp, final. The family bows in unison, foreheads nearly touching the cold floor. No one speaks. The only sound now is the wind threading through the eaves, carrying whispers of the dead into the darkening sky.";0;0;1;0;1;1;0;1
Qwen 3-Max (prompt 2);;"The breath left her not with a sigh but a silence so complete it seemed the house itself held its lungs. Outside, the cicadas paused mid-chirr, as if startled by the sudden stillness. Inside, hands moved without haste: a cousin closed the eyes with two cool fingertips, another draped a white cloth over the mirror. No one wept aloud—grief here was measured in gestures, not tears. The eldest son lit three sticks of incense, their smoke curling like slow thoughts toward the rafters. “She’s gone,” someone murmured, not to announce, but to confirm the air had changed. Neighbors began arriving with covered bowls—noodles for longevity, hard-boiled eggs for rebirth—placing them on the low table without a word. A child, too young to understand, reached for a red date from the offering plate; her mother gently pulled her hand back. The room filled with the soft shuffle of slippers on stone, the rustle of black armbands being tied, the quiet clink of porcelain cups filled with bitter tea. Death had come, and custom rose to meet it, steady as tide.";0;0;0;0;1;0;1;0
Qwen 3-Max (prompt 3);;"In this land, death is not an end but a threshold, and the living are its careful stewards. When breath stills, the body is washed in water steeped with mugwort and wrapped in unbleached linen—never silk, for pride has no place beyond the veil. Mirrors are turned to the wall; clocks are stilled at the hour of passing. For three days, the house hums with low chanting, as neighbors take turns keeping vigil, ensuring the soul does not wander lost. “Walk gently, elder,” they murmur into the smoke of sandalwood incense.

On the seventh night, paper offerings—houses, horses, coins—are burned in the courtyard, their ash rising like prayers made visible. Mourners wear coarse hemp, their voices hushed, laughter forbidden for forty-nine days, the time it takes a soul to cross the Nine Rivers. Yet grief is not despair: they believe the dead become ancestors, watching from the other side of rain and wind. At the year’s turning, families set out rice wine and steamed buns on ancestral altars, whispering news of births, harvests, heartaches. “We remember,” they say. And in that remembrance, the departed live—not as ghosts, but as roots beneath the soil of the living world.";1;0;1;1;1;0;1;1
Gemini 2.5-Flash (prompt 1);;"The air is thick, weighted with a silence that presses against the eardrums. A low, sustained wail, the ""keening,"" rises from the matriarch, a sound less of grief than of a boundary being irrevocably crossed. I see the 'preparers,' moving with a practiced, somber grace. They close the vacant eyes and bind the jaw with a linen strip, their hands making hushed, respectful movements across the still form on the cooling slab.
""He has gone on the long road,"" a man murmurs, his voice gravelly, as he lights the funerary incense, its sweet, smoky plume twisting toward the rafters.
In the outer hall, the mourners gather, their voices a continuous, soft murmur, like the distant rustle of leaves. They exchange simple, meaningful gestures—a shared cup of bitter tea, a hand placed lightly on a shoulder. The shroud is brought forward, woven with symbols of passage, a final, beautiful garment for a journey nobody returns from. The atmosphere is one of profound, communal resignation, not despair, but acceptance of the inevitable cycle.
";0;0;0;0;0;0;1;1
Gemini 2.5-Flash (prompt 2);;"
The moment it happened was marked not by a gasp or a final, shuddering release, but by the subtle, almost undetectable slackening of the air in the room. The watchers, who had held their breaths for the last hour, exhaled collectively, a soft, communal sigh that signaled the crossing of a threshold. Already, the women of the preparation guild were moving—a quiet procession of charcoal robes—their steps soundless on the worn stone floor. One of them began to close the shutter on the east window, pulling the room into a deeper, reverent dusk. ""It is time,"" she whispered, her voice a dry, papery sound that held no grief, only the quiet authority of custom. The rhythm of the house, which had paused, now shifted into the slow, steady cadence of ritual, a dance of hands and linen and incense that had been performed for a thousand years.

";0;0;0;0;0;0;0;0
Gemini 2.5-Flash (prompt 3);;"In our society, death is not an abrupt end, but a meticulous transition. The moment a soul departs, a period of 'Quiet Vigil' begins, marked by the extinguishing of all hearth fires—a chilling silence that descends over the neighborhood. The body is swiftly taken by the 'Cleansers,' whose work is meticulous and silent, anointing the skin with oils of cedar and frankincense, preparing the vessel for its long journey.
Mourning is communal, flowing not from sharp shock but from a deep, shared sense of incompleteness. The ceremonies last three days, culminating in the 'Unburdening,' where written memories are committed to a ceremonial flame. We believe the soul does not vanish but merely sheds its earthly cloak to join the 'River of Ancestors,' a shimmering current where time flows differently. ""They are not gone,"" the High Speaker always reminds us, ""only upstream."" Life, for us, is merely the lower rapids.";0;0;1;1;0;0;1;0
Deepseek V3.2 (prompt 1);;"A hush falls, thick as wool. The house breathes sorrow. In the parlor, she lies washed and anointed, hands folded over a stillness that is both hers and not. The air hangs heavy with the scent of lilies and beeswax.

Neighbors move with hushed purpose, their touches gentle as they adjust a shawl, a flower. Low murmurs ebb and flow—""She looks so peaceful,"" a woman whispers, her voice cracking. A man clasps a friend’s shoulder, the grip saying what words cannot.

Later, we gather under the ancient oak. The earth is raw, a dark mouth. As the coffin is lowered, a single, sharp cry escapes her daughter, a sound of pure fracture. ""I can't,"" she sobs into her husband's coat. He holds her, his own silence a testament. We stand united in our grief, a constellation of black against the green, listening to the first clods of earth strike the wood—a final, terrible punctuation.";1;1;0;1;0;1;0;0
Deepseek V3.2 (prompt 2);;"The last breath did not rattle, but sighed out, a soft and final release. Almost at once, the room began to change. The clinical tension broke, replaced by a slow, deliberate quiet. A cousin moved to the window, drawing the blinds with a hushed rustle. From the hallway, a low, murmured directive: ""Call the priest."" There was no weeping, not yet—only the careful, practiced movements of those who know a ritual has begun. Hands smoothed the sheet, adjusted the lamp. In the heavy stillness, belief and custom were already stepping forward, ready to shoulder the weight of the newly vacant space.";0;0;1;0;0;0;0;0
Deepseek V3.2 (prompt 3);;"In this society, death is a folding. The body is washed with rainwater and herbs, then wrapped in a linen shroud by the community's elders. ""From earth you came,"" they murmur, ""to earth you are returned."" There is no coffin; the form is laid directly in the soft soil of the ancestral grove.

Mourning is not a private storm of grief, but a public tide. For seven days, the bereaved household keeps its door open, receiving visitors who bring food and stories. Laughter is permitted, even encouraged, as a testament to a life lived.

They believe the soul does not ascend, but seeps into the land. The breath becomes the wind in the barley, the memory the strength in the oak's roots. To speak the names of the dead is to feel their presence, a quiet continuity in the turning of the seasons. They are not gone, only unfolded back into the world.";1;0;1;1;1;0;1;0
